n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
50,30,5,2,gini,0.9444646098003631,0.8514141414141413,0.7999999999999999,0.8034920634920635,0.7864042542519805
100,30,5,2,gini,0.9444646098003631,0.8514141414141413,0.7999999999999999,0.8034920634920635,0.7864042542519805
200,30,5,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
50,30,10,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
100,30,10,2,gini,0.941016333938294,0.8264790764790766,0.7777777777777778,0.78008547008547,0.7608982612481333
200,30,10,2,gini,0.9445251058681186,0.8550505050505051,0.7777777777777778,0.79008547008547,0.7758197526596557
50,30,5,5,gini,0.9237144585601935,0.7368831168831169,0.7777777777777778,0.7385714285714285,0.707379583674738
100,30,5,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,30,5,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
50,30,10,5,gini,0.9237144585601935,0.7368831168831169,0.7777777777777778,0.7385714285714285,0.707379583674738
100,30,10,5,gini,0.927102238354507,0.76,0.7777777777777778,0.7447623583846494,0.7187506892277986
200,30,10,5,gini,0.9340592861464005,0.7992063492063493,0.7777777777777778,0.762942612942613,0.7421483195436125
50,10,5,2,entropy,0.9444646098003631,0.8206060606060606,0.8222222222222222,0.8076190476190476,0.7845955870925247
100,10,5,2,entropy,0.9514216575922566,0.8564141414141414,0.8222222222222222,0.8262430586269597,0.8069128145288504
200,10,5,2,entropy,0.9514216575922566,0.8564141414141414,0.8222222222222222,0.8262430586269597,0.8069128145288504
50,10,10,2,entropy,0.9444646098003631,0.8206060606060606,0.8222222222222222,0.8076190476190476,0.7845955870925247
100,10,10,2,entropy,0.9444646098003631,0.8206060606060606,0.8222222222222222,0.8076190476190476,0.7845955870925247
200,10,10,2,entropy,0.9444646098003631,0.8364790764790765,0.7999999999999999,0.802063492063492,0.780875480335048
50,10,5,5,entropy,0.9271627344222626,0.7355555555555556,0.8,0.7525480367585631,0.7207949735770087
100,10,5,5,entropy,0.937568058076225,0.8027777777777778,0.8,0.7776484952955541,0.7575714314380136
200,10,5,5,entropy,0.937568058076225,0.8027777777777778,0.8,0.7776484952955541,0.7575714314380136
50,10,10,5,entropy,0.9271627344222626,0.7355555555555556,0.8,0.7525480367585631,0.7207949735770087
100,10,10,5,entropy,0.937568058076225,0.8027777777777778,0.8,0.7776484952955541,0.7575714314380136
200,10,10,5,entropy,0.937568058076225,0.8027777777777778,0.8,0.7776484952955541,0.7575714314380136
50,20,5,2,entropy,0.9479733817301875,0.8614141414141414,0.7999999999999999,0.8154845446950709,0.7955455116146201
100,20,5,2,entropy,0.9479733817301875,0.8614141414141414,0.7999999999999999,0.8154845446950709,0.7955455116146201
200,20,5,2,entropy,0.9479733817301875,0.8714141414141414,0.7777777777777778,0.7995591542959963,0.786433974959057
50,20,10,2,entropy,0.9444041137326075,0.8314141414141414,0.7999999999999999,0.8027136468622537,0.7792102519616597
100,20,10,2,entropy,0.9479128856624319,0.8369696969696969,0.8222222222222222,0.8170927318295739,0.795209809391926
200,20,10,2,entropy,0.9479733817301875,0.8714141414141414,0.7777777777777778,0.7995591542959963,0.786433974959057
50,20,5,5,entropy,0.937568058076225,0.7849999999999999,0.8,0.7797434763379034,0.7524694252232654
100,20,5,5,entropy,0.9444646098003628,0.8327777777777777,0.8,0.795693608077509,0.7775428779473459
200,20,5,5,entropy,0.9445251058681186,0.830050505050505,0.8,0.7947913524384111,0.7763213731425346
50,20,10,5,entropy,0.937568058076225,0.7849999999999999,0.8,0.7797434763379034,0.7524694252232654
100,20,10,5,entropy,0.9444646098003628,0.8327777777777777,0.8,0.795693608077509,0.7775428779473459
200,20,10,5,entropy,0.9445251058681186,0.830050505050505,0.8,0.7947913524384111,0.7763213731425346
50,30,5,2,entropy,0.9479733817301875,0.8614141414141414,0.7999999999999999,0.8154845446950709,0.7955455116146201
100,30,5,2,entropy,0.9479733817301875,0.8614141414141414,0.7999999999999999,0.8154845446950709,0.7955455116146201
200,30,5,2,entropy,0.9479733817301875,0.8714141414141414,0.7777777777777778,0.7995591542959963,0.786433974959057
50,30,10,2,entropy,0.9444041137326075,0.8314141414141414,0.7999999999999999,0.8027136468622537,0.7792102519616597
100,30,10,2,entropy,0.9479128856624319,0.8369696969696969,0.8222222222222222,0.8170927318295739,0.795209809391926
200,30,10,2,entropy,0.9479733817301875,0.8714141414141414,0.7777777777777778,0.7995591542959963,0.786433974959057
50,30,5,5,entropy,0.937568058076225,0.7849999999999999,0.8,0.7797434763379034,0.7524694252232654
100,30,5,5,entropy,0.9444646098003628,0.8327777777777777,0.8,0.795693608077509,0.7775428779473459
200,30,5,5,entropy,0.9445251058681186,0.830050505050505,0.8,0.7947913524384111,0.7763213731425346
50,30,10,5,entropy,0.937568058076225,0.7849999999999999,0.8,0.7797434763379034,0.7524694252232654
100,30,10,5,entropy,0.9444646098003628,0.8327777777777777,0.8,0.795693608077509,0.7775428779473459
200,30,10,5,entropy,0.9445251058681186,0.830050505050505,0.8,0.7947913524384111,0.7763213731425346
