n_components,n_estimators,max_depth,learning_rate,accuracy,precision,recall,f1,mcc
180,150,7,0.1,0.8958257713248639,0.8314285714285715,0.42222222222222217,0.548901098901099,0.5405805947580355
180,200,7,0.1,0.9061705989110708,0.8683333333333334,0.4666666666666666,0.588515406162465,0.5864439287525137
180,100,10,0.1,0.892377495462795,0.8099999999999999,0.42222222222222217,0.5400775694893343,0.5283539325226884
180,150,10,0.1,0.8957652752571083,0.8214285714285715,0.4222222222222222,0.5467032967032968,0.5369163278661444
180,200,10,0.1,0.8992740471869329,0.8314285714285715,0.4444444444444445,0.5686813186813187,0.5569055427638667
180,100,3,0.3,0.9165759225650332,0.9333333333333332,0.4888888888888888,0.6208360267183797,0.6317437117954509
180,150,3,0.3,0.9131276467029643,0.9111111111111111,0.4888888888888888,0.6103785103785103,0.6187731902535007
180,200,3,0.3,0.9131276467029643,0.9111111111111111,0.4888888888888888,0.6103785103785103,0.6187731902535007
180,100,5,0.3,0.8992740471869329,0.8666666666666666,0.4222222222222222,0.5623443223443223,0.55893567608159
180,150,5,0.3,0.9027223230490019,0.8666666666666666,0.4444444444444445,0.5794871794871794,0.5741189336005782
180,200,5,0.3,0.9027223230490019,0.8666666666666666,0.4444444444444445,0.5794871794871794,0.5741189336005782
180,100,7,0.3,0.9027223230490019,0.8642857142857142,0.4666666666666666,0.5984615384615385,0.5868209544393082
180,150,7,0.3,0.9027223230490019,0.8642857142857142,0.4666666666666666,0.5984615384615385,0.5868209544393082
180,200,7,0.3,0.9027223230490019,0.8642857142857142,0.4666666666666666,0.5984615384615385,0.5868209544393082
180,100,10,0.3,0.8923169993950394,0.8055555555555556,0.4222222222222222,0.5324786324786326,0.5243284364458277
180,150,10,0.3,0.8923169993950394,0.8055555555555556,0.4222222222222222,0.5324786324786326,0.5243284364458277
180,200,10,0.3,0.8923169993950394,0.8055555555555556,0.4222222222222222,0.5324786324786326,0.5243284364458277
