n_components,max_depth,min_samples_split,min_samples_leaf,criterion,dt__max_features,accuracy,precision,recall,f1,mcc
,30,5,5,gini,sqrt,0.892377495462795,0.7283333333333333,0.6222222222222222,0.6213930548295873,0.5901325411304833
,30,10,5,gini,sqrt,0.892377495462795,0.7283333333333333,0.6222222222222222,0.6213930548295873,0.5901325411304833
,30,5,2,gini,log2,0.6629764065335754,0.34569991789819376,0.711111111111111,0.38811092572324923,0.30330630205064013
,30,10,2,gini,log2,0.6560798548094374,0.3111350574712644,0.6888888888888889,0.35638542031353326,0.27035277409163294
,30,5,5,gini,log2,0.6465214761040533,0.29357366771159876,0.6666666666666666,0.393172119487909,0.2491716018606665
,30,10,5,gini,log2,0.6465214761040533,0.29357366771159876,0.6666666666666666,0.393172119487909,0.2491716018606665
,10,5,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,10,10,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,10,5,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,10,10,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,10,5,2,entropy,sqrt,0.9168784029038113,0.7880952380952382,0.7333333333333333,0.729047619047619,0.7025618534627334
,10,10,2,entropy,sqrt,0.895946763460375,0.7507936507936508,0.6,0.6122555478054199,0.5906186212112767
,10,5,5,entropy,sqrt,0.9027828191167574,0.7743589743589743,0.6666666666666666,0.6607142857142857,0.6398144830726155
,10,10,5,entropy,sqrt,0.9027828191167574,0.7743589743589743,0.6666666666666666,0.6607142857142857,0.6398144830726155
,10,5,2,entropy,log2,0.6741681790683607,0.3987253487253487,0.6444444444444445,0.4251375599201686,0.30796768389868867
,10,10,2,entropy,log2,0.6811252268602541,0.4072967772967774,0.6888888888888889,0.4553238953238953,0.340112301726082
,10,5,5,entropy,log2,0.6359951603145796,0.29097626511419616,0.6888888888888889,0.39239991871570823,0.254139020078052
,10,10,5,entropy,log2,0.6359951603145796,0.29097626511419616,0.6888888888888889,0.39239991871570823,0.254139020078052
,20,5,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,20,10,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,20,5,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,20,10,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,20,5,2,entropy,sqrt,0.9238354506957048,0.8027777777777778,0.711111111111111,0.7311068016950371,0.7035648839171146
,20,10,2,entropy,sqrt,0.8958862673926195,0.7647619047619048,0.5777777777777777,0.601868059476755,0.5846830072342066
,20,5,5,entropy,sqrt,0.9061705989110708,0.7806060606060605,0.6666666666666666,0.6664240145819094,0.6456241632667045
,20,10,5,entropy,sqrt,0.9061705989110708,0.7806060606060605,0.6666666666666666,0.6664240145819094,0.6456241632667045
,20,5,2,entropy,log2,0.6983061101028433,0.33368700265251994,0.7333333333333333,0.45103668261563,0.3342488311716554
,20,10,2,entropy,log2,0.6602540834845735,0.30567156980950083,0.8,0.4386412681828641,0.3276657677692806
,20,5,5,entropy,log2,0.6361766485178464,0.290117446513442,0.6666666666666666,0.3891180654338549,0.24030580241924443
,20,10,5,entropy,log2,0.6361766485178464,0.290117446513442,0.6666666666666666,0.3891180654338549,0.24030580241924443
,30,5,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,30,10,2,entropy,,0.9617664851784633,0.9527777777777778,0.7999999999999999,0.8657189542483661,0.850653789672813
,30,5,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,30,10,5,entropy,,0.9549304295220811,0.9047619047619048,0.7999999999999999,0.8465686274509803,0.8241450536486724
,30,5,2,entropy,sqrt,0.9238354506957048,0.8027777777777778,0.711111111111111,0.7311068016950371,0.7035648839171146
,30,10,2,entropy,sqrt,0.8958862673926195,0.7647619047619048,0.5777777777777777,0.601868059476755,0.5846830072342066
,30,5,5,entropy,sqrt,0.9061705989110708,0.7806060606060605,0.6666666666666666,0.6664240145819094,0.6456241632667045
,30,10,5,entropy,sqrt,0.9061705989110708,0.7806060606060605,0.6666666666666666,0.6664240145819094,0.6456241632667045
,30,5,2,entropy,log2,0.6880217785843921,0.30619023471457546,0.6888888888888889,0.4198012513801988,0.29231553770536395
,30,10,2,entropy,log2,0.6947973381730187,0.3272881884849431,0.7333333333333334,0.44327541786706937,0.3306462266496408
,30,5,5,entropy,log2,0.6361766485178464,0.290117446513442,0.6666666666666666,0.3891180654338549,0.24030580241924443
,30,10,5,entropy,log2,0.6361766485178464,0.290117446513442,0.6666666666666666,0.3891180654338549,0.24030580241924443
