n_components,C,kernel,accuracy,precision,recall,f1,mcc
180,0.01,linear,0.9269207501512401,0.8873015873015874,0.6222222222222221,0.7191880341880341,0.7004789228143384
180,0.01,rbf,0.833393829401089,0.5695238095238095,0.39999999999999997,0.4485945214206084,0.3745095707465481
180,0.01,poly,0.5758620689655173,0.4618181818181818,0.37777777777777777,0.10625,-0.0271159125772965
180,0.01,sigmoid,0.8471869328493649,0.5015873015873016,0.4222222222222222,0.45444444444444443,0.3713070293869578
180,0.1,linear,0.9234724742891711,0.8873015873015874,0.6,0.702045177045177,0.6852956652953504
180,0.1,rbf,0.833393829401089,0.5695238095238095,0.39999999999999997,0.4485945214206084,0.3745095707465481
180,0.1,poly,0.72994555353902,0.8352941176470589,0.2,0.06,0.03175536744149779
180,0.1,sigmoid,0.8473684210526315,0.5371428571428571,0.31111111111111106,0.3871428571428571,0.32571443999016364
180,1.0,linear,0.9234724742891711,0.8873015873015874,0.6,0.702045177045177,0.6852956652953504
180,1.0,rbf,0.8955837870538416,0.7917460317460318,0.5111111111111111,0.6031746031746031,0.5736352687670407
180,1.0,poly,0.854204476709014,0.9,0.08888888888888888,0.15636363636363634,0.22125080644311151
180,1.0,sigmoid,0.7188142770719903,0.3549145299145299,0.5777777777777777,0.430685348104703,0.2856684806263039
180,10.0,linear,0.9234724742891711,0.8873015873015874,0.6,0.702045177045177,0.6852956652953504
180,10.0,rbf,0.9165154264972777,0.8334126984126984,0.6,0.6826240752711341,0.6568424858154377
180,10.0,poly,0.8678765880217787,0.6799999999999999,0.2888888888888889,0.4032967032967033,0.38401300553536183
180,10.0,sigmoid,0.635632183908046,0.2651147342995169,0.6222222222222222,0.3656598671842574,0.20483837000069718
180,100.0,linear,0.9234724742891711,0.8873015873015874,0.6,0.702045177045177,0.6852956652953504
180,100.0,rbf,0.9199637023593468,0.8778571428571429,0.5777777777777777,0.6870685197155785,0.6679689803462481
180,100.0,poly,0.8748941318814276,0.6583333333333334,0.4666666666666667,0.5412885154061625,0.4833486720841139
180,100.0,sigmoid,0.6252873563218391,0.2607030005965213,0.6444444444444445,0.3664955658376711,0.20590441884945934
200,0.01,linear,0.937265577737447,0.8873015873015874,0.6888888888888888,0.767203548085901,0.744951752706593
200,0.01,rbf,0.833393829401089,0.5695238095238095,0.39999999999999997,0.4485945214206084,0.3745095707465481
200,0.01,poly,0.5758620689655173,0.4618181818181818,0.37777777777777777,0.10625,-0.0271159125772965
200,0.01,sigmoid,0.8471869328493649,0.5047619047619047,0.4,0.44333333333333325,0.3617074821835381
200,0.1,linear,0.937265577737447,0.8873015873015874,0.6888888888888888,0.767203548085901,0.744951752706593
200,0.1,rbf,0.833393829401089,0.5695238095238095,0.39999999999999997,0.4485945214206084,0.3745095707465481
200,0.1,poly,0.72994555353902,0.8352941176470589,0.2,0.06,0.03175536744149779
200,0.1,sigmoid,0.8473684210526315,0.5371428571428571,0.31111111111111106,0.3871428571428571,0.32571443999016364
200,1.0,linear,0.937265577737447,0.8873015873015874,0.6888888888888888,0.767203548085901,0.744951752706593
200,1.0,rbf,0.8955837870538416,0.7917460317460318,0.5111111111111111,0.6031746031746031,0.5736352687670407
200,1.0,poly,0.854204476709014,0.9,0.08888888888888888,0.15636363636363634,0.22125080644311151
200,1.0,sigmoid,0.7223230490018149,0.36388888888888893,0.5777777777777777,0.43674595416530904,0.29270863026125465
200,10.0,linear,0.937265577737447,0.8873015873015874,0.6888888888888888,0.767203548085901,0.744951752706593
200,10.0,rbf,0.9165154264972777,0.8334126984126984,0.6,0.6826240752711341,0.6568424858154377
200,10.0,poly,0.8678765880217787,0.6799999999999999,0.2888888888888889,0.4032967032967033,0.38401300553536183
200,10.0,sigmoid,0.635632183908046,0.2651147342995169,0.6222222222222222,0.3656598671842574,0.20483837000069718
200,100.0,linear,0.937265577737447,0.8873015873015874,0.6888888888888888,0.767203548085901,0.744951752706593
200,100.0,rbf,0.9269207501512401,0.8845238095238095,0.6222222222222221,0.7211161387631976,0.7002019458051522
200,100.0,poly,0.8748941318814276,0.6583333333333334,0.4666666666666667,0.5412885154061625,0.4833486720841139
200,100.0,sigmoid,0.6252873563218391,0.25760702536432317,0.6222222222222222,0.3588032581453634,0.19403023766051625
