threshold,max_depth,min_samples_split,min_samples_leaf,criterion,max_features,accuracy,precision,recall,f1,mcc
0.1,30,5,2,gini,,,,,,0.8639675781078721
0.2,30,5,2,gini,,,,,,0.8639675781078721
0.30000000000000004,30,5,2,gini,,,,,,0.8639675781078721
0.4,30,5,2,gini,,,,,,0.8639675781078721
0.5,30,5,2,gini,,,,,,0.8639675781078721
0.6,30,5,2,gini,,,,,,0.8454298941250029
0.7000000000000001,30,5,2,gini,,,,,,0.8454298941250029
0.8,30,5,2,gini,,,,,,0.8454298941250029
0.9,30,5,2,gini,,,,,,0.8454298941250029
0.1,30,10,2,gini,,,,,,0.8639675781078721
0.2,30,10,2,gini,,,,,,0.8639675781078721
0.30000000000000004,30,10,2,gini,,,,,,0.8639675781078721
0.4,30,10,2,gini,,,,,,0.8639675781078721
0.5,30,10,2,gini,,,,,,0.8639675781078721
0.6,30,10,2,gini,,,,,,0.8454298941250029
0.7000000000000001,30,10,2,gini,,,,,,0.8454298941250029
0.8,30,10,2,gini,,,,,,0.8454298941250029
0.9,30,10,2,gini,,,,,,0.8454298941250029
0.1,30,5,5,gini,,,,,,0.7222736149628831
0.2,30,5,5,gini,,,,,,0.7222736149628831
0.30000000000000004,30,5,5,gini,,,,,,0.7809219925450825
0.4,30,5,5,gini,,,,,,0.8270246531237948
0.5,30,5,5,gini,,,,,,0.8243065870888483
0.6,30,5,5,gini,,,,,,0.8243065870888483
0.7000000000000001,30,5,5,gini,,,,,,0.8557363333726453
0.8,30,5,5,gini,,,,,,0.8557363333726453
0.9,30,5,5,gini,,,,,,0.8394113853668141
0.1,30,10,5,gini,,,,,,0.7222736149628831
0.2,30,10,5,gini,,,,,,0.7222736149628831
0.30000000000000004,30,10,5,gini,,,,,,0.7809219925450825
0.4,30,10,5,gini,,,,,,0.8270246531237948
0.5,30,10,5,gini,,,,,,0.8243065870888483
0.6,30,10,5,gini,,,,,,0.8243065870888483
0.7000000000000001,30,10,5,gini,,,,,,0.8557363333726453
0.8,30,10,5,gini,,,,,,0.8557363333726453
0.9,30,10,5,gini,,,,,,0.8394113853668141
0.1,30,5,2,gini,sqrt,,,,,0.5394448095342337
0.2,30,5,2,gini,sqrt,,,,,0.5527050185966789
0.30000000000000004,30,5,2,gini,sqrt,,,,,0.5576936955602323
0.4,30,5,2,gini,sqrt,,,,,0.5668975633578859
0.5,30,5,2,gini,sqrt,,,,,0.5668975633578859
0.6,30,5,2,gini,sqrt,,,,,0.5334411869599524
0.7000000000000001,30,5,2,gini,sqrt,,,,,0.541298591795532
0.8,30,5,2,gini,sqrt,,,,,0.541298591795532
0.9,30,5,2,gini,sqrt,,,,,0.541298591795532
0.1,30,10,2,gini,sqrt,,,,,0.46514316595844657
0.2,30,10,2,gini,sqrt,,,,,0.5121829199971497
0.30000000000000004,30,10,2,gini,sqrt,,,,,0.5385430868308976
0.4,30,10,2,gini,sqrt,,,,,0.4961632729322637
0.5,30,10,2,gini,sqrt,,,,,0.46746195710261523
0.6,30,10,2,gini,sqrt,,,,,0.5460832469361236
0.7000000000000001,30,10,2,gini,sqrt,,,,,0.5445829412560772
0.8,30,10,2,gini,sqrt,,,,,0.5612343101011003
0.9,30,10,2,gini,sqrt,,,,,0.49378735021562925
0.1,30,5,5,gini,sqrt,,,,,0.4091268229332316
0.2,30,5,5,gini,sqrt,,,,,0.42872116219768375
0.30000000000000004,30,5,5,gini,sqrt,,,,,0.4758187880851555
0.4,30,5,5,gini,sqrt,,,,,0.4815667811635727
0.5,30,5,5,gini,sqrt,,,,,0.4894711753026863
0.6,30,5,5,gini,sqrt,,,,,0.533917037449187
0.7000000000000001,30,5,5,gini,sqrt,,,,,0.5517417020651638
0.8,30,5,5,gini,sqrt,,,,,0.5517417020651638
0.9,30,5,5,gini,sqrt,,,,,0.553519246704903
0.1,30,10,5,gini,sqrt,,,,,0.4091268229332316
0.2,30,10,5,gini,sqrt,,,,,0.42872116219768375
0.30000000000000004,30,10,5,gini,sqrt,,,,,0.4758187880851555
0.4,30,10,5,gini,sqrt,,,,,0.4815667811635727
0.5,30,10,5,gini,sqrt,,,,,0.4894711753026863
0.6,30,10,5,gini,sqrt,,,,,0.533917037449187
0.7000000000000001,30,10,5,gini,sqrt,,,,,0.5517417020651638
0.8,30,10,5,gini,sqrt,,,,,0.5517417020651638
