pca_n_components,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
50,10,30,2,1,gini,0.6,0.6805555555555555,0.39999999999999997,0.5028985507246376,0.22349496903421262,2.8803763277776953
50,50,30,2,1,gini,0.7222222222222222,0.8333333333333334,0.5555555555555555,0.6635802469135803,0.47240087163192895,2.8803763988887012
50,100,30,2,1,gini,0.7777777777777777,0.8666666666666667,0.6666666666666666,0.7466666666666667,0.5771236166328254,2.8803764688885876
50,300,30,2,1,gini,0.7333333333333334,0.8111111111111112,0.6222222222222222,0.6977777777777777,0.48553872010927773,2.880376539999593
50,500,30,2,1,gini,0.7222222222222222,0.8047619047619049,0.6,0.6832183908045977,0.4636137855099343,2.8803766122217187
50,10,30,5,1,gini,0.6888888888888888,0.7444444444444445,0.5777777777777778,0.6405797101449275,0.39214210056943105,2.880376681111132
50,50,30,5,1,gini,0.7444444444444445,0.7579365079365079,0.7333333333333334,0.7405085336119819,0.4948832285695957,2.8803767533332576
50,100,30,5,1,gini,0.6666666666666666,0.7590909090909091,0.48888888888888893,0.5923745819397993,0.3572108817409098,2.8803768222220243
50,300,30,5,1,gini,0.688888888888889,0.7603174603174603,0.5555555555555555,0.636551724137931,0.3949317260179557,2.8803768966663887
50,500,30,5,1,gini,0.7222222222222222,0.7643467643467643,0.6222222222222222,0.680623973727422,0.452413983604824,2.8803769688885144
50,10,30,2,2,gini,0.7666666666666666,0.8238095238095239,0.688888888888889,0.7457471264367816,0.5449101308663119,2.880377043332879
50,50,30,2,2,gini,0.6555555555555556,0.69674688057041,0.5555555555555555,0.6048634336677815,0.32376406466443014,2.8803771133334117
50,100,30,2,2,gini,0.7444444444444445,0.8043900543900544,0.6444444444444444,0.7148283814950481,0.4990473350567426,2.8803771866666565
50,300,30,2,2,gini,0.7000000000000001,0.7833333333333332,0.5555555555555555,0.648888888888889,0.41892547596257335,2.8803772622221406
50,500,30,2,2,gini,0.7555555555555555,0.8624708624708625,0.6222222222222222,0.718864468864469,0.5365749170705494,2.8803773344442662
50,10,30,5,2,gini,0.6444444444444445,0.6666666666666666,0.5777777777777778,0.6172839506172839,0.2925547957617169,2.8803774099997503
50,50,30,5,2,gini,0.7222222222222222,0.8397435897435898,0.5555555555555555,0.662008281573499,0.4756786570277199,2.880377482221876
50,100,30,5,2,gini,0.6555555555555554,0.7503607503607505,0.48888888888888893,0.5844772511439178,0.3373593206761654,2.8803775533328815
50,300,30,5,2,gini,0.7333333333333334,0.779120879120879,0.6444444444444445,0.7022660098522168,0.47455821624639977,2.880377624444534
50,500,30,5,2,gini,0.6999999999999998,0.7701631701631703,0.5777777777777778,0.6583882783882785,0.41493353013877904,2.88037769555554
50,10,50,2,1,gini,0.7222222222222222,0.8727272727272727,0.5333333333333333,0.6562237762237763,0.4867138259285171,2.880377771111024
50,50,50,2,1,gini,0.7444444444444445,0.7857142857142857,0.6666666666666666,0.7203065134099617,0.4948832285695957,2.8803778455553886
50,100,50,2,1,gini,0.7333333333333334,0.7652086475615887,0.6666666666666666,0.7023809523809524,0.4763429731431183,2.8803779211108727
50,300,50,2,1,gini,0.6888888888888888,0.7513597513597513,0.5555555555555555,0.6355311355311355,0.39109632357988783,2.8803779966663567
50,500,50,2,1,gini,0.7111111111111111,0.7924242424242424,0.5777777777777778,0.6673504273504274,0.43993031578204606,2.8803780688884824
50,10,50,5,1,gini,0.6333333333333333,0.6916666666666668,0.5111111111111111,0.5756334735857878,0.2838717663216023,2.8803781399994883
50,50,50,5,1,gini,0.6888888888888888,0.7564102564102564,0.5555555555555555,0.6380952380952382,0.39265924566132204,2.880378211111141
