n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,gini,10,2,1,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
10,gini,10,2,1,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.1,0.6333333333333333,0.2903225806451613,1.0,0.45,0.4063070132231382
10,entropy,10,2,1,1,0.2,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
10,entropy,10,2,1,1,0.30000000000000004,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
10,entropy,10,2,1,1,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
10,entropy,10,2,1,1,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
10,entropy,10,2,1,1,0.6,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,1,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,2,0.1,0.5166666666666667,0.2222222222222222,0.8888888888888888,0.35555555555555557,0.24772017853917946
10,entropy,10,2,1,2,0.2,0.7166666666666667,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.4192187636816883
10,entropy,10,2,1,2,0.30000000000000004,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
10,entropy,10,2,1,2,0.4,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
10,entropy,10,2,1,2,0.5,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
10,entropy,10,2,1,2,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
10,entropy,10,2,1,2,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,2,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,2,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,3,0.1,0.4166666666666667,0.19047619047619047,0.8888888888888888,0.3137254901960784,0.17315416054977323
10,entropy,10,2,1,3,0.2,0.7,0.32,0.8888888888888888,0.47058823529411764,0.40237390808147827
10,entropy,10,2,1,3,0.30000000000000004,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
10,entropy,10,2,1,3,0.4,0.8166666666666667,0.375,0.3333333333333333,0.35294117647058826,0.24715576637149037
10,entropy,10,2,1,3,0.5,0.8166666666666667,0.25,0.1111111111111111,0.15384615384615385,0.07484811885651198
10,entropy,10,2,1,3,0.6,0.8166666666666667,0.0,0.0,0.0,-0.07800764512385157
10,entropy,10,2,1,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,3,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,3,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,4,0.1,0.5666666666666667,0.2571428571428571,1.0,0.4090909090909091,0.35503580124836315
10,entropy,10,2,1,4,0.2,0.7666666666666667,0.38095238095238093,0.8888888888888888,0.5333333333333333,0.47461853595758285
10,entropy,10,2,1,4,0.30000000000000004,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
10,entropy,10,2,1,4,0.4,0.9333333333333333,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.738562091503268
10,entropy,10,2,1,4,0.5,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
10,entropy,10,2,1,4,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
10,entropy,10,2,1,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,4,0.8,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,4,0.9,0.85,1.0,0.0,0.0,0.0
10,entropy,10,2,1,5,0.1,0.4915254237288136,0.21621621621621623,0.8888888888888888,0.34782608695652173,0.2296658066547625
10,entropy,10,2,1,5,0.2,0.6779661016949152,0.25,0.5555555555555556,0.3448275862068966,0.1941083786910361
10,entropy,10,2,1,5,0.30000000000000004,0.8135593220338984,0.25,0.1111111111111111,0.15384615384615385,0.07309879850882874
10,entropy,10,2,1,5,0.4,0.8135593220338984,0.25,0.1111111111111111,0.15384615384615385,0.07309879850882874
10,entropy,10,2,1,5,0.5,0.8305084745762712,0.3333333333333333,0.1111111111111111,0.16666666666666666,0.11638287479252926
10,entropy,10,2,1,5,0.6,0.847457627118644,0.5,0.1111111111111111,0.18181818181818182,0.18101942213222266
10,entropy,10,2,1,5,0.7000000000000001,0.847457627118644,1.0,0.0,0.0,0.0
10,entropy,10,2,1,5,0.8,0.847457627118644,1.0,0.0,0.0,0.0
