pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,3,0.1,100,0.8,0.8817906836055656,0.9333333333333333,0.26666666666666666,0.3666666666666667,0.395003312633538
150,3,0.1,100,0.9,0.8679370840895342,0.9,0.17777777777777776,0.2721678321678322,0.3127049519756872
150,3,0.1,150,0.1,0.8889897156684816,0.6302991452991453,0.7555555555555555,0.678306282640648,0.622892678798922
150,3,0.1,150,0.2,0.9062915910465821,0.7316666666666667,0.6666666666666666,0.68406309892378,0.6396209829685378
150,3,0.1,150,0.30000000000000004,0.902843315184513,0.7611904761904762,0.6,0.652170868347339,0.6149684003643514
150,3,0.1,150,0.4,0.9027828191167574,0.7716450216450216,0.5555555555555556,0.6268315018315018,0.5957180521500146
150,3,0.1,150,0.5,0.9096793708408952,0.8128571428571428,0.5555555555555556,0.6428716020821283,0.6188424122558371
150,3,0.1,150,0.6,0.9096793708408952,0.8583333333333332,0.48888888888888893,0.6093945270415858,0.6008114778723146
150,3,0.1,150,0.7000000000000001,0.9061101028433152,0.95,0.4222222222222222,0.5501648351648352,0.5761218852894332
150,3,0.1,150,0.8,0.8852994555353902,0.9333333333333333,0.28888888888888886,0.3993939393939394,0.4213590738588101
150,3,0.1,150,0.9,0.8748941318814276,1.0,0.2,0.3030769230769231,0.3594431114077108
150,3,0.1,200,0.1,0.8924379915305505,0.6405555555555555,0.7555555555555555,0.6852326895670549,0.6305658401959436
150,3,0.1,200,0.2,0.902843315184513,0.718939393939394,0.6666666666666666,0.6766946778711485,0.630844638978351
150,3,0.1,200,0.30000000000000004,0.9027828191167574,0.7466450216450216,0.6,0.652170868347339,0.6100495769217362
150,3,0.1,200,0.4,0.9062915910465821,0.7816450216450217,0.5777777777777777,0.6488095238095238,0.6157072670477369
150,3,0.1,200,0.5,0.9096793708408952,0.803968253968254,0.5555555555555556,0.6446092796092796,0.6165315149378331
150,3,0.1,200,0.6,0.9096793708408952,0.8583333333333332,0.48888888888888893,0.6093945270415858,0.6008114778723146
150,3,0.1,200,0.7000000000000001,0.9096793708408952,0.925,0.4666666666666667,0.5827278603749192,0.5966359345064208
150,3,0.1,200,0.8,0.8922565033272838,0.95,0.3333333333333333,0.440034965034965,0.4591755906341679
150,3,0.1,200,0.9,0.8783424077434967,0.9333333333333333,0.2444444444444444,0.3495238095238095,0.37982005511454986
150,3,0.3,100,0.1,0.8682395644283121,0.5774509803921568,0.7777777777777778,0.6526591907666076,0.5921524435921346
