n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,10,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.7349540133339664
200,10,0.1,0.9111111111111111,0.05665577237325316,0.9077777777777778,0.09200107353104202,0.9333333333333332,0.08888888888888889,0.9136800334168754,0.0527128868979612,0.8354071570363413,0.10176081547517496,0.734954116666793
100,3,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349542222218588
150,3,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349543300004573
200,3,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349544377777621
100,5,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349545422230019
150,5,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349546455558286
200,5,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349547477775357
100,7,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349548488894168
150,7,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349549511111237
200,7,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349553588894195
100,10,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349554644444853
150,10,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349555688897251
200,10,0.3,0.9333333333333333,0.041573970964154924,0.9236363636363636,0.06913873942484196,0.9555555555555555,0.08888888888888889,0.9339473684210524,0.04324445747715046,0.8768604904869527,0.07524051281347996,0.7349556700003126
100,3,0.5,0.9,0.05443310539518171,0.89,0.08,0.9333333333333332,0.13333333333333336,0.8998496240601502,0.06093918865281893,0.8194990270745685,0.09176788449035746,0.7349558166668027
150,3,0.5,0.9,0.05443310539518171,0.89,0.08,0.9333333333333332,0.13333333333333336,0.8998496240601502,0.06093918865281893,0.8194990270745685,0.09176788449035746,0.7349559299997054
200,3,0.5,0.9,0.05443310539518171,0.89,0.08,0.9333333333333332,0.13333333333333336,0.8998496240601502,0.06093918865281893,0.8194990270745685,0.09176788449035746,0.7349560266671081
100,5,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349561211109782
150,5,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349562277784571
200,5,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349563300001642
100,7,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349564333329909
150,7,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349565377782306
200,7,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349566433332964
100,10,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349567477785361
150,10,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349568544447215
200,10,0.5,0.9111111111111111,0.06666666666666665,0.9099999999999999,0.0916515138991168,0.9333333333333332,0.13333333333333336,0.9103759398496241,0.07181360411663132,0.8406135888745853,0.11562350193360164,0.7349569577775482
