learning_rate,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,100,5,0.9,0.847457627118644,1.0,0.0,0.0,0.0
0.01,3,200,1,0.1,0.8,0.42105263157894735,0.8888888888888888,0.5714285714285714,0.5167534774045314
0.01,3,200,1,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
0.01,3,200,1,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
0.01,3,200,1,0.4,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,3,200,1,0.5,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,200,1,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.01,3,200,1,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,1,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,1,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,2,0.1,0.6333333333333333,0.27586206896551724,0.8888888888888888,0.42105263157894735,0.34092427546309295
0.01,3,200,2,0.2,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
0.01,3,200,2,0.30000000000000004,0.85,0.5,0.4444444444444444,0.47058823529411764,0.3844645254667628
0.01,3,200,2,0.4,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,3,200,2,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.01,3,200,2,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,2,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,2,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,2,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,3,0.1,0.75,0.35,0.7777777777777778,0.4827586206896552,0.3960590171906697
0.01,3,200,3,0.2,0.8666666666666667,0.5454545454545454,0.6666666666666666,0.6,0.5247346970015024
0.01,3,200,3,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.01,3,200,3,0.4,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,200,3,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,200,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,3,200,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,3,200,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,4,0.1,0.7833333333333333,0.4090909090909091,1.0,0.5806451612903226,0.5520985729238927
0.01,3,200,4,0.2,0.9,0.6363636363636364,0.7777777777777778,0.7,0.6453633629788592
0.01,3,200,4,0.30000000000000004,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,200,4,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.01,3,200,4,0.5,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,200,4,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,200,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,200,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,200,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,200,5,0.1,0.7457627118644068,0.36363636363636365,0.8888888888888888,0.5161290322580645,0.45272252534823687
0.01,3,200,5,0.2,0.8983050847457628,0.7142857142857143,0.5555555555555556,0.625,0.573232804884585
0.01,3,200,5,0.30000000000000004,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
0.01,3,200,5,0.4,0.864406779661017,1.0,0.1111111111111111,0.2,0.30949223029508643
