criterion,max_depth,min_samples_split,min_samples_leaf,max_features,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
entropy,300,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,300,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,500,10,2,,0.2,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,500,10,2,,0.30000000000000004,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,500,10,2,,0.4,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,500,10,2,,0.5,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,500,10,2,,0.6,0.8903825136612022,0.6462121212121212,0.7266666666666666,0.6804634581105168,0.6188590630885307
entropy,,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,10,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,30,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,50,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,100,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,300,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,500,10,2,,0.1,0.8803278688524591,0.6244949494949494,0.7688888888888888,0.6777698554169141,0.620161748
entropy,,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,10,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,10,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,30,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,30,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,50,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,50,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,100,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,100,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,300,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,300,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,500,5,2,,0.1,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,500,5,2,,0.2,0.8936612021857924,0.668009768,0.6844444444444444,0.6671717171717171,0.610653927
entropy,,10,1,,0.2,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,,10,1,,0.30000000000000004,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,,10,1,,0.4,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,,10,1,,0.5,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,10,10,1,,0.2,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,10,10,1,,0.30000000000000004,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,10,10,1,,0.4,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,10,10,1,,0.5,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,30,10,1,,0.2,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,30,10,1,,0.30000000000000004,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,30,10,1,,0.4,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,30,10,1,,0.5,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
entropy,50,10,1,,0.2,0.8837158469945354,0.6295454545454545,0.7066666666666667,0.6622816399286988,0.5964983833135328
