pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,uniform,cosine,3,0.9,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
180,3,uniform,cosine,4,0.1,0.7966101694915254,0.36363636363636365,0.4444444444444444,0.4,0.28105890440280973
180,3,uniform,cosine,4,0.2,0.7966101694915254,0.36363636363636365,0.4444444444444444,0.4,0.28105890440280973
180,3,uniform,cosine,4,0.30000000000000004,0.7966101694915254,0.36363636363636365,0.4444444444444444,0.4,0.28105890440280973
180,3,uniform,cosine,4,0.4,0.8305084745762712,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.34444444444444444
180,3,uniform,cosine,4,0.5,0.8305084745762712,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.34444444444444444
180,3,uniform,cosine,4,0.6,0.8305084745762712,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.34444444444444444
180,3,uniform,cosine,4,0.7000000000000001,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
180,3,uniform,cosine,4,0.8,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
180,3,uniform,cosine,4,0.9,0.8983050847457628,1.0,0.3333333333333333,0.5,0.5455447255899809
180,3,uniform,cosine,5,0.1,0.7288135593220338,0.3,0.75,0.42857142857142855,0.3438938007643096
180,3,uniform,cosine,5,0.2,0.7288135593220338,0.3,0.75,0.42857142857142855,0.3438938007643096
180,3,uniform,cosine,5,0.30000000000000004,0.7288135593220338,0.3,0.75,0.42857142857142855,0.3438938007643096
180,3,uniform,cosine,5,0.4,0.8135593220338984,0.4,0.75,0.5217391304347826,0.4509348578113083
180,3,uniform,cosine,5,0.5,0.8135593220338984,0.4,0.75,0.5217391304347826,0.4509348578113083
180,3,uniform,cosine,5,0.6,0.8135593220338984,0.4,0.75,0.5217391304347826,0.4509348578113083
180,3,uniform,cosine,5,0.7000000000000001,0.8813559322033898,0.5555555555555556,0.625,0.5882352941176471,0.5204374312304103
180,3,uniform,cosine,5,0.8,0.8813559322033898,0.5555555555555556,0.625,0.5882352941176471,0.5204374312304103
180,3,uniform,cosine,5,0.9,0.8813559322033898,0.5555555555555556,0.625,0.5882352941176471,0.5204374312304103
180,3,uniform,euclidean,1,0.1,0.8166666666666667,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5398335593610577
180,3,uniform,euclidean,1,0.2,0.8166666666666667,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5398335593610577
180,3,uniform,euclidean,1,0.30000000000000004,0.8166666666666667,0.4444444444444444,0.8888888888888888,0.5925925925925926,0.5398335593610577
180,3,uniform,euclidean,1,0.4,0.8666666666666667,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.5721576125703091
