pca__n_components,n_neighbors,weights,metric,threshold,accuracy,precision,recall,f1,mcc
180,5,uniform,cosine,0.4,0.7715819209039548,0.3712065712065712,0.7277777777777777,0.4860661230153903,0.39886726631278885
180,5,uniform,cosine,0.5,0.8220338983050848,0.44868421052631574,0.6611111111111111,0.524812030075188,0.44151935107639384
180,5,uniform,cosine,0.6,0.8220338983050848,0.44868421052631574,0.6611111111111111,0.524812030075188,0.44151935107639384
180,5,uniform,cosine,0.7000000000000001,0.872316384180791,0.618974358974359,0.5722222222222222,0.5703081232492997,0.5131467710284812
180,5,uniform,cosine,0.8,0.872316384180791,0.618974358974359,0.5722222222222222,0.5703081232492997,0.5131467710284812
180,5,uniform,cosine,0.9,0.8992090395480226,0.8428571428571429,0.45555555555555555,0.5678571428571428,0.5610588124533956
180,5,uniform,euclidean,0.1,0.6810169491525424,0.2951122951122951,0.8166666666666667,0.4321146953405018,0.3439606084106605
180,5,uniform,euclidean,0.2,0.6810169491525424,0.2951122951122951,0.8166666666666667,0.4321146953405018,0.3439606084106605
180,5,uniform,euclidean,0.30000000000000004,0.768135593220339,0.3690658017593002,0.7944444444444445,0.5028307580031718,0.4256296428396166
180,5,uniform,euclidean,0.4,0.768135593220339,0.3690658017593002,0.7944444444444445,0.5028307580031718,0.4256296428396166
180,5,uniform,euclidean,0.5,0.8118079096045199,0.4196428571428571,0.6833333333333333,0.5175900621118013,0.42990750229065766
180,5,uniform,euclidean,0.6,0.8118079096045199,0.4196428571428571,0.6833333333333333,0.5175900621118013,0.42990750229065766
180,5,uniform,euclidean,0.7000000000000001,0.8521468926553674,0.5196825396825397,0.5722222222222222,0.5346757044125465,0.4556096982042697
180,5,uniform,euclidean,0.8,0.8521468926553674,0.5196825396825397,0.5722222222222222,0.5346757044125465,0.4556096982042697
180,5,uniform,euclidean,0.9,0.9059887005649717,0.8,0.5055555555555555,0.6019823313940961,0.5821987407511398
180,7,distance,cosine,0.1,0.741638418079096,0.34093240093240096,0.7944444444444445,0.47404682451401026,0.39479770271004033
180,7,distance,cosine,0.2,0.8086440677966102,0.4158660130718954,0.75,0.5292475633528265,0.45600412778678906
180,7,distance,cosine,0.30000000000000004,0.8187570621468927,0.4354700854700854,0.7055555555555555,0.5306801346801346,0.4525959707089876
180,7,distance,cosine,0.4,0.8420903954802259,0.48960317460317454,0.6611111111111111,0.5548908503141913,0.4760695005356762
180,7,distance,cosine,0.5,0.8654802259887007,0.6111965811965812,0.6166666666666666,0.5863612375121326,0.5262121967812015
180,7,distance,cosine,0.6,0.8924293785310734,0.7061605061605062,0.6166666666666666,0.6338095238095238,0.5898878654502109
180,7,distance,cosine,0.7000000000000001,0.9058757062146892,0.78,0.6166666666666666,0.6634586466165413,0.632125229300428
180,7,distance,cosine,0.8,0.9126553672316385,0.8133333333333332,0.5944444444444444,0.6666666666666666,0.6408169766186609
180,7,distance,cosine,0.9,0.9025423728813559,0.8428571428571429,0.47777777777777775,0.5909340659340659,0.5790768782549159
180,7,distance,euclidean,0.1,0.6507909604519774,0.27886110668719366,0.8388888888888889,0.41760683760683764,0.32813261973853053
