n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
300,30,2,1,gini,0.9913564800333645,0.9915595732669399,0.9913564800333645,0.9913556591590019,0.0012578548223319756
500,30,2,1,gini,0.9913669064748202,0.9916089663480484,0.9913669064748202,0.9913654166129703,0.0012578548223319756
10,30,5,1,gini,0.9812636847044105,0.9817218431027124,0.9812636847044105,0.9812590965119095,0.0012578548223319756
50,30,5,1,gini,0.9856010843499113,0.9858027454337815,0.9856010843499113,0.9855998162809769,0.0012578548223319756
100,30,5,1,gini,0.9899176311125014,0.9899791555085912,0.9899176311125014,0.9899174060347933,0.0012578548223319756
300,30,5,1,gini,0.9927953289542281,0.9929379152613522,0.9927953289542281,0.9927948059781926,0.0012578548223319756
500,30,5,1,gini,0.9928057553956835,0.9929881446955111,0.9928057553956835,0.9928050106267328,0.0012578548223319756
10,30,2,2,gini,0.9625482222917319,0.9637393450273072,0.9625482222917319,0.9625244938503332,0.0012578548223319756
50,30,2,2,gini,0.9956730267959546,0.9957345511920443,0.9956730267959546,0.9956728017182466,0.0012578548223319756
100,30,2,2,gini,0.9928057553956835,0.9929481927536443,0.9928057553956835,0.9928053085250601,0.0012578548223319756
300,30,2,2,gini,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
500,30,2,2,gini,0.988478782191638,0.9887198648045084,0.988478782191638,0.9884772163632659,0.0012578548223319756
10,30,5,2,gini,0.9596913773329163,0.9604965462601992,0.9596913773329163,0.9596757166360522,0.0012578548223319756
50,30,5,2,gini,0.9855906579084559,0.9858702545419359,0.9855906579084559,0.9855873658010772,0.0012578548223319756
100,30,5,2,gini,0.9913564800333645,0.9914382615157109,0.9913564800333645,0.9913562549556566,0.0012578548223319756
300,30,5,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
500,30,5,2,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
10,50,2,1,gini,0.9769471379418204,0.9774636206970782,0.9769471379418204,0.9769415059713058,0.0012578548223319756
50,50,2,1,gini,0.9899280575539569,0.9901484362330798,0.9899280575539569,0.989926567830997,0.0012578548223319756
100,50,2,1,gini,0.9913669064748202,0.9916089663480484,0.9913669064748202,0.9913654166129703,0.0012578548223319756
300,50,2,1,gini,0.9928057553956835,0.9929873083424609,0.9928057553956835,0.992804563432161,0.0012578548223319756
500,50,2,1,gini,0.9913669064748202,0.9916459157031475,0.9913669064748202,0.9913639254083421,0.0012578548223319756
10,50,5,1,gini,0.9726514440621414,0.9729445878797833,0.9726514440621414,0.9726465981114844,0.0012578548223319756
50,50,5,1,gini,0.9942446043165468,0.9943664866899237,0.9942446043165468,0.9942441574459234,0.0012578548223319756
100,50,5,1,gini,0.988478782191638,0.9886807411738354,0.988478782191638,0.9884775141227035,0.0012578548223319756
300,50,5,1,gini,0.9899280575539569,0.9901093126024069,0.9899280575539569,0.9899268655904343,0.0012578548223319756
500,50,5,1,gini,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
10,50,2,2,gini,0.9755291419038681,0.9760191167100201,0.9755291419038681,0.9755219132768943,0.0012578548223319756
50,50,2,2,gini,0.9841622354290482,0.9846190516318334,0.9841622354290482,0.9841576889976599,0.0012578548223319756
100,50,2,2,gini,0.9899176311125014,0.9900590831682481,0.9899176311125014,0.9899166609418941,0.0012578548223319756
300,50,2,2,gini,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
500,50,2,2,gini,0.9899176311125014,0.990180394919477,0.9899176311125014,0.9899160651452394,0.0012578548223319756
10,50,5,2,gini,0.9668439161714106,0.9672481084923266,0.9668439161714106,0.9668348161619587,0.0012578548223319756
50,50,5,2,gini,0.9841726618705037,0.9844324540367706,0.9841726618705037,0.9841704270546444,0.0012578548223319756
100,50,5,2,gini,0.9899176311125014,0.9900975448780519,0.9899176311125014,0.9899160651452394,0.0012578548223319756
300,50,5,2,gini,0.9870399332707749,0.9873406864570455,0.9870399332707749,0.9870376223495034,0.0012578548223319756
