pca__n_components,max_depth,learning_rate,n_estimators,threshold,accuracy,precision,recall,f1,mcc
150,5,0.1,150,0.4,0.8993950393224439,0.9028571428571428,0.4222222222222222,0.5447402597402597,0.5585155870281635
150,5,0.1,150,0.5,0.8854204476709014,0.8933333333333333,0.3333333333333333,0.4664069264069264,0.4905120155948328
150,5,0.1,150,0.6,0.8784029038112523,0.9099999999999999,0.26666666666666666,0.39204795204795206,0.4368190026634199
150,5,0.1,150,0.7000000000000001,0.8783424077434967,0.96,0.2444444444444444,0.367012987012987,0.4300272776143911
150,5,0.1,150,0.8,0.8714458560193588,1.0,0.17777777777777776,0.27999999999999997,0.3414223843348999
150,5,0.1,150,0.9,0.8610405323653962,1.0,0.11111111111111112,0.18545454545454546,0.23810476072247613
150,5,0.1,200,0.1,0.8925589836660617,0.6546464646464647,0.7333333333333333,0.6858395776312051,0.6275397524735962
150,5,0.1,200,0.2,0.9029038112522686,0.7576190476190476,0.6,0.655952380952381,0.615191574036913
150,5,0.1,200,0.30000000000000004,0.8958862673926195,0.7766666666666666,0.4666666666666666,0.5665934065934066,0.5441142290359168
150,5,0.1,200,0.4,0.8993345432546885,0.8361904761904763,0.4444444444444445,0.565952380952381,0.5570099633176928
150,5,0.1,200,0.5,0.8924379915305505,0.8933333333333333,0.37777777777777777,0.5092640692640693,0.5248687796123559
150,5,0.1,200,0.6,0.8784633998790078,0.8800000000000001,0.28888888888888886,0.41818181818181815,0.449219490807636
150,5,0.1,200,0.7000000000000001,0.8783424077434967,0.96,0.2444444444444444,0.367012987012987,0.4300272776143911
150,5,0.1,200,0.8,0.8748941318814276,1.0,0.2,0.32,0.40323389433126866
150,5,0.1,200,0.9,0.8610405323653962,1.0,0.11111111111111112,0.18545454545454546,0.23810476072247613
150,5,0.3,100,0.1,0.9064730792498488,0.7234126984126984,0.711111111111111,0.7081770389315146,0.6594392163596735
150,5,0.3,100,0.2,0.8958862673926195,0.7323809523809525,0.5555555555555556,0.6239348370927318,0.5772694340882049
150,5,0.3,100,0.30000000000000004,0.8958257713248639,0.7628571428571428,0.5111111111111111,0.594172932330827,0.5628155295854832
150,5,0.3,100,0.4,0.8958257713248639,0.780952380952381,0.4666666666666667,0.5761904761904761,0.5486740867016773
150,5,0.3,100,0.5,0.8957652752571083,0.8,0.4444444444444445,0.563076923076923,0.5431282904455035
150,5,0.3,100,0.6,0.8923169993950394,0.86,0.4,0.527012987012987,0.529566676682263
150,5,0.3,100,0.7000000000000001,0.8853599516031458,0.9333333333333332,0.31111111111111106,0.44792540792540797,0.4873304501767176
150,5,0.3,100,0.8,0.8819116757410768,0.9333333333333332,0.26666666666666666,0.40792540792540793,0.4573435454067239
150,5,0.3,100,0.9,0.8644888082274651,1.0,0.13333333333333333,0.2254545454545455,0.29991627071884486
150,5,0.3,150,0.1,0.9099213551119177,0.7311050061050061,0.711111111111111,0.7137106357694594,0.6657931014619443
150,5,0.3,150,0.2,0.9063520871143375,0.7796536796536797,0.6,0.6661904761904761,0.6277211722778272
150,5,0.3,150,0.30000000000000004,0.8958257713248639,0.7628571428571428,0.5111111111111111,0.594172932330827,0.5628155295854832
150,5,0.3,150,0.4,0.8992740471869329,0.7916666666666667,0.48888888888888893,0.5938375350140056,0.5672985772157546
150,5,0.3,150,0.5,0.8993345432546885,0.8476190476190476,0.4666666666666667,0.5822510822510822,0.5709778522259414
150,5,0.3,150,0.6,0.8923169993950394,0.86,0.4,0.527012987012987,0.529566676682263
150,5,0.3,150,0.7000000000000001,0.8853599516031458,0.9333333333333332,0.31111111111111106,0.44792540792540797,0.4873304501767176
150,5,0.3,150,0.8,0.8784633998790078,0.9,0.26666666666666666,0.4027972027972028,0.44319754480177737
150,5,0.3,150,0.9,0.8679370840895342,1.0,0.15555555555555553,0.2581818181818182,0.3262964710912958
150,5,0.3,200,0.1,0.9099213551119177,0.7311050061050061,0.711111111111111,0.7137106357694594,0.6657931014619443
150,5,0.3,200,0.2,0.9063520871143375,0.7796536796536797,0.6,0.6661904761904761,0.6277211722778272
150,5,0.3,200,0.30000000000000004,0.8958257713248639,0.7628571428571428,0.5111111111111111,0.594172932330827,0.5628155295854832
150,5,0.3,200,0.4,0.8992740471869329,0.7916666666666667,0.48888888888888893,0.5938375350140056,0.5672985772157546
150,5,0.3,200,0.5,0.8993345432546885,0.8476190476190476,0.4666666666666667,0.5822510822510822,0.5709778522259414
150,5,0.3,200,0.6,0.8923169993950394,0.86,0.4,0.527012987012987,0.529566676682263
