dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,accuracy,precision,recall,f1,mcc
10,10,5,gini,,3,0.9310344827586207,0.6923076923076923,1.0,0.8181818181818182,0.7973661509306258
10,10,5,gini,,4,1.0,1.0,1.0,1.0,1.0
10,10,5,gini,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
10,10,5,gini,sqrt,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
10,10,5,gini,sqrt,2,0.9137931034482759,0.7,0.7777777777777778,0.7368421052631579,0.6868266990937797
10,10,5,gini,sqrt,3,0.8620689655172413,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.568984734861607
10,10,5,gini,sqrt,4,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
10,10,5,gini,sqrt,5,0.8596491228070176,0.5714285714285714,0.4444444444444444,0.5,0.42433421239575275
10,10,5,gini,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
10,10,5,gini,log2,2,0.5862068965517241,0.25806451612903225,0.8888888888888888,0.4,0.3045016881351249
10,10,5,gini,log2,3,0.8448275862068966,0.5,0.2222222222222222,0.3076923076923077,0.25920526378657965
10,10,5,gini,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
10,10,5,gini,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
10,10,5,entropy,,1,0.9310344827586207,1.0,0.5555555555555556,0.7142857142857143,0.7166776363062763
10,10,5,entropy,,2,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
10,10,5,entropy,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
10,10,5,entropy,,4,0.9824561403508771,0.9,1.0,0.9473684210526315,0.9387491677759293
10,10,5,entropy,,5,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
10,10,5,entropy,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
10,10,5,entropy,sqrt,2,0.8103448275862069,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.36887782999545776
10,10,5,entropy,sqrt,3,0.7931034482758621,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.3406033187925883
10,10,5,entropy,sqrt,4,0.8421052631578947,0.5,0.5555555555555556,0.5263157894736842,0.4327567085491873
10,10,5,entropy,sqrt,5,0.8421052631578947,0.5,0.7777777777777778,0.6086956521739131,0.5353311660685758
10,10,5,entropy,log2,1,0.8448275862068966,0.5,0.5555555555555556,0.5263157894736842,0.4347004424644175
10,10,5,entropy,log2,2,0.7586206896551724,0.3684210526315789,0.7777777777777778,0.5,0.4110924148026229
10,10,5,entropy,log2,3,0.8448275862068966,0.5,0.1111111111111111,0.18181818181818182,0.1799830823853463
10,10,5,entropy,log2,4,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
10,10,5,entropy,log2,5,0.8421052631578947,0.5,0.6666666666666666,0.5714285714285714,0.4844813951249544
20,5,2,gini,,1,0.9137931034482759,1.0,0.4444444444444444,0.6153846153846154,0.6350528962771202
20,5,2,gini,,2,0.9827586206896551,1.0,0.8888888888888888,0.9411764705882353,0.9333333333333333
20,5,2,gini,,3,0.896551724137931,0.6,1.0,0.75,0.7256242913828739
20,5,2,gini,,4,1.0,1.0,1.0,1.0,1.0
20,5,2,gini,,5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
20,5,2,gini,sqrt,1,0.9137931034482759,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.636231857281249
20,5,2,gini,sqrt,2,0.8448275862068966,0.5,0.3333333333333333,0.4,0.32350772404131306
20,5,2,gini,sqrt,3,0.8620689655172413,0.5454545454545454,0.6666666666666666,0.6,0.5214765466012004
20,5,2,gini,sqrt,4,0.8947368421052632,0.6363636363636364,0.7777777777777778,0.7,0.6416587529241817
20,5,2,gini,sqrt,5,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
20,5,2,gini,log2,1,0.8793103448275862,0.625,0.5555555555555556,0.5882352941176471,0.5190476190476191
20,5,2,gini,log2,2,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
20,5,2,gini,log2,3,0.896551724137931,0.7142857142857143,0.5555555555555556,0.625,0.5721006673984126
