svd__n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
,15,distance,euclidean,0.8368055555555555,0.47566069906223357,0.6444444444444445,0.5453320802005012,0.45789794569800435
,15,distance,euclidean,,,,,
,15,distance,euclidean,,,,,
,20,uniform,euclidean,0.8229166666666666,0.463327859879584,0.6666666666666666,0.5390463777560551,0.45210238704717626
,20,uniform,euclidean,0.8055555555555557,0.43532029051887716,0.7333333333333334,0.5375494071146245,0.456599797749617
,20,uniform,euclidean,,,,,
,20,uniform,euclidean,,,,,
,20,distance,euclidean,0.8645833333333334,0.5610025062656642,0.7111111111111111,0.6192021636240703,0.5506195279704212
,20,distance,euclidean,0.8402777777777778,0.5011904761904762,0.7333333333333334,0.5860465116279069,0.5136775311833975
,20,distance,euclidean,,,,,
,20,distance,euclidean,,,,,
,3,uniform,cosine,0.8472222222222222,0.5403508771929825,0.5111111111111111,0.5155724225173941,0.43210848048617323
,3,uniform,cosine,0.8298611111111112,0.469683257918552,0.5111111111111111,0.4857142857142857,0.38752545246305664
,3,uniform,cosine,,,,,
,3,uniform,cosine,,,,,
,3,distance,cosine,0.8715277777777777,0.6222222222222222,0.48888888888888893,0.5451170710940826,0.47772350949198167
,3,distance,cosine,0.857638888888889,0.5551282051282052,0.48888888888888893,0.5188712522045855,0.4376407500484569
,3,distance,cosine,,,,,
,3,distance,cosine,,,,,
,5,uniform,cosine,0.8298611111111112,0.46241830065359474,0.5333333333333333,0.4936507936507937,0.3948396919398329
,5,uniform,cosine,0.8263888888888888,0.45340177133655396,0.5777777777777778,0.5051362521651147,0.4085011744755492
,5,uniform,cosine,,,,,
,5,uniform,cosine,,,,,
,5,distance,cosine,0.8715277777777778,0.6047008547008548,0.5111111111111111,0.5537918871252204,0.4818217770853875
,5,distance,cosine,0.8715277777777778,0.5932539682539683,0.5555555555555555,0.5718013155907112,0.4981326415031961
,5,distance,cosine,,,,,
,5,distance,cosine,,,,,
,7,uniform,cosine,0.8020833333333334,0.40331384015594546,0.5555555555555555,0.46494355317884734,0.35613901126695197
,7,uniform,cosine,0.798611111111111,0.3989603638726445,0.5777777777777778,0.4687208216619981,0.36174741708203384
,7,uniform,cosine,,,,,
,7,uniform,cosine,,,,,
,7,distance,cosine,0.857638888888889,0.546031746031746,0.5333333333333333,0.539463601532567,0.4554327053050045
,7,distance,cosine,0.8541666666666666,0.5323879551820728,0.5555555555555555,0.542779013718947,0.45692813086052214
,7,distance,cosine,,,,,
,7,distance,cosine,,,,,
,9,uniform,cosine,0.7743055555555557,0.36643678160919535,0.6,0.4523809523809524,0.3387209919793483
,9,uniform,cosine,0.7743055555555557,0.36903225806451606,0.6222222222222222,0.45962732919254656,0.3503524917945937
,9,uniform,cosine,,,,,
,9,uniform,cosine,,,,,
,9,distance,cosine,0.8541666666666666,0.5384615384615384,0.5333333333333333,0.5345622119815668,0.44907490349671475
,9,distance,cosine,0.857638888888889,0.5458689458689459,0.5555555555555555,0.548051948051948,0.4655472140051484
,9,distance,cosine,,,,,
,9,distance,cosine,,,,,
,11,uniform,cosine,0.7777777777777778,0.36812865497076025,0.5555555555555555,0.4383442265795207,0.3216079185497495
,11,uniform,cosine,0.8055555555555555,0.41258318209316397,0.6222222222222222,0.49108734402852044,0.39389237808156025
,11,uniform,cosine,,,,,
,11,uniform,cosine,,,,,
,11,distance,cosine,0.8472222222222222,0.518111518111518,0.5111111111111111,0.5121908742598398,0.42345438638474625
,11,distance,cosine,0.8645833333333334,0.5682539682539682,0.5777777777777778,0.5662713616736605,0.4911170817624269
,11,distance,cosine,,,,,
,11,distance,cosine,,,,,
,15,uniform,cosine,0.7951388888888888,0.3865751334858887,0.5333333333333333,0.4475305911838419,0.3326738115831671
,15,uniform,cosine,0.8020833333333334,0.4064428312159709,0.6222222222222222,0.4871657754010695,0.38838160573349323
,15,uniform,cosine,,,,,
,15,uniform,cosine,,,,,
,15,distance,cosine,0.8645833333333334,0.5839160839160839,0.5111111111111111,0.5420063807160581,0.4665045175294876
,15,distance,cosine,0.875,0.6077256077256078,0.6,0.5921855921855922,0.5270604668036092
,15,distance,cosine,,,,,
,15,distance,cosine,,,,,
,20,uniform,cosine,0.8194444444444445,0.4413745296098237,0.5555555555555555,0.4904449904449904,0.387525610256871
,20,uniform,cosine,0.8125,0.432943469785575,0.6444444444444444,0.5110714993067934,0.41935395447574275
,20,uniform,cosine,,,,,
,20,uniform,cosine,,,,,
,20,distance,cosine,0.861111111111111,0.5683760683760682,0.5111111111111111,0.5362405416168857,0.4571046041010634
,20,distance,cosine,0.8680555555555555,0.5822649572649573,0.6222222222222222,0.5864197530864197,0.5202572917991358
,20,distance,cosine,,,,,
,20,distance,cosine,,,,,
