n_components,n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc
180,100,50,5,2,gini,0.8795480225988701,0.8333333333333333,0.2444444444444444,0.3661072261072261,0.40115845060176947
180,10,10,2,1,entropy,0.8762146892655368,0.7666666666666666,0.2666666666666666,0.39487179487179486,0.40342481425457716
180,50,10,2,1,entropy,0.8862146892655367,0.95,0.26666666666666666,0.3953846153846154,0.45016404632808465
180,100,10,2,1,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,10,5,1,entropy,0.8627118644067796,0.6333333333333333,0.2444444444444444,0.35128205128205126,0.3324458202913562
180,50,10,5,1,entropy,0.8828813559322034,0.9199999999999999,0.26666666666666666,0.38879120879120876,0.4363423632660052
180,100,10,5,1,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,10,2,2,entropy,0.8695480225988701,0.6733333333333333,0.28888888888888886,0.3996336996336996,0.37980229862382914
180,50,10,2,2,entropy,0.8795480225988701,0.9333333333333332,0.22222222222222224,0.3466666666666666,0.40871913640641766
180,100,10,2,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,10,5,2,entropy,0.8560451977401129,0.5833333333333333,0.26666666666666666,0.3618315018315018,0.3228970251889911
180,50,10,5,2,entropy,0.8828813559322034,0.95,0.2444444444444444,0.37230769230769234,0.43214598052656433
180,100,10,5,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,30,2,1,entropy,0.876271186440678,0.8,0.24444444444444446,0.37272727272727274,0.39669858891522264
180,50,30,2,1,entropy,0.8828813559322034,0.9333333333333332,0.2444444444444444,0.36974358974358973,0.426737202207938
180,100,30,2,1,entropy,0.8728813559322035,0.8,0.22222222222222224,0.33999999999999997,0.37029487783657034
180,10,30,5,1,entropy,0.8728248587570622,0.7,0.2444444444444444,0.35944055944055947,0.3626183820055179
180,50,30,5,1,entropy,0.8828813559322034,0.9199999999999999,0.26666666666666666,0.38879120879120876,0.4363423632660052
180,100,30,5,1,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,30,2,2,entropy,0.8696045197740114,0.7066666666666667,0.2666666666666666,0.3774891774891775,0.3730760732844746
180,50,30,2,2,entropy,0.8795480225988701,0.9333333333333332,0.22222222222222224,0.3466666666666666,0.40871913640641766
180,100,30,2,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,30,5,2,entropy,0.8728248587570622,0.6666666666666666,0.26666666666666666,0.3740925740925741,0.36492747715439294
180,50,30,5,2,entropy,0.8828813559322034,0.95,0.2444444444444444,0.37230769230769234,0.43214598052656433
180,100,30,5,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,50,2,1,entropy,0.876271186440678,0.8,0.24444444444444446,0.37272727272727274,0.39669858891522264
180,50,50,2,1,entropy,0.8828813559322034,0.9333333333333332,0.2444444444444444,0.36974358974358973,0.426737202207938
180,100,50,2,1,entropy,0.8728813559322035,0.8,0.22222222222222224,0.33999999999999997,0.37029487783657034
180,10,50,5,1,entropy,0.8728248587570622,0.7,0.2444444444444444,0.35944055944055947,0.3626183820055179
180,50,50,5,1,entropy,0.8828813559322034,0.9199999999999999,0.26666666666666666,0.38879120879120876,0.4363423632660052
180,100,50,5,1,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,50,2,2,entropy,0.8696045197740114,0.7066666666666667,0.2666666666666666,0.3774891774891775,0.3730760732844746
180,50,50,2,2,entropy,0.8795480225988701,0.9333333333333332,0.22222222222222224,0.3466666666666666,0.40871913640641766
180,100,50,2,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
180,10,50,5,2,entropy,0.8728248587570622,0.6666666666666666,0.26666666666666666,0.3740925740925741,0.36492747715439294
180,50,50,5,2,entropy,0.8828813559322034,0.95,0.2444444444444444,0.37230769230769234,0.43214598052656433
180,100,50,5,2,entropy,0.8762146892655368,0.8333333333333333,0.22222222222222224,0.343030303030303,0.3831403848002491
200,10,10,2,1,gini,0.8694915254237288,0.6666666666666666,0.28888888888888886,0.3896969696969697,0.373628662231899
200,50,10,2,1,gini,0.8728813559322035,0.9,0.17777777777777776,0.29454545454545455,0.3635280072045767
200,100,10,2,1,gini,0.8762146892655368,1.0,0.17777777777777776,0.2981818181818182,0.38910675881074525
200,10,10,5,1,gini,0.8828248587570622,0.9333333333333332,0.24444444444444446,0.36666666666666664,0.39406210727131785
200,50,10,5,1,gini,0.8694915254237288,0.8333333333333333,0.17777777777777776,0.27575757575757576,0.30042686696038023
