n_components,n_neighbors,weights,metric,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
200,11,uniform,euclidean,0.7914700544464609,0.048982243109569015,0.4133600713012478,0.0665355431210722,0.711111111111111,0.11331154474650632,0.518502210433245,0.07263335868648697,0.42563237895221534,0.09780721481594337
220,11,uniform,euclidean,0.7949183303085299,0.048365083340667456,0.42071301247771836,0.06386801060458999,0.7333333333333334,0.11331154474650632,0.5301945181255526,0.07015757726951027,0.4419522598405699,0.09471210436139878
150,11,distance,euclidean,0.8364186327888687,0.05879097381553155,0.4920684217743041,0.13504076534589546,0.6888888888888889,0.19116278371205836,0.5668353215412039,0.1525190298014389,0.48616167939286725,0.1810920492351526
180,11,distance,euclidean,0.8538415003024802,0.03874649170410825,0.5307142857142857,0.11021109409116205,0.6222222222222222,0.1507184440694504,0.5679185175214251,0.11991900366873619,0.4868652268978493,0.1399325274493676
200,11,distance,euclidean,0.8400483968542044,0.03970561140713111,0.49826007326007327,0.07633562533483015,0.711111111111111,0.11331154474650632,0.5828178351015879,0.0835729841015757,0.5023943719385037,0.10564134170595202
220,11,distance,euclidean,0.8434966727162735,0.039219279254708715,0.505952380952381,0.07415434048760684,0.7333333333333334,0.11331154474650632,0.5954660564454615,0.08172634440077808,0.5188786284431349,0.10333297310357838
150,3,uniform,cosine,0.843859649122807,0.0342625716481425,0.5786013986013986,0.21571022522487338,0.6222222222222222,0.16629588385661961,0.5490118577075098,0.060661314103999366,0.4895468269925187,0.07500302739464812
180,3,uniform,cosine,0.8646098003629763,0.02013946714857507,0.6243589743589744,0.19031445655398468,0.6444444444444446,0.1777777777777778,0.58760834893558,0.06403744320494943,0.5374549166597669,0.057323069140388906
200,3,uniform,cosine,0.8646098003629763,0.02013946714857507,0.6243589743589744,0.19031445655398468,0.6444444444444446,0.1777777777777778,0.58760834893558,0.06403744320494943,0.5374549166597669,0.057323069140388906
220,3,uniform,cosine,0.8646098003629763,0.02013946714857507,0.6243589743589744,0.19031445655398468,0.6444444444444446,0.1777777777777778,0.58760834893558,0.06403744320494943,0.5374549166597669,0.057323069140388906
150,3,distance,cosine,0.8715668481548698,0.020534472134133612,0.646076146076146,0.1824661879658426,0.6222222222222222,0.16629588385661961,0.5926695526695527,0.06905834045479518,0.5429830586938411,0.06144163687505325
180,3,distance,cosine,0.8957652752571083,0.011595062118050546,0.7195454545454545,0.14269831785047565,0.6444444444444446,0.1777777777777778,0.645015479876161,0.08801386587912857,0.6069296444910228,0.06461582716330565
200,3,distance,cosine,0.8957652752571083,0.011595062118050546,0.7195454545454545,0.14269831785047565,0.6444444444444446,0.1777777777777778,0.645015479876161,0.08801386587912857,0.6069296444910228,0.06461582716330565
220,3,distance,cosine,0.8957652752571083,0.011595062118050546,0.7195454545454545,0.14269831785047565,0.6444444444444446,0.1777777777777778,0.645015479876161,0.08801386587912857,0.6069296444910228,0.06461582716330565
150,5,uniform,cosine,0.8194192377495464,0.04236020888841429,0.49000000000000005,0.1420485050177501,0.6222222222222222,0.16629588385661961,0.5140468227424749,0.0723828121662001,0.43566665129603727,0.08824207949978385
180,5,uniform,cosine,0.8333333333333334,0.030463239279761398,0.5126373626373626,0.12658367636598417,0.6222222222222222,0.16629588385661961,0.531042870173305,0.06757097911886357,0.45688406312944163,0.07499695649413696
200,5,uniform,cosine,0.8228675136116153,0.04074876095646364,0.4957142857142857,0.13885178642748644,0.6222222222222222,0.16629588385661961,0.5183946488294315,0.07206066596347768,0.4409787283529643,0.08668312987598038
220,5,uniform,cosine,0.8228675136116153,0.030360709678061405,0.4722619047619048,0.07947139704224283,0.6444444444444446,0.1777777777777778,0.5230766045548655,0.07622583525540344,0.4428731803701284,0.08519897241902534
150,5,distance,cosine,0.8750151240169389,0.012716267686176666,0.619055944055944,0.07667314769899745,0.6222222222222222,0.16629588385661961,0.5972274784039491,0.07822261259663765,0.539419657739187,0.06496115487491406
180,5,distance,cosine,0.8819116757410768,0.00738101611893387,0.6389393939393939,0.05855546059169547,0.6222222222222222,0.16629588385661961,0.6096038739382392,0.08281365627222159,0.5542774709196391,0.06844620016969793
200,5,distance,cosine,0.8784029038112523,0.011697818508479863,0.6250505050505051,0.06773147193574486,0.6222222222222222,0.16629588385661961,0.603067926225821,0.0854886188680317,0.5452018131393184,0.07536635618968927
220,5,distance,cosine,0.8784029038112523,0.011697818508479861,0.6056060606060607,0.021659778519404146,0.6444444444444446,0.1777777777777778,0.6100280112044818,0.09788998646627949,0.5488958704618625,0.09570930853139041
150,7,uniform,cosine,0.7917120387174834,0.0411722743971558,0.4227777777777778,0.09717697359730268,0.6222222222222222,0.16629588385661961,0.4774179894179894,0.058129579965482396,0.38597166118306975,0.07237395885478268
180,7,uniform,cosine,0.8055656382335148,0.037240919395878744,0.4425,0.09153020145163987,0.6222222222222222,0.16629588385661961,0.49371428571428566,0.06751796603098655,0.40552566648187705,0.08001355531023258
200,7,uniform,cosine,0.8055656382335148,0.04484280969027835,0.4698529411764706,0.1474516811362156,0.6444444444444446,0.1777777777777778,0.504,0.06336967710452186,0.42597041525265,0.08173118290599601
220,7,uniform,cosine,0.8020568663036902,0.039464863779166436,0.4412418300653595,0.09238157198356567,0.6666666666666667,0.1987615979999813,0.5039251119251118,0.07573333010247138,0.42287756472142235,0.09432273197526733
150,7,distance,cosine,0.8575922565033274,0.013406944123885059,0.5476923076923077,0.04495888983446909,0.6222222222222222,0.16629588385661961,0.5663050907902166,0.0794173051454952,0.4951361264821698,0.07697441564622767
180,7,distance,cosine,0.8748941318814278,0.013949034226628632,0.5950505050505052,0.026278938213194533,0.6222222222222222,0.16629588385661961,0.5964745196324144,0.096687737636421,0.5311755715201676,0.09616298343582431
200,7,distance,cosine,0.8748941318814276,0.017823870522726132,0.6106060606060606,0.08223798027340551,0.6444444444444446,0.1777777777777778,0.6042375168690958,0.0931665891366986,0.5459533515660854,0.08823717885218754
220,7,distance,cosine,0.8713853599516032,0.0242614122819907,0.5776923076923077,0.05660572195506309,0.6666666666666667,0.1987615979999813,0.6039644565960354,0.11551488546839915,0.5406459557497383,0.12353113403036826
150,9,uniform,cosine,0.7915910465819722,0.04033413980188774,0.4086764705882353,0.0669019061903554,0.6222222222222222,0.16629588385661961,0.47661538461538455,0.071636161573401,0.38046645255595396,0.0877117082019927
180,9,uniform,cosine,0.7950393224440411,0.051669662783818376,0.42484126984126985,0.09386488509591344,0.6444444444444445,0.12957670877434002,0.49807407407407406,0.06926080410239864,0.4019244604486108,0.09485818624074138
200,9,uniform,cosine,0.7950393224440411,0.041046749149616216,0.4161764705882353,0.06760708537630937,0.6444444444444446,0.1777777777777778,0.48861538461538456,0.07917683003379956,0.39684742982083626,0.09688218419443352
220,9,uniform,cosine,0.7950393224440411,0.043848007299877034,0.4182189542483661,0.07219948330410789,0.6666666666666667,0.1987615979999813,0.4957037037037037,0.08997540069786197,0.4081177187856932,0.1130186637517177
150,9,distance,cosine,0.8713853599516032,0.018729762344946582,0.5866666666666667,0.05312459150169741,0.6222222222222222,0.16629588385661961,0.5909774436090225,0.09771736662141355,0.5244265494925153,0.09966822532057222
180,9,distance,cosine,0.8748336358136722,0.02128430152229847,0.5972727272727273,0.056581527355072984,0.6222222222222222,0.16629588385661961,0.5976441102756891,0.1036129874000847,0.5322181900038905,0.10684756975718965
200,9,distance,cosine,0.8748336358136722,0.026283713963415962,0.594965034965035,0.07068598437256268,0.6444444444444446,0.1777777777777778,0.6056185919343814,0.11376058274177547,0.5414946861036244,0.11949463297299287
220,9,distance,cosine,0.8748336358136722,0.03415344604205795,0.5927272727272727,0.08632056342159433,0.6666666666666667,0.1987615979999813,0.6127165740438051,0.12967974095640308,0.5506581435194959,0.14057664549077617
150,11,uniform,cosine,0.7601935874168179,0.05880871256438481,0.35987394957983193,0.06797198043296866,0.6444444444444444,0.19116278371205836,0.45178481649069885,0.09815922720093252,0.3458486789572118,0.13152048894212523
180,11,uniform,cosine,0.7811857229280097,0.05042034233163684,0.4003508771929824,0.07810606529890096,0.6666666666666667,0.1405456737852613,0.488562091503268,0.06971677559912856,0.39093508852321424,0.09395118629725915
200,11,uniform,cosine,0.7916515426497278,0.04948356469214666,0.42433731387291757,0.09329757895186452,0.6888888888888889,0.1632993161855452,0.507875457875458,0.07078132598996156,0.41992974918831366,0.09753653184627992
220,11,uniform,cosine,0.7778584392014519,0.0641935972684084,0.4115226685639931,0.10389606770937669,0.6888888888888889,0.1632993161855452,0.49537545787545784,0.07636676342351857,0.40450963193883566,0.10361969201532759
150,11,distance,cosine,0.8677555958862673,0.04151696641871205,0.5654545454545454,0.10403873687003949,0.6444444444444444,0.19116278371205836,0.5948872180451128,0.1418730205857984,0.5234856813658887,0.16201798706687728
180,11,distance,cosine,0.8747731397459166,0.03268299710565074,0.5876923076923077,0.09276808265650051,0.6444444444444446,0.1777777777777778,0.6072727272727272,0.12956754043066665,0.5394385586131546,0.14357433994374671
200,11,distance,cosine,0.8782214156079855,0.03883244427014909,0.6040559440559441,0.10105454046050817,0.6666666666666667,0.1987615979999813,0.6203554340396444,0.13954505541205622,0.5588027162647144,0.15369687020837658
220,11,distance,cosine,0.8678765880217785,0.047646712181584415,0.5838636363636364,0.12038248273216634,0.6666666666666667,0.1987615979999813,0.6050827067669172,0.1411271393704993,0.5412616685544599,0.1565128582032629
