pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
0.9,3,uniform,cosine,2,0.9,0.8166666666666667,0.3333333333333333,0.2222222222222222,0.26666666666666666,0.17114534360342343
0.9,3,uniform,cosine,3,0.1,0.7333333333333333,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.31607251530568425
0.9,3,uniform,cosine,3,0.2,0.7333333333333333,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.31607251530568425
0.9,3,uniform,cosine,3,0.30000000000000004,0.7333333333333333,0.3157894736842105,0.6666666666666666,0.42857142857142855,0.31607251530568425
0.9,3,uniform,cosine,3,0.4,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.9,3,uniform,cosine,3,0.5,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.9,3,uniform,cosine,3,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
0.9,3,uniform,cosine,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,3,0.8,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,3,0.9,0.85,1.0,0.0,0.0,0.0
0.9,3,uniform,cosine,4,0.1,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
0.9,3,uniform,cosine,4,0.2,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
0.9,3,uniform,cosine,4,0.30000000000000004,0.8166666666666667,0.4375,0.7777777777777778,0.56,0.48553038055886144
0.9,3,uniform,cosine,4,0.4,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.9,3,uniform,cosine,4,0.5,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.9,3,uniform,cosine,4,0.6,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.9,3,uniform,cosine,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,3,uniform,cosine,4,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,3,uniform,cosine,4,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.9,3,uniform,cosine,5,0.1,0.6949152542372882,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.0019277164398874675
0.9,3,uniform,cosine,5,0.2,0.6949152542372882,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.0019277164398874675
0.9,3,uniform,cosine,5,0.30000000000000004,0.6949152542372882,0.15384615384615385,0.2222222222222222,0.18181818181818182,0.0019277164398874675
0.9,3,uniform,cosine,5,0.4,0.8305084745762712,0.4,0.2222222222222222,0.2857142857142857,0.20942798835047513
0.9,3,uniform,cosine,5,0.5,0.8305084745762712,0.4,0.2222222222222222,0.2857142857142857,0.20942798835047513
