pca__n_components,n_neighbors,weights,metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.9,3,distance,euclidean,0.7000000000000001,0.8762146892655368,0.009780295814403678,0.8833333333333332,0.16244657241348273,0.22222222222222224,0.07856742013183861,0.34442890442890445,0.09412135979319403,0.3949244161418962,0.0682605731267719
0.9,3,distance,euclidean,0.8,0.8761581920903954,0.016044103567371383,0.95,0.1118033988749895,0.2,0.12171612389003691,0.3104895104895105,0.17867098654737135,0.3550437360489097,0.19849892712732256
0.9,3,distance,euclidean,0.9,0.8728248587570622,0.0159115043646082,0.9333333333333332,0.14907119849998599,0.17777777777777776,0.09938079899999064,0.28484848484848485,0.15977486456320084,0.331616891928763,0.1914104664103073
0.9,3,uniform,cosine,0.1,0.7389830508474576,0.046202203637124246,0.287580971659919,0.10552042729788373,0.5333333333333333,0.24088314876309777,0.3713819973130318,0.14689560811759528,0.2439076678394405,0.18746876353013062
0.9,3,uniform,cosine,0.2,0.7389830508474576,0.046202203637124246,0.287580971659919,0.10552042729788373,0.5333333333333333,0.24088314876309777,0.3713819973130318,0.14689560811759528,0.2439076678394405,0.18746876353013062
0.9,3,uniform,cosine,0.30000000000000004,0.7389830508474576,0.046202203637124246,0.287580971659919,0.10552042729788373,0.5333333333333333,0.24088314876309777,0.3713819973130318,0.14689560811759528,0.2439076678394405,0.18746876353013062
0.9,3,uniform,cosine,0.4,0.8494350282485875,0.021019113247430787,0.51,0.14317821063276354,0.3111111111111111,0.14487116456005888,0.37339502602660496,0.1127460606374111,0.31398845734146363,0.12035841416157975
0.9,3,uniform,cosine,0.5,0.8494350282485875,0.021019113247430787,0.51,0.14317821063276354,0.3111111111111111,0.14487116456005888,0.37339502602660496,0.1127460606374111,0.31398845734146363,0.12035841416157975
0.9,3,uniform,cosine,0.6,0.8494350282485875,0.021019113247430787,0.51,0.14317821063276354,0.3111111111111111,0.14487116456005888,0.37339502602660496,0.1127460606374111,0.31398845734146363,0.12035841416157975
0.9,3,uniform,cosine,0.7000000000000001,0.8494915254237287,0.023597633091671035,0.8666666666666666,0.29814239699997197,0.08888888888888888,0.12171612389003691,0.12606060606060607,0.1759873106703664,0.12263773319438313,0.19332159700381712
0.9,3,uniform,cosine,0.8,0.8494915254237287,0.023597633091671035,0.8666666666666666,0.29814239699997197,0.08888888888888888,0.12171612389003691,0.12606060606060607,0.1759873106703664,0.12263773319438313,0.19332159700381712
0.9,3,uniform,cosine,0.9,0.8494915254237287,0.023597633091671035,0.8666666666666666,0.29814239699997197,0.08888888888888888,0.12171612389003691,0.12606060606060607,0.1759873106703664,0.12263773319438313,0.19332159700381712
0.9,3,uniform,euclidean,0.1,0.7389830508474576,0.05697152562497703,0.2911111111111111,0.11873822228793372,0.5333333333333333,0.24088314876309777,0.3759259259259259,0.1581680965821048,0.24568921111005942,0.2079974541464054
0.9,3,uniform,euclidean,0.2,0.7389830508474576,0.05697152562497703,0.2911111111111111,0.11873822228793372,0.5333333333333333,0.24088314876309777,0.3759259259259259,0.1581680965821048,0.24568921111005942,0.2079974541464054
0.9,3,uniform,euclidean,0.30000000000000004,0.7389830508474576,0.05697152562497703,0.2911111111111111,0.11873822228793372,0.5333333333333333,0.24088314876309777,0.3759259259259259,0.1581680965821048,0.24568921111005942,0.2079974541464054
0.9,3,uniform,euclidean,0.4,0.8327118644067797,0.012911798698425023,0.3988888888888889,0.09282932699646855,0.22222222222222224,0.13608276348795434,0.27030747030747027,0.11422786228935564,0.2047444393620136,0.09746235542203474
0.9,3,uniform,euclidean,0.5,0.8327118644067797,0.012911798698425023,0.3988888888888889,0.09282932699646855,0.22222222222222224,0.13608276348795434,0.27030747030747027,0.11422786228935564,0.2047444393620136,0.09746235542203474
0.9,3,uniform,euclidean,0.6,0.8327118644067797,0.012911798698425023,0.3988888888888889,0.09282932699646855,0.22222222222222224,0.13608276348795434,0.27030747030747027,0.11422786228935564,0.2047444393620136,0.09746235542203474
0.9,3,uniform,euclidean,0.7000000000000001,0.8528248587570622,0.007815726176416371,0.9,0.22360679774997896,0.04444444444444444,0.06085806194501846,0.07636363636363637,0.1047626202973668,0.09838588705509674,0.1421062784140472
