n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
220,7,distance,euclidean,0.833212341197822,0.4945054945054945,0.6444444444444444,0.5398644833427442,0.4615023909274881
150,9,uniform,euclidean,0.8017543859649123,0.4331185919343814,0.6222222222222222,0.4984285714285714,0.4010938521205599
180,9,uniform,euclidean,0.8017543859649123,0.4264843928001822,0.6000000000000001,0.48744306418219463,0.3874812441640724
200,9,uniform,euclidean,0.7914700544464609,0.42555555555555563,0.6888888888888889,0.5171136653895274,0.4214391951564747
220,9,uniform,euclidean,0.7915305505142165,0.4249269005847953,0.711111111111111,0.5225396825396826,0.43130811282739695
150,9,distance,euclidean,0.8400483968542044,0.5037362637362637,0.6222222222222222,0.5451549823174537,0.4624840540545991
180,9,distance,euclidean,0.847005444646098,0.5179487179487179,0.6000000000000001,0.5458008658008657,0.4641240702400351
200,9,distance,euclidean,0.84010889292196,0.5034065934065934,0.6666666666666667,0.5642292490118577,0.4834433022325362
220,9,distance,euclidean,0.836660617059891,0.49629120879120875,0.6888888888888889,0.5661501976284585,0.4875581488973804
150,11,uniform,euclidean,0.7912280701754385,0.41982323232323226,0.6888888888888889,0.5121706775900325,0.4187691063195592
180,11,uniform,euclidean,0.8121597096188747,0.4445564961354435,0.6444444444444445,0.5207548515557668,0.42518613887379014
200,11,uniform,euclidean,0.7914700544464609,0.4133600713012478,0.711111111111111,0.518502210433245,0.42563237895221534
220,11,uniform,euclidean,0.7949183303085299,0.42071301247771836,0.7333333333333334,0.5301945181255526,0.4419522598405699
150,11,distance,euclidean,0.8364186327888687,0.4920684217743041,0.6888888888888889,0.5668353215412039,0.48616167939286725
180,11,distance,euclidean,0.8538415003024802,0.5307142857142857,0.6222222222222222,0.5679185175214251,0.4868652268978493
200,11,distance,euclidean,0.8400483968542044,0.49826007326007327,0.711111111111111,0.5828178351015879,0.5023943719385037
220,11,distance,euclidean,0.8434966727162735,0.505952380952381,0.7333333333333334,0.5954660564454615,0.5188786284431349
150,3,uniform,cosine,0.843859649122807,0.5786013986013986,0.6222222222222222,0.5490118577075098,0.4895468269925187
180,3,uniform,cosine,0.8646098003629763,0.6243589743589744,0.6444444444444446,0.58760834893558,0.5374549166597669
200,3,uniform,cosine,0.8646098003629763,0.6243589743589744,0.6444444444444446,0.58760834893558,0.5374549166597669
220,3,uniform,cosine,0.8646098003629763,0.6243589743589744,0.6444444444444446,0.58760834893558,0.5374549166597669
150,3,distance,cosine,0.8715668481548698,0.646076146076146,0.6222222222222222,0.5926695526695527,0.5429830586938411
180,3,distance,cosine,0.8957652752571083,0.7195454545454545,0.6444444444444446,0.645015479876161,0.6069296444910228
200,3,distance,cosine,0.8957652752571083,0.7195454545454545,0.6444444444444446,0.645015479876161,0.6069296444910228
220,3,distance,cosine,0.8957652752571083,0.7195454545454545,0.6444444444444446,0.645015479876161,0.6069296444910228
150,5,uniform,cosine,0.8194192377495464,0.49000000000000005,0.6222222222222222,0.5140468227424749,0.43566665129603727
180,5,uniform,cosine,0.8333333333333334,0.5126373626373626,0.6222222222222222,0.531042870173305,0.45688406312944163
200,5,uniform,cosine,0.8228675136116153,0.4957142857142857,0.6222222222222222,0.5183946488294315,0.4409787283529643
220,5,uniform,cosine,0.8228675136116153,0.4722619047619048,0.6444444444444446,0.5230766045548655,0.4428731803701284
150,5,distance,cosine,0.8750151240169389,0.619055944055944,0.6222222222222222,0.5972274784039491,0.539419657739187
180,5,distance,cosine,0.8819116757410768,0.6389393939393939,0.6222222222222222,0.6096038739382392,0.5542774709196391
200,5,distance,cosine,0.8784029038112523,0.6250505050505051,0.6222222222222222,0.603067926225821,0.5452018131393184
