pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
180,3,0.01,100,4,0.1,0.15254237288135594,0.15254237288135594,1.0,0.2647058823529412,0.0
180,3,0.01,100,4,0.2,0.4745762711864407,0.225,1.0,0.3673469387755102,0.2924038303442689
180,3,0.01,100,4,0.30000000000000004,0.7796610169491526,0.4,0.8888888888888888,0.5517241379310345,0.49286649198071775
180,3,0.01,100,4,0.4,0.8813559322033898,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.649829715857926
180,3,0.01,100,4,0.5,0.8983050847457628,0.6363636363636364,0.7777777777777778,0.7,0.6441788027918413
180,3,0.01,100,4,0.6,0.9152542372881356,0.75,0.6666666666666666,0.7058823529411765,0.6581316394931646
180,3,0.01,100,4,0.7000000000000001,0.8813559322033898,0.75,0.3333333333333333,0.46153846153846156,0.4481274169454284
180,3,0.01,100,4,0.8,0.847457627118644,1.0,0.0,0.0,0.0
180,3,0.01,100,4,0.9,0.847457627118644,1.0,0.0,0.0,0.0
180,3,0.01,100,5,0.1,0.13559322033898305,0.13559322033898305,1.0,0.23880597014925373,0.0
180,3,0.01,100,5,0.2,0.1864406779661017,0.14285714285714285,1.0,0.25,0.09166984970282113
180,3,0.01,100,5,0.30000000000000004,0.576271186440678,0.20689655172413793,0.75,0.32432432432432434,0.2047717881881517
180,3,0.01,100,5,0.4,0.7627118644067796,0.3333333333333333,0.75,0.46153846153846156,0.3827022647356085
180,3,0.01,100,5,0.5,0.8135593220338984,0.36363636363636365,0.5,0.42105263157894735,0.3188707421635952
180,3,0.01,100,5,0.6,0.8813559322033898,0.6666666666666666,0.25,0.36363636363636365,0.3590402446693828
180,3,0.01,100,5,0.7000000000000001,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,100,5,0.8,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,100,5,0.9,0.864406779661017,1.0,0.0,0.0,0.0
180,3,0.01,150,1,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,150,1,0.2,0.48333333333333334,0.21052631578947367,0.8888888888888888,0.3404255319148936,0.22277661714472866
180,3,0.01,150,1,0.30000000000000004,0.6833333333333333,0.2916666666666667,0.7777777777777778,0.42424242424242425,0.32394177193585005
180,3,0.01,150,1,0.4,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
180,3,0.01,150,1,0.5,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5,0.42892362604926076
180,3,0.01,150,1,0.6,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
180,3,0.01,150,1,0.7000000000000001,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
180,3,0.01,150,1,0.8,0.85,1.0,0.0,0.0,0.0
180,3,0.01,150,1,0.9,0.85,1.0,0.0,0.0,0.0
180,3,0.01,150,2,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
180,3,0.01,150,2,0.2,0.35,0.17391304347826086,0.8888888888888888,0.2909090909090909,0.12139328364590204
180,3,0.01,150,2,0.30000000000000004,0.65,0.2857142857142857,0.8888888888888888,0.43243243243243246,0.35552856456843185
180,3,0.01,150,2,0.4,0.8,0.38461538461538464,0.5555555555555556,0.45454545454545453,0.34556053828503813
180,3,0.01,150,2,0.5,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.3464052287581699
180,3,0.01,150,2,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
