criterion,cvTest,splitter,max_depth,min_samples_split,min_samples_leaf,precision,recall,accuracy,f1,train_time,test_time
gini,3,random,50,5,1,0.9772727272727273,0.9148936170212766,0.9468085106382979,0.945054945054945,0.002657175064086914,0.0005435148874918619
gini,3,best,50,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.008854866027832031,0.0008683999379475912
gini,3,random,50,2,2,0.9782608695652174,0.9574468085106383,0.9680851063829787,0.967741935483871,0.0030508836110432944,0.0006470680236816406
gini,3,best,50,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.009345054626464844,0.0007294019063313802
gini,3,random,50,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.0029151439666748047,0.0008296966552734375
gini,3,best,100,2,1,1.0,1.0,1.0,1.0,0.010135412216186523,0.0007059574127197266
gini,3,random,100,2,1,1.0,1.0,1.0,1.0,0.004349946975708008,0.0007530053456624349
gini,3,best,100,5,1,1.0,1.0,1.0,1.0,0.009540637334187826,0.0008865992228190104
gini,3,random,100,5,1,1.0,1.0,1.0,1.0,0.002813418706258138,0.00060272216796875
gini,3,best,100,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.01088865598042806,0.001110394795735677
gini,3,random,100,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.00389250119527181,0.0010297298431396484
gini,3,best,100,5,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.009381930033365885,0.0007702509562174479
gini,3,random,100,5,2,1.0,0.8723404255319149,0.9361702127659575,0.9318181818181819,0.003263394037882487,0.000793615976969401
gini,3,best,300,2,1,1.0,1.0,1.0,1.0,0.010393699010213217,0.0009152889251708984
gini,3,random,300,2,1,1.0,1.0,1.0,1.0,0.003946383794148763,0.0008526643117268881
gini,3,best,300,5,1,1.0,1.0,1.0,1.0,0.010343472162882486,0.0010344982147216797
gini,3,random,300,5,1,1.0,0.9787234042553191,0.9893617021276596,0.989247311827957,0.004343589146931966,0.0010331471761067708
gini,3,best,300,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.009623368581136068,0.0010306040445963542
gini,3,random,300,2,2,0.9777777777777777,0.9361702127659575,0.9574468085106383,0.9565217391304347,0.003879388173421224,0.0009842713673909504
gini,3,best,300,5,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.010593811670939127,0.001080910364786784
gini,3,random,300,5,2,0.9767441860465116,0.8936170212765957,0.9361702127659575,0.9333333333333332,0.004478772481282552,0.0017129580179850261
gini,3,best,500,2,1,1.0,1.0,1.0,1.0,0.012223402659098307,0.0011819998423258464
gini,3,random,500,2,1,1.0,1.0,1.0,1.0,0.006240367889404297,0.001226345698038737
gini,3,best,500,5,1,1.0,1.0,1.0,1.0,0.012680371602376303,0.00147247314453125
gini,3,random,500,5,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.9787234042553191,0.004930019378662109,0.0008919239044189453
gini,3,best,500,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.01355600357055664,0.0013080437978108723
gini,3,random,500,2,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.004178524017333984,0.0008940696716308594
gini,3,best,500,5,2,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.012647549311319986,0.0012653668721516926
gini,3,random,500,5,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.005176703135172526,0.0014030933380126953
entropy,3,best,10,2,1,1.0,1.0,1.0,1.0,0.017563343048095703,0.0010445912679036458
entropy,3,random,10,2,1,1.0,1.0,1.0,1.0,0.0057642459869384766,0.0013527870178222656
entropy,3,best,10,5,1,1.0,1.0,1.0,1.0,0.02297862370808919,0.0012169679005940754
entropy,3,random,10,5,1,1.0,0.9361702127659575,0.9680851063829787,0.967032967032967,0.004608631134033203,0.001230478286743164
entropy,3,best,10,2,2,1.0,0.9574468085106383,0.9787234042553191,0.9782608695652174,0.01793638865152995,0.0013723373413085938
entropy,3,random,10,2,2,0.9782608695652174,0.9574468085106383,0.9680851063829787,0.967741935483871,0.004417975743611653,0.0016276041666666667
