alpha,fold,threshold,accuracy,precision,recall,f1
1.0,3,0.5,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
1.0,3,0.6,0.7222222222222222,0.6666666666666666,0.8888888888888888,0.7619047619047619
1.0,3,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
1.0,3,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
1.0,3,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8
1.0,4,0.1,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.2,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.30000000000000004,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.4,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.5,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.6,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.7000000000000001,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.8,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,4,0.9,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8888888888888888
1.0,5,0.1,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.2,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.30000000000000004,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.4,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.5,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.6,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.7000000000000001,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.8,0.8333333333333334,1.0,0.6666666666666666,0.8
1.0,5,0.9,0.8333333333333334,1.0,0.6666666666666666,0.8
10.0,1,0.1,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.2,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.30000000000000004,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.4,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.5,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.6,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.7000000000000001,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.8,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421
10.0,1,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
10.0,2,0.1,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.2,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.30000000000000004,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.4,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.5,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.6,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
10.0,2,0.7000000000000001,0.6111111111111112,0.5714285714285714,0.8888888888888888,0.6956521739130435
