n_estimators,criterion,max_depth,min_samples_split,min_samples_leaf,fold,threshold,accuracy,precision,recall,f1,mcc
10,entropy,10,2,1,2,0.1,0.5789473684210527,0.5555555555555556,1.0,0.7142857142857143,0.24845199749997662
10,entropy,10,2,1,2,0.2,0.631578947368421,0.5882352941176471,1.0,0.7407407407407407,0.3615507630310936
10,entropy,10,2,1,2,0.30000000000000004,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458
10,entropy,10,2,1,2,0.4,0.7368421052631579,0.6923076923076923,0.9,0.782608695652174,0.4893451639269458
10,entropy,10,2,1,2,0.5,0.631578947368421,0.6363636363636364,0.7,0.6666666666666666,0.2584432806109095
10,entropy,10,2,1,2,0.6,0.7894736842105263,0.875,0.7,0.7777777777777778,0.5955432118425306
10,entropy,10,2,1,2,0.7000000000000001,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,entropy,10,2,1,2,0.8,0.631578947368421,1.0,0.3,0.46153846153846156,0.4107919181288746
10,entropy,10,2,1,2,0.9,0.5263157894736842,1.0,0.1,0.18181818181818182,0.22360679774997896
10,entropy,10,2,1,3,0.1,0.47368421052631576,0.47368421052631576,1.0,0.6428571428571429,0.0
10,entropy,10,2,1,3,0.2,0.5789473684210527,0.5294117647058824,1.0,0.6923076923076923,0.32539568672798425
10,entropy,10,2,1,3,0.30000000000000004,0.7894736842105263,0.6923076923076923,1.0,0.8181818181818182,0.6445033866354896
10,entropy,10,2,1,3,0.4,0.7894736842105263,0.6923076923076923,1.0,0.8181818181818182,0.6445033866354896
10,entropy,10,2,1,3,0.5,0.8421052631578947,0.75,1.0,0.8571428571428571,0.724568837309472
10,entropy,10,2,1,3,0.6,0.8421052631578947,0.875,0.7777777777777778,0.8235294117647058,0.6854365268376295
10,entropy,10,2,1,3,0.7000000000000001,0.5263157894736842,1.0,0.0,0.0,0.0
10,entropy,10,2,1,3,0.8,0.5263157894736842,1.0,0.0,0.0,0.0
10,entropy,10,2,1,3,0.9,0.5263157894736842,1.0,0.0,0.0,0.0
10,entropy,10,2,1,4,0.1,0.47368421052631576,0.47368421052631576,1.0,0.6428571428571429,0.0
10,entropy,10,2,1,4,0.2,0.5263157894736842,0.5,1.0,0.6666666666666666,0.22360679774997896
10,entropy,10,2,1,4,0.30000000000000004,0.8947368421052632,0.8181818181818182,1.0,0.9,0.8090398349558905
10,entropy,10,2,1,4,0.4,0.8947368421052632,0.8181818181818182,1.0,0.9,0.8090398349558905
10,entropy,10,2,1,4,0.5,0.8947368421052632,0.8181818181818182,1.0,0.9,0.8090398349558905
10,entropy,10,2,1,4,0.6,0.9473684210526315,1.0,0.8888888888888888,0.9411764705882353,0.8989331499509895
10,entropy,10,2,1,4,0.7000000000000001,0.6842105263157895,1.0,0.3333333333333333,0.5,0.45643546458763845
10,entropy,10,2,1,4,0.8,0.6842105263157895,1.0,0.3333333333333333,0.5,0.45643546458763845
10,entropy,10,2,1,4,0.9,0.5263157894736842,1.0,0.0,0.0,0.0
10,entropy,10,2,1,5,0.1,0.5,0.5,1.0,0.6666666666666666,0.0
