criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,,2,1,,5,0.2,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.30000000000000004,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.4,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.5,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.6,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.7000000000000001,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.8,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,,5,0.9,0.7777777777777778,0.7272727272727273,0.8888888888888888,0.8,0.5698028822981898
gini,,2,1,sqrt,1,0.1,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.2,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.30000000000000004,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.4,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.5,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.6,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.7000000000000001,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.8,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,1,0.9,0.42105263157894735,0.4444444444444444,0.4,0.42105263157894735,-0.15555555555555556
gini,,2,1,sqrt,2,0.1,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.2,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.30000000000000004,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.4,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.5,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.6,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.7000000000000001,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.8,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,2,0.9,0.6842105263157895,0.75,0.6,0.6666666666666666,0.3820465887291705
gini,,2,1,sqrt,3,0.1,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.2,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.30000000000000004,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.4,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.5,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.6,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.7000000000000001,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.8,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,3,0.9,0.7368421052631579,0.75,0.6666666666666666,0.7058823529411765,0.47193990372426947
gini,,2,1,sqrt,4,0.1,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.2,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.30000000000000004,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.4,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.5,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.6,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.7000000000000001,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.8,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,4,0.9,0.3684210526315789,0.38461538461538464,0.5555555555555556,0.45454545454545453,-0.26257545381445874
gini,,2,1,sqrt,5,0.1,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
gini,,2,1,sqrt,5,0.2,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
gini,,2,1,sqrt,5,0.30000000000000004,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
gini,,2,1,sqrt,5,0.4,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
gini,,2,1,sqrt,5,0.5,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
gini,,2,1,sqrt,5,0.6,0.6111111111111112,0.6,0.6666666666666666,0.631578947368421,0.22360679774997896
