pca__n_components,n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,uniform,euclidean,2,0.1,0.6724137931034483,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.3797054914636985
150,3,uniform,euclidean,2,0.2,0.6724137931034483,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.3797054914636985
150,3,uniform,euclidean,2,0.30000000000000004,0.6724137931034483,0.3076923076923077,0.8888888888888888,0.45714285714285713,0.3797054914636985
150,3,uniform,euclidean,2,0.4,0.7586206896551724,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.3517215088579076
150,3,uniform,euclidean,2,0.5,0.7586206896551724,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.3517215088579076
150,3,uniform,euclidean,2,0.6,0.7586206896551724,0.35294117647058826,0.6666666666666666,0.46153846153846156,0.3517215088579076
150,3,uniform,euclidean,2,0.7000000000000001,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,3,uniform,euclidean,2,0.8,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,3,uniform,euclidean,2,0.9,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,3,uniform,euclidean,3,0.1,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
150,3,uniform,euclidean,3,0.2,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
150,3,uniform,euclidean,3,0.30000000000000004,0.8448275862068966,0.5,0.8888888888888888,0.64,0.5878222855698739
150,3,uniform,euclidean,3,0.4,0.8103448275862069,0.4,0.4444444444444444,0.42105263157894735,0.30863731414973644
150,3,uniform,euclidean,3,0.5,0.8103448275862069,0.4,0.4444444444444444,0.42105263157894735,0.30863731414973644
150,3,uniform,euclidean,3,0.6,0.8103448275862069,0.4,0.4444444444444444,0.42105263157894735,0.30863731414973644
150,3,uniform,euclidean,3,0.7000000000000001,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,uniform,euclidean,3,0.8,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,uniform,euclidean,3,0.9,0.8793103448275862,0.75,0.3333333333333333,0.46153846153846156,0.4471290800318499
150,3,uniform,euclidean,4,0.1,0.7719298245614035,0.4,0.8888888888888888,0.5517241379310345,0.4881478139747102
150,3,uniform,euclidean,4,0.2,0.7719298245614035,0.4,0.8888888888888888,0.5517241379310345,0.4881478139747102
150,3,uniform,euclidean,4,0.30000000000000004,0.7719298245614035,0.4,0.8888888888888888,0.5517241379310345,0.4881478139747102
150,3,uniform,euclidean,4,0.4,0.8596491228070176,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6153084570802658
150,3,uniform,euclidean,4,0.5,0.8596491228070176,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6153084570802658
150,3,uniform,euclidean,4,0.6,0.8596491228070176,0.5333333333333333,0.8888888888888888,0.6666666666666666,0.6153084570802658
150,3,uniform,euclidean,4,0.7000000000000001,0.8771929824561403,0.625,0.5555555555555556,0.5882352941176471,0.5176005111238263
150,3,uniform,euclidean,4,0.8,0.8771929824561403,0.625,0.5555555555555556,0.5882352941176471,0.5176005111238263
150,3,uniform,euclidean,4,0.9,0.8771929824561403,0.625,0.5555555555555556,0.5882352941176471,0.5176005111238263
150,3,uniform,euclidean,5,0.1,0.7368421052631579,0.25,0.3333333333333333,0.2857142857142857,0.13043729868748774
150,3,uniform,euclidean,5,0.2,0.7368421052631579,0.25,0.3333333333333333,0.2857142857142857,0.13043729868748774
150,3,uniform,euclidean,5,0.30000000000000004,0.7368421052631579,0.25,0.3333333333333333,0.2857142857142857,0.13043729868748774
