pca__n_components,kernel,C,threshold,accuracy,precision,recall,f1,mcc
180,poly,0.01,0.30000000000000004,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
180,poly,0.01,0.4,0.15626134301270417,0.15626134301270417,1.0,0.2702849389416554,0.0
180,poly,0.01,0.5,0.30120992135511193,0.32637518561293516,0.8,0.2182581411126187,0.01651445647689541
180,poly,0.01,0.6,0.8437991530550514,0.8,0.02222222222222222,0.04,0.05036820549570782
180,poly,0.01,0.7000000000000001,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
180,poly,0.01,0.8,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
180,poly,0.01,0.9,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
180,poly,0.1,0.1,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
180,poly,0.1,0.2,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
180,poly,0.1,0.30000000000000004,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
180,poly,0.1,0.4,0.15970961887477314,0.15680580762250454,1.0,0.2710990502035278,0.011353134489128948
180,poly,0.1,0.5,0.5724137931034482,0.6575048732943469,0.37777777777777777,0.138989898989899,0.009970457239052788
180,poly,0.1,0.6,0.8472474289171205,1.0,0.02222222222222222,0.04,0.06172133998483677
180,poly,0.1,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,0.1,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,0.1,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,1.0,0.1,0.15626134301270417,0.15379828882551205,0.9777777777777779,0.2657843648888425,-0.03599661647706926
180,poly,1.0,0.2,0.1632788868723533,0.15494661418436373,0.9777777777777779,0.26748891034338795,-0.019482160000173852
180,poly,1.0,0.30000000000000004,0.16678765880217786,0.15555267479042434,0.9777777777777779,0.2683817674862451,-0.015584201953876109
180,poly,1.0,0.4,0.1736842105263158,0.15661087584862537,0.9777777777777779,0.26994464904912663,0.006156125014931268
180,poly,1.0,0.5,0.5793103448275863,0.6131578947368421,0.4666666666666666,0.2013986013986014,0.10077895049549894
180,poly,1.0,0.6,0.8471869328493649,1.0,0.02222222222222222,0.04,0.06181150999636872
180,poly,1.0,0.7000000000000001,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,1.0,0.8,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,1.0,0.9,0.8437386569872958,1.0,0.0,0.0,0.0
180,poly,10.0,0.1,0.1632788868723533,0.15740966837155584,1.0,0.2719894843962008,0.01651445647689541
180,poly,10.0,0.2,0.16678765880217786,0.15801572897761645,1.0,0.27288234153905794,0.020412414523193152
180,poly,10.0,0.30000000000000004,0.16678765880217786,0.15801572897761645,1.0,0.27288234153905794,0.020412414523193152
180,poly,10.0,0.4,0.21167574107683002,0.16094351036993917,0.9555555555555555,0.27497461802596473,0.034078437569017114
180,poly,10.0,0.5,0.4414398064125832,0.42698124621899575,0.711111111111111,0.3086748077792854,0.15769529811709299
