pca__n_components,n_neighbors,weights,metric,threshold,accuracy,precision,recall,f1,mcc
150,3,uniform,cosine,0.1,0.7572897761645493,0.37587719298245614,0.6444444444444445,0.45508658008658004,0.35275188417446757
150,3,uniform,cosine,0.2,0.7572897761645493,0.37587719298245614,0.6444444444444445,0.45508658008658004,0.35275188417446757
150,3,uniform,cosine,0.30000000000000004,0.7572897761645493,0.37587719298245614,0.6444444444444445,0.45508658008658004,0.35275188417446757
150,3,uniform,cosine,0.4,0.8405323653962492,0.49000000000000005,0.6,0.5284962406015038,0.4455896784294905
150,3,uniform,cosine,0.5,0.8405323653962492,0.49000000000000005,0.6,0.5284962406015038,0.4455896784294905
150,3,uniform,cosine,0.6,0.8405323653962492,0.49000000000000005,0.6,0.5284962406015038,0.4455896784294905
150,3,uniform,cosine,0.7000000000000001,0.8889897156684816,0.7571428571428571,0.4666666666666667,0.5584841628959276,0.5291198583638185
150,3,uniform,cosine,0.8,0.8889897156684816,0.7571428571428571,0.4666666666666667,0.5584841628959276,0.5291198583638185
150,3,uniform,cosine,0.9,0.8889897156684816,0.7571428571428571,0.4666666666666667,0.5584841628959276,0.5291198583638185
150,3,uniform,euclidean,0.1,0.729340592861464,0.33501672240802677,0.711111111111111,0.4494162561576355,0.34508320283371124
150,3,uniform,euclidean,0.2,0.729340592861464,0.33501672240802677,0.711111111111111,0.4494162561576355,0.34508320283371124
150,3,uniform,euclidean,0.30000000000000004,0.729340592861464,0.33501672240802677,0.711111111111111,0.4494162561576355,0.34508320283371124
150,3,uniform,euclidean,0.4,0.7954022988505747,0.39475490196078433,0.5777777777777777,0.46043978725093276,0.3568872166662168
150,3,uniform,euclidean,0.5,0.7954022988505747,0.39475490196078433,0.5777777777777777,0.46043978725093276,0.3568872166662168
150,3,uniform,euclidean,0.6,0.7954022988505747,0.39475490196078433,0.5777777777777777,0.46043978725093276,0.3568872166662168
150,3,uniform,euclidean,0.7000000000000001,0.8750151240169389,0.663888888888889,0.4666666666666667,0.5323278029160383,0.48207351867658066
150,3,uniform,euclidean,0.8,0.8750151240169389,0.663888888888889,0.4666666666666667,0.5323278029160383,0.48207351867658066
