kernel,C,dim,eps,storage,preparationTime,predictionTime,precision,recall
poly,0.1,0,0.3,913613,0.26942034666766035,0.0017256606837628735,0.5032498982498982,0.9549999999999998
poly,0.1,0,0.5,395692,0.2205241033331429,0.00141313803418691,0.5063159313159312,0.9716666666666665
poly,0.1,100,0.1,157012,0.20965621333295228,0.001343513076922408,0.508073458073458,0.9816666666666666
poly,0.1,100,0.3,157012,0.22825821666677548,0.0014624698290584706,0.4986967736967737,0.945
poly,0.1,100,0.5,157012,0.21236786333265614,0.001360543589747914,0.5045081345081345,0.9633333333333332
poly,0.1,200,0.1,313012,0.23504394333243303,0.0015059363247881914,0.5037544687544687,0.9599999999999999
poly,0.1,200,0.3,313012,0.21384248333324657,0.0013702075213617886,0.5063409563409562,0.9733333333333329
poly,0.1,200,0.5,313012,0.2296737833328733,0.0014716631623928268,0.5032044132044132,0.9616666666666666
sigmoid,0.1,0,0.1,7050653,0.6647510366671967,0.004254837435904396,0.5128205128205128,1.0
sigmoid,0.1,0,0.3,913613,0.25265431999996507,0.0016183948717982397,0.5128205128205128,1.0
sigmoid,0.1,0,0.5,395692,0.215342023333445,0.0013794451282079442,0.5128205128205128,1.0
sigmoid,0.1,100,0.1,157012,0.20279512999992827,0.0012992414529901743,0.5128205128205128,1.0
sigmoid,0.1,100,0.3,157012,0.21849045666543448,0.0013997917948620304,0.5128205128205128,1.0
sigmoid,0.1,100,0.5,157012,0.21064963666728254,0.001349693846154528,0.5128205128205128,1.0
sigmoid,0.1,200,0.1,313012,0.22061893000075847,0.0014131484615452204,0.5128205128205128,1.0
sigmoid,0.1,200,0.3,313012,0.23460641333288854,0.0015030444444420984,0.5128205128205128,1.0
sigmoid,0.1,200,0.5,313012,0.22402020666625794,0.0014351104273466779,0.5128205128205128,1.0
linear,1.0,0,0.1,7050653,0.6733931700002966,0.0042996274359001505,0.45479654422617816,0.44833333333333336
linear,1.0,0,0.3,913613,0.2566627333325716,0.001641774358971365,0.4799817509880776,0.48500000000000004
linear,1.0,0,0.5,395692,0.23796618999961852,0.001521767521358909,0.4454667001750504,0.44833333333333336
linear,1.0,100,0.1,157012,0.22563651333336274,0.0014281757264944046,0.41175666882627227,0.44333333333333336
linear,1.0,100,0.3,157012,0.22171220333329983,0.0014006152991500225,0.42494044289467625,0.43166666666666664
linear,1.0,100,0.5,157012,0.20386386000021364,0.0012914231623980387,0.4214819094663399,0.41500000000000015
linear,1.0,200,0.1,313012,0.2137798299998393,0.0013661992307703243,0.46137759668329065,0.49500000000000005
linear,1.0,200,0.3,313012,0.22821405333385592,0.001458231965813718,0.4319246773199414,0.43666666666666665
linear,1.0,200,0.5,313012,0.23043190666558075,0.001472313162381226,0.4153912469261327,0.43499999999999994
rbf,1.0,0,0.1,7050653,0.6917747566674735,0.004691416495729638,0.4935785950114199,0.8816666666666665
rbf,1.0,0,0.3,913613,0.25630346999860193,0.0016557467521264556,0.4970229136743294,0.8699999999999997
rbf,1.0,0,0.5,395692,0.2270069233337685,0.0014615215384671894,0.4975063575063575,0.9116666666666666
rbf,1.0,100,0.1,157012,0.21409306666731318,0.0013772908547004135,0.4903450335525836,0.8466666666666668
rbf,1.0,100,0.3,157012,0.20049048333373018,0.001289850854707641,0.4862857631864517,0.7833333333333332
rbf,1.0,100,0.5,157012,0.21557013333300945,0.0013865010256345592,0.4812151981119063,0.8583333333333332
rbf,1.0,200,0.1,313012,0.21207269000072596,0.001364777948718909,0.4866502104263015,0.8283333333333333
rbf,1.0,200,0.3,313012,0.22599580666598437,0.0014540136752167693,0.5014521770727154,0.885
rbf,1.0,200,0.5,313012,0.22788852999983658,0.0014671829914499168,0.5047493841601502,0.9166666666666664
poly,1.0,0,0.1,7050653,0.6677963100011158,0.004272096837612635,0.49804809143518813,0.9283333333333331
poly,1.0,0,0.3,913613,0.256679386666595,0.0016440297435887901,0.49814480844860093,0.9299999999999997
poly,1.0,0,0.5,395692,0.21209552333323994,0.0013584908546977398,0.5001470151470151,0.9483333333333334
poly,1.0,100,0.1,157012,0.2064899266663512,0.0013232988888834613,0.4942522192522192,0.9166666666666664
poly,1.0,100,0.3,157012,0.1963149433332244,0.0012575828205090382,0.4917823220764397,0.9016666666666667
poly,1.0,100,0.5,157012,0.21993212000040016,0.001409217777783743,0.5028157116392411,0.9483333333333331
poly,1.0,200,0.1,313012,0.21630979333379693,0.0013857069230808461,0.4987454713925301,0.928333333333333
poly,1.0,200,0.3,313012,0.227433079999658,0.0014571017093992415,0.4972189672189672,0.9349999999999998
poly,1.0,200,0.5,313012,0.21249568000015026,0.0013613667521420786,0.4995921745921746,0.9383333333333331
sigmoid,1.0,0,0.1,7050653,0.657161953333283,0.0042016665811963755,0.5117171306950719,0.8549999999999998
sigmoid,1.0,0,0.3,913613,0.26889564666738186,0.00172216811966698,0.524046595803929,0.89
sigmoid,1.0,0,0.5,395692,0.23794500333430418,0.0015244916239354122,0.49942656754945464,0.8416666666666665
sigmoid,1.0,100,0.1,157012,0.2211491433324529,0.0014167975213605778,0.5143817832373708,0.8783333333333332
sigmoid,1.0,100,0.3,157012,0.19832768000051154,0.0012706343589739752,0.5082820297421315,0.8683333333333333
sigmoid,1.0,100,0.5,157012,0.2197726066671141,0.0014081712820565077,0.5172579406983059,0.9216666666666665
sigmoid,1.0,200,0.1,313012,0.22785334333378474,0.0014600011965817858,0.5456063853967439,0.795
sigmoid,1.0,200,0.3,313012,0.2281820033329494,0.001461942222222283,0.5344739351594633,0.8316666666666668
