pca__n_components,max_depth,learning_rate,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
150,3,0.01,150,3,0.1,0.15517241379310345,0.15517241379310345,1.0,0.26865671641791045,0.0
150,3,0.01,150,3,0.2,0.43103448275862066,0.21428571428571427,1.0,0.35294117647058826,0.26452002850644324
150,3,0.01,150,3,0.30000000000000004,0.6724137931034483,0.32142857142857145,1.0,0.4864864864864865,0.443613573862942
150,3,0.01,150,3,0.4,0.8103448275862069,0.45,1.0,0.6206896551724138,0.5907449465181523
150,3,0.01,150,3,0.5,0.9137931034482759,0.75,0.6666666666666666,0.7058823529411765,0.6571428571428571
150,3,0.01,150,3,0.6,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
150,3,0.01,150,3,0.7000000000000001,0.8793103448275862,1.0,0.2222222222222222,0.36363636363636365,0.44095855184409843
150,3,0.01,150,3,0.8,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,150,3,0.9,0.8448275862068966,1.0,0.0,0.0,0.0
150,3,0.01,150,4,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,150,4,0.2,0.45614035087719296,0.225,1.0,0.3673469387755102,0.2822897447659054
150,3,0.01,150,4,0.30000000000000004,0.7192982456140351,0.36,1.0,0.5294117647058824,0.4898979485566356
150,3,0.01,150,4,0.4,0.8245614035087719,0.47058823529411764,0.8888888888888888,0.6153846153846154,0.5590443964971852
150,3,0.01,150,4,0.5,0.9298245614035088,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.7361111111111112
150,3,0.01,150,4,0.6,0.9122807017543859,1.0,0.4444444444444444,0.6153846153846154,0.6344412685745152
150,3,0.01,150,4,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
150,3,0.01,150,4,0.8,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,150,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
150,3,0.01,150,5,0.1,0.15789473684210525,0.15789473684210525,1.0,0.2727272727272727,0.0
150,3,0.01,150,5,0.2,0.543859649122807,0.24242424242424243,0.8888888888888888,0.38095238095238093,0.2718270425793598
150,3,0.01,150,5,0.30000000000000004,0.7368421052631579,0.35,0.7777777777777778,0.4827586206896552,0.3873346784799331
150,3,0.01,150,5,0.4,0.8596491228070176,0.5454545454545454,0.6666666666666666,0.6,0.5197435898685872
150,3,0.01,150,5,0.5,0.8771929824561403,0.6,0.6666666666666666,0.631578947368421,0.5592548233558728
150,3,0.01,150,5,0.6,0.8771929824561403,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.47857131243872586
150,3,0.01,150,5,0.7000000000000001,0.8771929824561403,1.0,0.2222222222222222,0.36363636363636365,0.4403855060505442
150,3,0.01,150,5,0.8,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
