pca__n_components,kernel,C,fold,threshold,accuracy,precision,recall,f1,mcc
150,linear,0.1,2,0.7000000000000001,0.7833333333333333,0.2857142857142857,0.2,0.23529411764705882,0.11609086505314302
150,linear,0.1,2,0.8,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,linear,0.1,2,0.9,0.8166666666666667,0.0,0.0,0.0,-0.0582222509739582
150,linear,0.1,3,0.1,0.7166666666666667,0.3333333333333333,0.8888888888888888,0.48484848484848486,0.4192187636816883
150,linear,0.1,3,0.2,0.8833333333333333,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.6067880364121375
150,linear,0.1,3,0.30000000000000004,0.9166666666666666,0.7,0.7777777777777778,0.7368421052631579,0.6888467201936644
150,linear,0.1,3,0.4,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
150,linear,0.1,3,0.5,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
150,linear,0.1,3,0.6,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
150,linear,0.1,3,0.7000000000000001,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,linear,0.1,3,0.8,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,linear,0.1,3,0.9,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,linear,0.1,4,0.1,0.6666666666666666,0.3103448275862069,1.0,0.47368421052631576,0.4343281865488719
150,linear,0.1,4,0.2,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
150,linear,0.1,4,0.30000000000000004,0.9,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6854561497129446
150,linear,0.1,4,0.4,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7234780434144716
150,linear,0.1,4,0.5,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
150,linear,0.1,4,0.6,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
150,linear,0.1,4,0.7000000000000001,0.95,0.8,0.8888888888888888,0.8421052631578947,0.8140915784106943
