rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,threshold,accuracy,precision,recall,f1,mcc
50,10,10,5,gini,0.9,0.8610405323653962,1.0,0.11111111111111112,0.19272727272727272,0.2735360703463939
50,20,5,2,entropy,0.1,0.7636418632788868,0.39939640070074856,0.9777777777777779,0.5661617405582923,0.5257395590249212
50,20,5,2,entropy,0.2,0.8678765880217785,0.5538095238095238,0.9333333333333332,0.6922538730634683,0.6522421030657223
50,20,5,2,entropy,0.30000000000000004,0.9096793708408952,0.6626165501165502,0.9111111111111111,0.7636536796536797,0.7266280553198665
50,20,5,2,entropy,0.4,0.941016333938294,0.78,0.8666666666666666,0.8210526315789473,0.7874216919698378
50,20,5,2,entropy,0.5,0.9409558378705384,0.8233333333333333,0.8,0.8101135190918474,0.7762565535724605
50,20,5,2,entropy,0.6,0.9409558378705384,0.8936507936507937,0.711111111111111,0.788888888888889,0.7638265444010558
50,20,5,2,entropy,0.7000000000000001,0.9340592861464005,0.9714285714285713,0.6,0.735934065934066,0.7308311793837404
50,20,5,2,entropy,0.8,0.9062310949788264,1.0,0.4,0.5584415584415584,0.5926153076444771
50,20,5,2,entropy,0.9,0.8749546279491833,1.0,0.2,0.3254545454545455,0.40879151374274725
50,20,5,2,gini,0.1,0.7218390804597702,0.36906451612903224,0.9777777777777779,0.5324242424242425,0.48633364324539335
50,20,5,2,gini,0.2,0.8506352087114337,0.5167857142857143,0.9333333333333332,0.6632683658170915,0.621214840554858
50,20,5,2,gini,0.30000000000000004,0.9132486388384755,0.6754545454545455,0.888888888888889,0.7641353383458647,0.72535226568608
50,20,5,2,gini,0.4,0.941016333938294,0.795,0.8444444444444444,0.8173374613003096,0.7838913455357647
50,20,5,2,gini,0.5,0.9479128856624319,0.865,0.8,0.8297213622291022,0.8009300802513349
50,20,5,2,gini,0.6,0.9478523895946763,0.9416666666666667,0.711111111111111,0.8080392156862745,0.7903454243155665
