rf__n_estimators,rf__max_depth,rf__min_samples_split,rf__min_samples_leaf,rf__criterion,fold,threshold,accuracy,precision,recall,f1,mcc
50,10,5,2,gini,3,0.9,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,10,5,2,gini,4,0.1,0.6491228070175439,0.3103448275862069,1.0,0.47368421052631576,0.42548147169838163
50,10,5,2,gini,4,0.2,0.7894736842105263,0.42857142857142855,1.0,0.6,0.5669467095138409
50,10,5,2,gini,4,0.30000000000000004,0.8421052631578947,0.5,1.0,0.6666666666666666,0.6373774391990981
50,10,5,2,gini,4,0.4,0.9649122807017544,0.8181818181818182,1.0,0.9,0.8854890790353708
50,10,5,2,gini,4,0.5,0.9649122807017544,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8680555555555556
50,10,5,2,gini,4,0.6,0.9298245614035088,0.8571428571428571,0.6666666666666666,0.75,0.7175105773237274
50,10,5,2,gini,4,0.7000000000000001,0.9122807017543859,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6353446734100326
50,10,5,2,gini,4,0.8,0.8947368421052632,1.0,0.3333333333333333,0.5,0.5443310539518174
50,10,5,2,gini,4,0.9,0.8421052631578947,1.0,0.0,0.0,0.0
50,10,5,2,gini,5,0.1,0.6842105263157895,0.3333333333333333,1.0,0.5,0.4564354645876384
50,10,5,2,gini,5,0.2,0.8421052631578947,0.5,0.8888888888888888,0.64,0.586085262533831
50,10,5,2,gini,5,0.30000000000000004,0.8947368421052632,0.6153846153846154,0.8888888888888888,0.7272727272727273,0.6819614262891904
50,10,5,2,gini,5,0.4,0.9473684210526315,0.8,0.8888888888888888,0.8421052631578947,0.8122510529692438
50,10,5,2,gini,5,0.5,0.9824561403508771,1.0,0.8888888888888888,0.9411764705882353,0.9331389496316869
50,10,5,2,gini,5,0.6,0.9473684210526315,1.0,0.6666666666666666,0.8,0.7921180343813394
50,10,5,2,gini,5,0.7000000000000001,0.9473684210526315,1.0,0.6666666666666666,0.8,0.7921180343813394
50,10,5,2,gini,5,0.8,0.9298245614035088,1.0,0.5555555555555556,0.7142857142857143,0.7161148740394329
50,10,5,2,gini,5,0.9,0.8596491228070176,1.0,0.1111111111111111,0.2,0.3086066999241838
50,10,5,2,entropy,1,0.1,0.7586206896551724,0.391304347826087,1.0,0.5625,0.528680532637681
50,10,5,2,entropy,1,0.2,0.8793103448275862,0.5625,1.0,0.72,0.6943650748294136
50,10,5,2,entropy,1,0.30000000000000004,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,entropy,1,0.4,0.9482758620689655,0.8,0.8888888888888888,0.8421052631578947,0.8128898274084608
50,10,5,2,entropy,1,0.5,0.9655172413793104,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8684807256235828
50,10,5,2,entropy,1,0.6,0.9482758620689655,0.875,0.7777777777777778,0.8235294117647058,0.7952380952380952
50,10,5,2,entropy,1,0.7000000000000001,0.896551724137931,0.8,0.4444444444444444,0.5714285714285714,0.5470151754664232
50,10,5,2,entropy,1,0.8,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,10,5,2,entropy,1,0.9,0.896551724137931,1.0,0.3333333333333333,0.5,0.5449492609130661
50,10,5,2,entropy,2,0.1,0.7758620689655172,0.4090909090909091,1.0,0.5806451612903226,0.5482304134858554
