n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1
100,30,5,1,entropy,0.9297306397306397,0.773015873015873,0.7555555555555555,0.7639846743295019
10,30,2,2,entropy,0.9196969696969698,0.7236111111111111,0.7555555555555555,0.7390681003584229
50,30,2,2,entropy,0.9297306397306397,0.76125116713352,0.7777777777777778,0.7681513409961686
100,30,2,2,entropy,0.943063973063973,0.8206349206349207,0.7999999999999999,0.8099616858237547
10,30,5,2,entropy,0.923030303030303,0.7402777777777777,0.7555555555555555,0.7476702508960574
50,30,5,2,entropy,0.9296969696969697,0.7619047619047619,0.7777777777777778,0.7690025954764552
100,30,5,2,entropy,0.9296632996632997,0.7664799253034547,0.7777777777777778,0.7709291187739463
10,50,2,1,entropy,0.9264983164983165,0.7857142857142857,0.7111111111111111,0.744997871434653
50,50,2,1,entropy,0.9297643097643098,0.7738095238095237,0.7555555555555555,0.7638116425658138
100,50,2,1,entropy,0.9364309764309763,0.8095238095238094,0.7555555555555555,0.7816091954022989
10,50,5,1,entropy,0.9130639730639731,0.7117063492063492,0.7111111111111111,0.710888641700655
50,50,5,1,entropy,0.9263973063973064,0.7563492063492063,0.7555555555555555,0.7553825237918675
100,50,5,1,entropy,0.9297306397306397,0.773015873015873,0.7555555555555555,0.7639846743295019
10,50,2,2,entropy,0.9196969696969698,0.7236111111111111,0.7555555555555555,0.7390681003584229
50,50,2,2,entropy,0.9297306397306397,0.76125116713352,0.7777777777777778,0.7681513409961686
100,50,2,2,entropy,0.943063973063973,0.8206349206349207,0.7999999999999999,0.8099616858237547
10,50,5,2,entropy,0.923030303030303,0.7402777777777777,0.7555555555555555,0.7476702508960574
50,50,5,2,entropy,0.9296969696969697,0.7619047619047619,0.7777777777777778,0.7690025954764552
100,50,5,2,entropy,0.9296632996632997,0.7664799253034547,0.7777777777777778,0.7709291187739463
