pca_n_components,learning_rate,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
167,0.3,3,300,0.882895622895623,0.7916666666666666,0.3111111111111111,0.4406668846028114,0.4453997570066508,0.3402874906354445
167,0.3,5,50,0.8728619528619529,0.8333333333333334,0.2222222222222222,0.3273809523809524,0.36270156235984957,0.340287513712446
167,0.3,5,100,0.8795622895622897,0.8492063492063492,0.26666666666666666,0.3886766827943298,0.4189513426622206,0.34028753712380083
167,0.3,5,200,0.8795622895622897,0.8492063492063492,0.26666666666666666,0.3886766827943298,0.4189513426622206,0.34028756020070494
167,0.3,5,300,0.8795622895622897,0.8492063492063492,0.26666666666666666,0.3886766827943298,0.4189513426622206,0.3402875842809612
167,0.3,7,50,0.8728619528619529,0.8190476190476191,0.22222222222222224,0.3234848484848485,0.3571640936883116,0.34028761438133015
167,0.3,7,100,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.34028763745823426
167,0.3,7,200,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.3402876608695891
167,0.3,7,300,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.3402876856187467
167,0.3,10,50,0.8728619528619529,0.8190476190476191,0.22222222222222224,0.3234848484848485,0.3571640936883116,0.34028770769229877
167,0.3,10,100,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.3402877304348495
167,0.3,10,200,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.3402877521739508
167,0.3,10,300,0.882895622895623,0.8571428571428571,0.2888888888888889,0.411764705882353,0.4388956738823861,0.34028777558530565
167,0.5,3,50,0.882895622895623,0.8857142857142857,0.26666666666666666,0.39358288770053473,0.4335816307411631,0.340287798327759
167,0.5,3,100,0.882895622895623,0.8857142857142857,0.26666666666666666,0.39358288770053473,0.4335816307411631,0.34028782173911387
167,0.5,3,200,0.882895622895623,0.8857142857142857,0.26666666666666666,0.39358288770053473,0.4335816307411631,0.3402878444816646
167,0.5,3,300,0.882895622895623,0.8857142857142857,0.26666666666666666,0.39358288770053473,0.4335816307411631,0.340287867224118
167,0.5,5,50,0.8795622895622897,0.7301587301587301,0.3111111111111111,0.4357864357864358,0.4246099770010315,0.3402878906354729
167,0.5,5,100,0.8795622895622897,0.7301587301587301,0.3111111111111111,0.4357864357864358,0.4246099770010315,0.3402879133779263
167,0.5,5,200,0.8795622895622897,0.7301587301587301,0.3111111111111111,0.4357864357864358,0.4246099770010315,0.3402879354515756
167,0.5,5,300,0.8795622895622897,0.7301587301587301,0.3111111111111111,0.4357864357864358,0.4246099770010315,0.3402879578595783
167,0.5,7,50,0.8795959595959596,0.8055555555555555,0.2888888888888889,0.41200828157349895,0.42646705038093485,0.34028798160538387
