pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
191,9,cosine,distance,0.9063276836158192,0.9333333333333332,0.4,0.5556776556776557,0.5735315602508593,0.6099752066622088
215,9,cosine,distance,0.9063276836158192,0.9333333333333332,0.4,0.5556776556776557,0.5735315602508593,0.6099752529264219
167,11,cosine,uniform,0.862824858757062,1.0,0.08888888888888888,0.15272727272727274,0.21237330313496378,0.6099753072742481
191,11,cosine,uniform,0.862824858757062,1.0,0.08888888888888888,0.15272727272727274,0.21237330313496378,0.6099753534013372
215,11,cosine,uniform,0.862824858757062,1.0,0.08888888888888888,0.15272727272727274,0.21237330313496378,0.6099754002240834
167,11,cosine,distance,0.886271186440678,0.9,0.2666666666666666,0.40489510489510494,0.4495799276464525,0.609975445511712
191,11,cosine,distance,0.886271186440678,0.9,0.2666666666666666,0.40489510489510494,0.4495799276464525,0.609975490384611
215,11,cosine,distance,0.8896045197740113,1.0,0.2666666666666666,0.40853146853146854,0.47515867925262106,0.6099755358127094
167,15,cosine,uniform,0.8528248587570622,1.0,0.02222222222222222,0.04,0.06198231933063266,0.6099755817993288
191,15,cosine,uniform,0.8528248587570622,1.0,0.02222222222222222,0.04,0.06198231933063266,0.609975624722405
215,15,cosine,uniform,0.8528248587570622,1.0,0.02222222222222222,0.04,0.06198231933063266,0.6099756682006684
167,15,cosine,distance,0.8795480225988701,1.0,0.2,0.31999999999999995,0.4043105572293827,0.6099757101438144
191,15,cosine,distance,0.8795480225988701,1.0,0.2,0.31999999999999995,0.4043105572293827,0.609975752785951
215,15,cosine,distance,0.8795480225988701,1.0,0.2,0.31999999999999995,0.4043105572293827,0.6099757961270905
167,20,cosine,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.6099758391872906
191,20,cosine,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.6099758752775978
215,20,cosine,uniform,0.8494915254237287,1.0,0.0,0.0,0.0,0.6099759096989974
167,20,cosine,distance,0.8762146892655368,1.0,0.17777777777777776,0.2927272727272727,0.3834954854485311,0.6099759435618759
