n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
200,10,10,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683284166640886
50,20,5,2,entropy,0.8679975801572898,0.8,0.17777777777777776,0.26853146853146853,0.2919262563452236,0.1768328545137289
100,20,5,2,entropy,0.8784029038112522,1.0,0.22222222222222218,0.35272727272727267,0.4295896555565407,0.17683286701382409
200,20,5,2,entropy,0.8714458560193588,1.0,0.17777777777777778,0.28545454545454546,0.34707017375791044,0.17683287986114415
50,20,10,2,entropy,0.8713853599516032,1.0,0.17777777777777776,0.2758041958041958,0.3387351396054492,0.17683289270805996
100,20,10,2,entropy,0.8749546279491834,1.0,0.2,0.2958041958041958,0.3240685004146072,0.17683290729150436
200,20,10,2,entropy,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683292152772387
50,20,5,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683293472226877
100,20,5,5,entropy,0.8610405323653962,1.0,0.11111111111111112,0.18545454545454546,0.23810476072247613,0.17683294722195975
200,20,5,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.1768329690971263
50,20,10,5,entropy,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683298229167121
100,20,10,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683299513858705
200,20,10,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683300763868223
50,30,5,2,entropy,0.8819116757410768,1.0,0.2444444444444444,0.37580419580419583,0.44760135039581267,0.17683302083322713
100,30,5,2,entropy,0.8784029038112522,0.95,0.2444444444444444,0.3553846153846154,0.3871141160485262,0.17683303402777206
200,30,5,2,entropy,0.8818511796733212,1.0,0.2444444444444444,0.3630769230769231,0.40667815222476944,0.17683304652786724
50,30,10,2,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683305868033333
100,30,10,2,entropy,0.8749546279491834,1.0,0.2,0.2958041958041958,0.3240685004146072,0.1768330711804285
200,30,10,2,entropy,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683308333329883
50,30,5,5,entropy,0.8610405323653962,0.8,0.13333333333333336,0.20307692307692307,0.23919029474750056,0.17683309618061888
100,30,5,5,entropy,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683310937475957
200,30,5,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683312152762987
50,30,10,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.2127272727272727,0.25887846338909076,0.1768331336805002
100,30,10,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.2358041958041958,0.2768991904619016,0.17683314618059537
200,30,10,5,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683315868028635
50,50,5,2,entropy,0.8784029038112522,0.96,0.2444444444444444,0.35428571428571426,0.38907060806263005,0.17683317187483125
100,50,5,2,entropy,0.8748941318814276,0.95,0.22222222222222224,0.32811188811188813,0.3663250064682716,0.1768331847221513
200,50,5,2,entropy,0.8818511796733212,1.0,0.2444444444444444,0.3630769230769231,0.40667815222476944,0.17683319756947136
50,50,10,2,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683320972193745
100,50,10,2,entropy,0.8679975801572898,1.0,0.15555555555555556,0.24545454545454545,0.28525866376154174,0.17683322222203263
200,50,10,2,entropy,0.8715063520871145,1.0,0.17777777777777776,0.27272727272727276,0.3060477733417964,0.17683323506935267
50,50,5,5,entropy,0.8715063520871145,1.0,0.17777777777777776,0.27272727272727276,0.3060477733417964,0.176833247222223
100,50,5,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683325972231817
200,50,5,5,entropy,0.8645493042952207,1.0,0.13333333333333333,0.21818181818181817,0.2644605219477482,0.17683327256923398
50,50,10,5,entropy,0.8611010284331518,1.0,0.11111111111111112,0.18545454545454548,0.23808032157529727,0.1768332847221043
100,50,10,5,entropy,0.8644888082274651,1.0,0.13333333333333336,0.21272727272727274,0.2589029025362697,0.17683329791664923
200,50,10,5,entropy,0.8714458560193588,1.0,0.17777777777777776,0.26853146853146853,0.30327939083435257,0.17683331006951952
