C,kernel,fold,threshold,accuracy,precision,recall,f1
0.01,linear,5,0.7000000000000001,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365
0.01,linear,5,0.8,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365
0.01,linear,5,0.9,0.8813559322033898,1.0,0.2222222222222222,0.36363636363636365
0.01,rbf,1,0.1,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667
0.01,rbf,1,0.2,0.8333333333333334,0.4444444444444444,0.4444444444444444,0.4444444444444444
0.01,rbf,1,0.30000000000000004,0.8666666666666667,0.5714285714285714,0.4444444444444444,0.5
0.01,rbf,1,0.4,0.85,0.5,0.3333333333333333,0.4
0.01,rbf,1,0.5,0.85,0.5,0.3333333333333333,0.4
0.01,rbf,1,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2
0.01,rbf,1,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2
0.01,rbf,1,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2
0.01,rbf,1,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2
0.01,rbf,2,0.1,0.7333333333333333,0.3333333333333333,0.7777777777777778,0.4666666666666667
0.01,rbf,2,0.2,0.75,0.2,0.2222222222222222,0.21052631578947367
0.01,rbf,2,0.30000000000000004,0.7833333333333333,0.25,0.2222222222222222,0.23529411764705882
0.01,rbf,2,0.4,0.7833333333333333,0.25,0.2222222222222222,0.23529411764705882
0.01,rbf,2,0.5,0.7833333333333333,0.25,0.2222222222222222,0.23529411764705882
0.01,rbf,2,0.6,0.7666666666666667,0.14285714285714285,0.1111111111111111,0.125
0.01,rbf,2,0.7000000000000001,0.8333333333333334,0.3333333333333333,0.1111111111111111,0.16666666666666666
0.01,rbf,2,0.8,0.8166666666666667,0.0,0.0,0.0
0.01,rbf,2,0.9,0.85,1.0,0.0,0.0
0.01,rbf,3,0.1,0.6,0.2727272727272727,1.0,0.42857142857142855
0.01,rbf,3,0.2,0.95,0.8,0.8888888888888888,0.8421052631578947
0.01,rbf,3,0.30000000000000004,0.95,0.8,0.8888888888888888,0.8421052631578947
0.01,rbf,3,0.4,0.9666666666666667,1.0,0.7777777777777778,0.875
