C,kernel,fold,threshold,accuracy,precision,recall,f1,mcc
0.1,linear,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.8,0.85,1.0,0.0,0.0,0.0
0.1,linear,4,0.9,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.1,linear,5,0.2,0.8333333333333334,0.0,0.0,0.0,-0.054690281762322934
0.1,linear,5,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.4,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.5,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.6,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.8,0.85,1.0,0.0,0.0,0.0
0.1,linear,5,0.9,0.85,1.0,0.0,0.0,0.0
0.1,rbf,1,0.1,0.5573770491803278,0.18518518518518517,0.5,0.2702702702702703,0.05115188183823048
0.1,rbf,1,0.2,0.8524590163934426,0.5555555555555556,0.5,0.5263157894736842,0.4400787975818794
0.1,rbf,1,0.30000000000000004,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.1,rbf,1,0.4,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.1,rbf,1,0.5,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.1,rbf,1,0.6,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
0.1,rbf,1,0.7000000000000001,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
0.1,rbf,1,0.8,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
0.1,rbf,1,0.9,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
0.1,rbf,2,0.1,0.4666666666666667,0.19444444444444445,0.7,0.30434782608695654,0.09128709291752768
0.1,rbf,2,0.2,0.75,0.14285714285714285,0.1,0.11764705882352941,-0.023218173010628604
0.1,rbf,2,0.30000000000000004,0.7666666666666667,0.16666666666666666,0.1,0.125,0.0
0.1,rbf,2,0.4,0.7666666666666667,0.16666666666666666,0.1,0.125,0.0
0.1,rbf,2,0.5,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
0.1,rbf,2,0.6,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
0.1,rbf,2,0.7000000000000001,0.8,0.25,0.1,0.14285714285714285,0.05976143046671968
0.1,rbf,2,0.8,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
0.1,rbf,2,0.9,0.85,1.0,0.1,0.18181818181818182,0.291111254869791
0.1,rbf,3,0.1,0.4666666666666667,0.20512820512820512,0.8888888888888888,0.3333333333333333,0.21039790769253672
0.1,rbf,3,0.2,0.8833333333333333,0.6,0.6666666666666666,0.631578947368421,0.5636018619766345
0.1,rbf,3,0.30000000000000004,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.1,rbf,3,0.4,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
0.1,rbf,3,0.5,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
0.1,rbf,3,0.6,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.1,rbf,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.1,rbf,3,0.8,0.85,1.0,0.0,0.0,0.0
0.1,rbf,3,0.9,0.85,1.0,0.0,0.0,0.0
0.1,rbf,4,0.1,0.5833333333333334,0.2647058823529412,1.0,0.4186046511627907,0.36735282343519987
0.1,rbf,4,0.2,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.1,rbf,4,0.30000000000000004,0.8833333333333333,0.75,0.3333333333333333,0.46153846153846156,0.44908871313907184
0.1,rbf,4,0.4,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.1,rbf,4,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.1,rbf,4,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
0.1,rbf,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.1,rbf,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.1,rbf,4,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.1,rbf,5,0.1,0.16666666666666666,0.15254237288135594,1.0,0.2647058823529412,0.054690281762322934
0.1,rbf,5,0.2,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.1,rbf,5,0.30000000000000004,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.1,rbf,5,0.4,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.1,rbf,5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.1,rbf,5,0.6,0.85,1.0,0.0,0.0,0.0
0.1,rbf,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,rbf,5,0.8,0.85,1.0,0.0,0.0,0.0
0.1,rbf,5,0.9,0.85,1.0,0.0,0.0,0.0
0.1,poly,1,0.1,0.21311475409836064,0.1724137931034483,1.0,0.29411764705882354,0.1007074368138451
0.1,poly,1,0.2,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
0.1,poly,1,0.30000000000000004,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
0.1,poly,1,0.4,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
0.1,poly,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,poly,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,poly,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,poly,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,poly,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,poly,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
0.1,poly,2,0.2,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.1,poly,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.1,poly,3,0.2,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.4,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.5,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.6,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.8,0.85,1.0,0.0,0.0,0.0
0.1,poly,3,0.9,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.1,poly,4,0.2,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.4,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.5,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.6,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.8,0.85,1.0,0.0,0.0,0.0
0.1,poly,4,0.9,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.1,poly,5,0.2,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.30000000000000004,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.4,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.5,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.6,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.8,0.85,1.0,0.0,0.0,0.0
0.1,poly,5,0.9,0.85,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.1,0.19672131147540983,0.1694915254237288,1.0,0.2898550724637681,0.08152745848611406
0.1,sigmoid,1,0.2,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.30000000000000004,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.4,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.1,sigmoid,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
