eta,max_depth,n_estimators,fold,threshold,accuracy,precision,recall,f1,mcc
0.01,3,300,4,0.5,0.95,1.0,0.6666666666666666,0.8,0.7934920476158722
0.01,3,300,4,0.6,0.9333333333333333,1.0,0.5555555555555556,0.7142857142857143,0.7177405625652734
0.01,3,300,4,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,3,300,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,3,300,5,0.1,0.7833333333333333,0.4,0.8888888888888888,0.5517241379310345,0.49507377148833714
0.01,3,300,5,0.2,0.9,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6078431372549019
0.01,3,300,5,0.30000000000000004,0.8666666666666667,0.6666666666666666,0.2222222222222222,0.3333333333333333,0.33195449253833836
0.01,3,300,5,0.4,0.85,0.5,0.1111111111111111,0.18181818181818182,0.18201783862232032
0.01,3,300,5,0.5,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,5,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,5,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
0.01,3,300,5,0.8,0.85,1.0,0.0,0.0,0.0
0.01,3,300,5,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,1,0.1,0.16393442622950818,0.16393442622950818,1.0,0.28169014084507044,0.0
0.01,5,50,1,0.2,0.7868852459016393,0.3333333333333333,0.3,0.3157894736842105,0.19035966593076642
0.01,5,50,1,0.30000000000000004,0.8688524590163934,0.75,0.3,0.42857142857142855,0.41935664191718136
0.01,5,50,1,0.4,0.819672131147541,0.0,0.0,0.0,-0.05716619504750294
0.01,5,50,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,50,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,50,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,50,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,50,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
0.01,5,50,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
0.01,5,50,2,0.2,0.8166666666666667,0.47058823529411764,0.8,0.5925925925925926,0.5127645625236082
0.01,5,50,2,0.30000000000000004,0.8333333333333334,0.5,0.4,0.4444444444444444,0.35082320772281167
0.01,5,50,2,0.4,0.8666666666666667,1.0,0.2,0.3333333333333333,0.41522739926869984
0.01,5,50,2,0.5,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,50,2,0.6,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,50,2,0.7000000000000001,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,50,2,0.8,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,50,2,0.9,0.8333333333333334,1.0,0.0,0.0,0.0
0.01,5,50,3,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,3,0.2,0.8,0.4117647058823529,0.7777777777777778,0.5384615384615384,0.46094194507635605
0.01,5,50,3,0.30000000000000004,0.8166666666666667,0.4166666666666667,0.5555555555555556,0.47619047619047616,0.37340802240746923
0.01,5,50,3,0.4,0.85,0.5,0.3333333333333333,0.4,0.32673201960653564
0.01,5,50,3,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,3,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,4,0.2,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
0.01,5,50,4,0.30000000000000004,0.8833333333333333,0.6666666666666666,0.4444444444444444,0.5333333333333333,0.48231869560964785
0.01,5,50,4,0.4,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.5,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.6,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.7000000000000001,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.8,0.85,1.0,0.0,0.0,0.0
0.01,5,50,4,0.9,0.85,1.0,0.0,0.0,0.0
0.01,5,50,5,0.1,0.15,0.15,1.0,0.2608695652173913,0.0
0.01,5,50,5,0.2,0.7833333333333333,0.35714285714285715,0.5555555555555556,0.43478260869565216,0.32003683870283267
0.01,5,50,5,0.30000000000000004,0.8666666666666667,0.6,0.3333333333333333,0.42857142857142855,0.3799802978286742
0.01,5,50,5,0.4,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
0.01,5,50,5,0.5,0.85,1.0,0.0,0.0,0.0
