n_neighbors,weights,metric,fold,threshold,accuracy,precision,recall,f1,mcc
3,uniform,euclidean,5,0.1,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
3,uniform,euclidean,5,0.2,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
3,uniform,euclidean,5,0.30000000000000004,0.8666666666666667,0.5555555555555556,0.5555555555555556,0.5555555555555556,0.477124183006536
3,uniform,euclidean,5,0.4,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
3,uniform,euclidean,5,0.5,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
3,uniform,euclidean,5,0.6,0.85,0.5,0.2222222222222222,0.3076923076923077,0.2619684159977919
3,uniform,euclidean,5,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,euclidean,5,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,uniform,euclidean,5,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
3,distance,cosine,1,0.1,0.8852459016393442,0.7142857142857143,0.5,0.5882352941176471,0.5352255958259309
3,distance,cosine,1,0.2,0.8852459016393442,0.7142857142857143,0.5,0.5882352941176471,0.5352255958259309
3,distance,cosine,1,0.30000000000000004,0.8852459016393442,0.8,0.4,0.5333333333333333,0.5133784403042143
3,distance,cosine,1,0.4,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
3,distance,cosine,1,0.5,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
3,distance,cosine,1,0.6,0.8524590163934426,0.6666666666666666,0.2,0.3076923076923077,0.3088361395624583
3,distance,cosine,1,0.7000000000000001,0.8688524590163934,1.0,0.2,0.3333333333333333,0.4157900382791817
3,distance,cosine,1,0.8,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
3,distance,cosine,1,0.9,0.8524590163934426,1.0,0.1,0.18181818181818182,0.291547594742265
3,distance,cosine,2,0.1,0.85,0.5384615384615384,0.7,0.6086956521739131,0.5246774396826565
3,distance,cosine,2,0.2,0.85,0.5384615384615384,0.7,0.6086956521739131,0.5246774396826565
3,distance,cosine,2,0.30000000000000004,0.8666666666666667,0.5833333333333334,0.7,0.6363636363636364,0.5590169943749475
3,distance,cosine,2,0.4,0.9,0.75,0.6,0.6666666666666666,0.6139406135149205
3,distance,cosine,2,0.5,0.9,0.75,0.6,0.6666666666666666,0.6139406135149205
3,distance,cosine,2,0.6,0.9166666666666666,0.8571428571428571,0.6,0.7058823529411765,0.6733270173082295
3,distance,cosine,2,0.7000000000000001,0.9,1.0,0.4,0.5714285714285714,0.5976143046671968
3,distance,cosine,2,0.8,0.9,1.0,0.4,0.5714285714285714,0.5976143046671968
3,distance,cosine,2,0.9,0.8833333333333333,1.0,0.3,0.46153846153846156,0.5129891760425771
3,distance,cosine,3,0.1,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
3,distance,cosine,3,0.2,0.8166666666666667,0.42857142857142855,0.6666666666666666,0.5217391304347826,0.43039436929001634
