n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,mcc,preparationTime
100,10,5,2,gini,0.8770491803278688,1.0,0.20888888888888885,0.33734265734265734,0.41769272389360124,0.0014853415016612876
300,10,5,2,gini,0.8737704918032787,1.0,0.18888888888888888,0.31170163170163173,0.39812914599931554,0.0014853415016612876
500,10,5,2,gini,0.8671584699453552,0.9333333333333332,0.16888888888888887,0.2809324009324009,0.3571860109011954,0.0014853415016612876
10,30,2,1,gini,0.8837158469945354,0.9333333333333332,0.2733333333333333,0.4187146187146187,0.46545267393862594,0.0014853415016612876
50,30,2,1,gini,0.877103825136612,0.85,0.2511111111111111,0.3818181818181819,0.4166150859887366,0.0014853415016612876
100,30,2,1,gini,0.877103825136612,0.85,0.2533333333333333,0.3871128871128871,0.4205051320446643,0.0014853415016612876
300,30,2,1,gini,0.8771584699453552,0.8333333333333333,0.2533333333333333,0.3849150849150849,0.4153260572986436,0.0014853415016612876
500,30,2,1,gini,0.877103825136612,0.9,0.2333333333333333,0.3680652680652681,0.41979181131706433,0.0014853415016612876
10,30,5,1,gini,0.8804371584699453,0.8333333333333334,0.3022222222222222,0.42390942390942393,0.4418503330059312,0.0014853415016612876
50,30,5,1,gini,0.8837158469945354,0.9333333333333333,0.27111111111111114,0.40503496503496506,0.45434344035476915,0.0014853415016612876
100,30,5,1,gini,0.8770491803278688,1.0,0.20888888888888885,0.33734265734265734,0.41769272389360124,0.0014853415016612876
300,30,5,1,gini,0.8704371584699453,0.85,0.2066666666666667,0.31636363636363635,0.36376239570260505,0.0014853415016612876
500,30,5,1,gini,0.8803825136612022,0.9,0.24888888888888888,0.3747319347319347,0.42435610957156555,0.0014853415016612876
10,30,2,2,gini,0.8936612021857921,0.7795238095238095,0.4444444444444445,0.5635261797026503,0.5356066731629269,0.0014853415016612876
50,30,2,2,gini,0.8737704918032787,1.0,0.1866666666666667,0.3009523809523809,0.3886278265811737,0.0014853415016612876
100,30,2,2,gini,0.8737704918032787,0.95,0.20888888888888885,0.3307492507492507,0.3988424667269155,0.0014853415016612876
300,30,2,2,gini,0.8770491803278688,1.0,0.2111111111111111,0.3444289044289045,0.4245667136818915,0.0014853415016612876
500,30,2,2,gini,0.877103825136612,1.0,0.2111111111111111,0.3444289044289045,0.42455549114238134,0.0014853415016612876
10,30,5,2,gini,0.8738251366120219,0.82,0.24888888888888888,0.3624242424242424,0.39202558851676367,0.0014853415016612876
50,30,5,2,gini,0.8737158469945356,1.0,0.1888888888888889,0.3117016317016317,0.39814036853882573,0.0014853415016612876
100,30,5,2,gini,0.8737704918032787,0.85,0.2311111111111111,0.3598401598401598,0.3996900602638126,0.0014853415016612876
