eta,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.1,10,50,0.8871584699453553,0.8433333333333334,0.3688888888888889,0.48588744588744587,0.4917594592762396,0.0009697562292356669
0.1,10,100,0.893825136612022,0.8428571428571429,0.4311111111111111,0.535887445887446,0.5324426224610247,0.0009697562292356669
0.1,10,200,0.893825136612022,0.8342857142857143,0.4288888888888889,0.5311115355233003,0.5273833875664871,0.0009697562292356669
0.1,10,300,0.8904918032786886,0.819047619047619,0.4311111111111111,0.5285345047109753,0.5199892595099275,0.0009697562292356669
0.3,3,50,0.8872131147540985,0.75,0.3888888888888889,0.5018315018315018,0.48381590654271944,0.0009697562292356669
0.3,3,100,0.8904918032786885,0.8261904761904763,0.40888888888888886,0.5129850541615247,0.510093006070263,0.0009697562292356669
0.3,3,200,0.8905464480874317,0.7595238095238096,0.40888888888888886,0.5194785606550313,0.5011767832916194,0.0009697562292356669
0.3,3,300,0.8905464480874317,0.7595238095238096,0.40888888888888886,0.5194785606550313,0.5011767832916194,0.0009697562292356669
0.3,5,50,0.8804918032786885,0.7961904761904762,0.36444444444444446,0.46946857064504127,0.46481471554107934,0.0009697562292356669
0.3,5,100,0.8771584699453552,0.7676190476190475,0.36666666666666664,0.464935064935065,0.4530811353370863,0.0009697562292356669
0.3,5,200,0.8771584699453552,0.7676190476190475,0.36666666666666664,0.464935064935065,0.4530811353370863,0.0009697562292356669
0.3,5,300,0.8771584699453552,0.7676190476190475,0.36666666666666664,0.464935064935065,0.4530811353370863,0.0009697562292356669
0.3,7,50,0.8871584699453552,0.8357142857142857,0.38666666666666666,0.4943953105717812,0.49703695255882796,0.0009697562292356669
0.3,7,100,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.3,7,200,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.3,7,300,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.3,10,50,0.8871584699453552,0.8357142857142857,0.38666666666666666,0.4943953105717812,0.49703695255882796,0.0009697562292356669
0.3,10,100,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.3,10,200,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.3,10,300,0.8871584699453552,0.8195238095238094,0.38666666666666666,0.49393743511390575,0.49228401778710573,0.0009697562292356669
0.5,3,50,0.9004918032786886,0.845,0.47333333333333333,0.5629742806213395,0.5599199742807427,0.0009697562292356669
0.5,3,100,0.9071584699453552,0.8797619047619047,0.4955555555555556,0.5917697988286224,0.5922649345955991,0.0009697562292356669
0.5,3,200,0.9071584699453552,0.8797619047619047,0.4955555555555556,0.5917697988286224,0.5922649345955991,0.0009697562292356669
0.5,3,300,0.9071584699453552,0.8797619047619047,0.4955555555555556,0.5917697988286224,0.5922649345955991,0.0009697562292356669
0.5,5,50,0.8904918032786885,0.8433333333333334,0.38666666666666666,0.5012903762903763,0.504737380738203,0.0009697562292356669
0.5,5,100,0.8904918032786885,0.8433333333333334,0.38666666666666666,0.5012903762903763,0.504737380738203,0.0009697562292356669
0.5,5,200,0.8904918032786885,0.8433333333333334,0.38666666666666666,0.5012903762903763,0.504737380738203,0.0009697562292356669
0.5,5,300,0.8904918032786885,0.8433333333333334,0.38666666666666666,0.5012903762903763,0.504737380738203,0.0009697562292356669
0.5,7,50,0.8938251366120218,0.8480952380952381,0.40888888888888886,0.5179570429570429,0.5211001673609961,0.0009697562292356669
0.5,7,100,0.8938251366120218,0.8766666666666667,0.38666666666666666,0.5108141858141858,0.5207044189287056,0.0009697562292356669
0.5,7,200,0.8938251366120218,0.8766666666666667,0.38666666666666666,0.5108141858141858,0.5207044189287056,0.0009697562292356669
0.5,7,300,0.8938251366120218,0.8766666666666667,0.38666666666666666,0.5108141858141858,0.5207044189287056,0.0009697562292356669
0.5,10,50,0.8938251366120218,0.8480952380952381,0.40888888888888886,0.5179570429570429,0.5211001673609961,0.0009697562292356669
