criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
gini,50,2,5,None,0.8238283828382839,0.44615800865800864,0.2986111111111111,0.34692570082939417,0.26325013004985476,0.0008943952092993889
gini,50,5,5,None,0.8304950495049505,0.466991341991342,0.32083333333333336,0.36843107717348017,0.2887139771895273,0.0008943952092993889
gini,50,10,5,None,0.8238283828382839,0.4586580086580086,0.3430555555555556,0.37273215244229735,0.2903961330885734,0.0008943952092993889
gini,50,2,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,50,5,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,50,10,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,50,2,1,sqrt,0.8205280528052805,0.4314814814814814,0.4055555555555556,0.40666666666666673,0.3099810585150022,0.0008943952092993889
gini,50,5,1,sqrt,0.773960396039604,0.3041666666666667,0.3194444444444444,0.31063321385902026,0.1764984384300746,0.0008943952092993889
gini,50,10,1,sqrt,0.8172607260726071,0.4914529914529915,0.4069444444444444,0.4157955865272938,0.3320192175343429,0.0008943952092993889
gini,50,2,2,sqrt,0.8006600660066008,0.33888888888888885,0.27638888888888885,0.30317460317460315,0.19056527371322032,0.0008943952092993889
gini,50,5,2,sqrt,0.7907590759075908,0.29914529914529914,0.2347222222222222,0.2616536892843901,0.14393902875343542,0.0008943952092993889
gini,50,10,2,sqrt,0.8237953795379539,0.4083333333333334,0.28055555555555556,0.32544945475979964,0.23857208122745086,0.0008943952092993889
gini,50,2,5,sqrt,0.774026402640264,0.33351281015838824,0.4083333333333334,0.3660587778234838,0.23314923558279768,0.0008943952092993889
gini,50,5,5,sqrt,0.773960396039604,0.26108140225787285,0.23750000000000002,0.24527080844285143,0.1155875513767471,0.0008943952092993889
gini,50,10,5,sqrt,0.8470627062706271,0.5782051282051283,0.5347222222222222,0.522816679779701,0.4562825601403657,0.0008943952092993889
gini,50,2,10,sqrt,0.8438283828382839,0.524941724941725,0.4680555555555556,0.48855486786521274,0.4020796658207802,0.0008943952092993889
gini,50,5,10,sqrt,0.8072607260726072,0.39510869565217394,0.4069444444444444,0.38874831309041835,0.284209789640863,0.0008943952092993889
gini,50,10,10,sqrt,0.8172277227722772,0.297008547008547,0.13055555555555556,0.16365914786967417,0.10154731621266343,0.0008943952092993889
gini,50,2,1,log2,0.8174917491749175,0.4151515151515151,0.25833333333333336,0.3092713737875028,0.2237420726290559,0.0008943952092993889
gini,50,5,1,log2,0.8205610561056105,0.43347578347578347,0.4680555555555556,0.4460118425635667,0.3426840186227555,0.0008943952092993889
gini,50,10,1,log2,0.7873597359735974,0.3362193362193362,0.36388888888888893,0.34476411895766734,0.2223936205209718,0.0008943952092993889
gini,50,2,2,log2,0.8304950495049505,0.4537037037037037,0.27499999999999997,0.34074074074074073,0.2609758442183023,0.0008943952092993889
gini,50,5,2,log2,0.8106600660066006,0.35281385281385286,0.2333333333333333,0.27499070977331846,0.18005009383936552,0.0008943952092993889
gini,50,10,2,log2,0.8438283828382839,0.5205128205128206,0.32083333333333336,0.381317277869002,0.31863743415360557,0.0008943952092993889
gini,50,2,5,log2,0.793993399339934,0.3005847953216374,0.2736111111111111,0.28190476190476194,0.16597548341065607,0.0008943952092993889
gini,50,5,5,log2,0.7806930693069307,0.297008547008547,0.3236111111111111,0.3001347311692139,0.17877215622339715,0.0008943952092993889
gini,50,10,5,log2,0.8140924092409242,0.337037037037037,0.21666666666666667,0.2635897435897436,0.16895215043454137,0.0008943952092993889
gini,50,2,10,log2,0.8172937293729374,0.33589743589743587,0.15138888888888888,0.19365079365079363,0.1286715873471411,0.0008943952092993889
gini,50,5,10,log2,0.8107920792079208,0.3333333333333333,0.19305555555555554,0.2434188034188034,0.151276039358784,0.0008943952092993889
gini,50,10,10,log2,0.8338613861386138,0.39999999999999997,0.10555555555555556,0.16127946127946127,0.13323997558742678,0.0008943952092993889
gini,100,2,1,None,0.8305610561056106,0.4891636141636142,0.4069444444444444,0.42496807151979565,0.34219470905406446,0.0008943952092993889
gini,100,5,1,None,0.8239603960396039,0.4666666666666666,0.31805555555555554,0.3659138172849059,0.2814920268903794,0.0008943952092993889
gini,100,10,1,None,0.8205940594059405,0.42328042328042326,0.31805555555555554,0.3586206896551724,0.26315801976486103,0.0008943952092993889
gini,100,2,2,None,0.8505940594059406,0.5873015873015873,0.29583333333333334,0.38008658008658003,0.33615746806892877,0.0008943952092993889
gini,100,5,2,None,0.8105940594059406,0.38095238095238093,0.27499999999999997,0.31340996168582375,0.2143090303717163,0.0008943952092993889
gini,100,10,2,None,0.823927392739274,0.42063492063492064,0.31805555555555554,0.360303893637227,0.26518172759403713,0.0008943952092993889
gini,100,2,5,None,0.827161716171617,0.46479835953520166,0.3430555555555556,0.3766537210697483,0.2957976145142405,0.0008943952092993889
gini,100,5,5,None,0.827161716171617,0.46479835953520166,0.3430555555555556,0.3766537210697483,0.2957976145142405,0.0008943952092993889
gini,100,10,5,None,0.8338283828382839,0.5029761904761905,0.2986111111111111,0.3623577995948262,0.2937735121483307,0.0008943952092993889
gini,100,2,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,100,5,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,100,10,10,None,0.7974917491749176,0.35695006747638325,0.2347222222222222,0.2571428571428571,0.16603574520125972,0.0008943952092993889
gini,100,2,1,sqrt,0.794026402640264,0.35931372549019613,0.4055555555555556,0.3795454545454546,0.2585593248322713,0.0008943952092993889
gini,100,5,1,sqrt,0.794026402640264,0.3833333333333333,0.5333333333333333,0.44144777986241407,0.3298426679113213,0.0008943952092993889
gini,100,10,1,sqrt,0.8005280528052805,0.38578088578088576,0.3625,0.3659077797008832,0.2542965224670489,0.0008943952092993889
gini,100,2,2,sqrt,0.8172607260726071,0.39999999999999997,0.34027777777777773,0.3642128480838158,0.2621393973175846,0.0008943952092993889
gini,100,5,2,sqrt,0.8437953795379537,0.46388888888888896,0.2513888888888889,0.3244810744810745,0.262215467642023,0.0008943952092993889
gini,100,10,2,sqrt,0.7906600660066007,0.37042124542124544,0.42777777777777776,0.3884146341463415,0.27156890676275,0.0008943952092993889
gini,100,2,5,sqrt,0.8040594059405941,0.3487933634992458,0.32222222222222224,0.332204433497537,0.22023777544676446,0.0008943952092993889
gini,100,5,5,sqrt,0.824026402640264,0.4271255060728745,0.4041666666666666,0.41153074256522526,0.3111679497747577,0.0008943952092993889
gini,100,10,5,sqrt,0.8205940594059405,0.3378787878787879,0.18888888888888888,0.2364172539611136,0.15725889815602562,0.0008943952092993889
gini,100,2,10,sqrt,0.8305280528052806,0.4583333333333333,0.2986111111111111,0.3492424242424243,0.2725967552178228,0.0008943952092993889
gini,100,5,10,sqrt,0.8338283828382839,0.4874793822162244,0.4055555555555556,0.43150777552400266,0.34521104954672,0.0008943952092993889
