pca__n_components,knn__n_neighbors,knn__weights,knn__metric,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.7,5,distance,euclidean,0.4,0.6666666666666667,0.10393492741038726,0.6988095238095238,0.1113270294357718,0.5777777777777777,0.14487116456005886,0.6297058823529411,0.12754125761977023,0.33913965856346756,0.20703759108195166
0.7,5,distance,euclidean,0.5,0.6888888888888889,0.08425417160057279,0.7616666666666667,0.09196919774214266,0.5555555555555556,0.15713484026367724,0.6332773109243697,0.11720712730269744,0.39681287890280736,0.16300877221339446
0.7,5,distance,euclidean,0.6,0.6888888888888889,0.13944333775567924,0.77,0.17888543819998318,0.5111111111111111,0.21659542988464367,0.6062863606981254,0.20839560999076867,0.39782920765053487,0.2837015689890749
0.7,5,distance,euclidean,0.7000000000000001,0.6444444444444445,0.10092167846991637,0.7528571428571429,0.17939808658229262,0.4,0.18592445034090568,0.5108141858141858,0.2054139932255484,0.3202841696010012,0.22275483434910956
0.7,5,distance,euclidean,0.8,0.6555555555555556,0.09128709291752765,0.95,0.11180339887498948,0.3333333333333333,0.17568209223157663,0.470969030969031,0.2031577725950643,0.40360928286258446,0.16664296047670155
0.7,5,distance,euclidean,0.9,0.6333333333333334,0.08425417160057277,1.0,0.0,0.26666666666666666,0.16850834320114555,0.3988811188811189,0.20862473466942583,0.38153392166312744,0.14682895095473636
0.7,5,uniform,cosine,0.1,0.5,0.06804138174397718,0.5000490196078431,0.038348406093394315,0.8,0.21372648957412604,0.6059125188536953,0.09046790860842614,0.007610686588609039,0.22680175202268432
0.7,5,uniform,cosine,0.2,0.5,0.06804138174397718,0.5000490196078431,0.038348406093394315,0.8,0.21372648957412604,0.6059125188536953,0.09046790860842614,0.007610686588609039,0.22680175202268432
0.7,5,uniform,cosine,0.30000000000000004,0.611111111111111,0.14163943093313294,0.6131746031746032,0.14303075869891907,0.711111111111111,0.16850834320114555,0.6466467746518898,0.12053103750196818,0.2241918388935904,0.296219034595596
0.7,5,uniform,cosine,0.4,0.611111111111111,0.14163943093313294,0.6131746031746032,0.14303075869891907,0.711111111111111,0.16850834320114555,0.6466467746518898,0.12053103750196818,0.2241918388935904,0.296219034595596
0.7,5,uniform,cosine,0.5,0.6888888888888889,0.1217161238900369,0.7595238095238095,0.182185647012393,0.5777777777777777,0.0929622251704528,0.6536274509803921,0.12108716329551945,0.39352132537129014,0.25729854813788533
0.7,5,uniform,cosine,0.6,0.6888888888888889,0.1217161238900369,0.7595238095238095,0.182185647012393,0.5777777777777777,0.0929622251704528,0.6536274509803921,0.12108716329551945,0.39352132537129014,0.25729854813788533
0.7,5,uniform,cosine,0.7000000000000001,0.6777777777777778,0.106863244787063,0.8333333333333334,0.20412414523193148,0.48888888888888893,0.09938079899999068,0.603641456582633,0.1102624337577847,0.4020392620056127,0.23499041900136083
0.7,5,uniform,cosine,0.8,0.6777777777777778,0.106863244787063,0.8333333333333334,0.20412414523193148,0.48888888888888893,0.09938079899999068,0.603641456582633,0.1102624337577847,0.4020392620056127,0.23499041900136083
0.7,5,uniform,cosine,0.9,0.5555555555555556,0.05555555555555558,0.9,0.22360679774997896,0.13333333333333333,0.09296222517045283,0.22181818181818183,0.15124824976789397,0.18992848124457612,0.1792061588453423
0.7,5,uniform,euclidean,0.1,0.5444444444444445,0.07243558228002944,0.5267857142857142,0.043712528494612234,0.9111111111111111,0.09296222517045284,0.666463768115942,0.0515481393459289,0.12416292650113965,0.20235541399131066
0.7,5,uniform,euclidean,0.2,0.5444444444444445,0.07243558228002944,0.5267857142857142,0.043712528494612234,0.9111111111111111,0.09296222517045284,0.666463768115942,0.0515481393459289,0.12416292650113965,0.20235541399131066
0.7,5,uniform,euclidean,0.30000000000000004,0.611111111111111,0.15214515486254618,0.6042424242424242,0.13739675980583507,0.7555555555555555,0.18257418583505533,0.6614035087719298,0.12211584951084106,0.22275998957472223,0.3065893260215823
0.7,5,uniform,euclidean,0.4,0.611111111111111,0.15214515486254618,0.6042424242424242,0.13739675980583507,0.7555555555555555,0.18257418583505533,0.6614035087719298,0.12211584951084106,0.22275998957472223,0.3065893260215823
0.7,5,uniform,euclidean,0.5,0.6555555555555556,0.10686324478706302,0.6947619047619048,0.1305448203238209,0.5555555555555556,0.20786985482077455,0.6030094466936572,0.1618614531037454,0.32352221060878106,0.2144072663350316
0.7,5,uniform,euclidean,0.6,0.6555555555555556,0.10686324478706302,0.6947619047619048,0.1305448203238209,0.5555555555555556,0.20786985482077455,0.6030094466936572,0.1618614531037454,0.32352221060878106,0.2144072663350316
0.7,5,uniform,euclidean,0.7000000000000001,0.6222222222222222,0.09938079899999061,0.9166666666666666,0.11785113019775792,0.28888888888888886,0.23040490392586357,0.38871794871794874,0.28313080126434337,0.3031447743129275,0.2113674749167106
0.7,5,uniform,euclidean,0.8,0.6222222222222222,0.09938079899999061,0.9166666666666666,0.11785113019775792,0.28888888888888886,0.23040490392586357,0.38871794871794874,0.28313080126434337,0.3031447743129275,0.2113674749167106
0.7,5,uniform,euclidean,0.9,0.5666666666666667,0.07243558228002941,1.0,0.0,0.13333333333333333,0.14487116456005886,0.21272727272727274,0.22134076790593749,0.20866052222591294,0.2037936834974352
0.7,7,distance,cosine,0.1,0.5777777777777777,0.09296222517045284,0.5643589743589743,0.08323663028165128,0.7555555555555555,0.19876159799998125,0.635425462050849,0.09925919698954697,0.16139011809693643,0.1875542053937044
