pca__n_components,knn__n_neighbors,knn__weights,knn__metric,fold,threshold,accuracy,precision,recall,f1,mcc
0.7,3,uniform,cosine,4,0.30000000000000004,0.5,0.5,0.7777777777777778,0.6086956521739131,0.0
0.7,3,uniform,cosine,4,0.4,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,4,0.5,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,4,0.6,0.7222222222222222,0.75,0.6666666666666666,0.7058823529411765,0.4472135954999579
0.7,3,uniform,cosine,4,0.7000000000000001,0.5,0.5,0.1111111111111111,0.18181818181818182,0.0
0.7,3,uniform,cosine,4,0.8,0.5,0.5,0.1111111111111111,0.18181818181818182,0.0
0.7,3,uniform,cosine,4,0.9,0.5,0.5,0.1111111111111111,0.18181818181818182,0.0
0.7,3,uniform,cosine,5,0.1,0.4444444444444444,0.4666666666666667,0.7777777777777778,0.5833333333333334,-0.14907119849998599
0.7,3,uniform,cosine,5,0.2,0.4444444444444444,0.4666666666666667,0.7777777777777778,0.5833333333333334,-0.14907119849998599
0.7,3,uniform,cosine,5,0.30000000000000004,0.4444444444444444,0.4666666666666667,0.7777777777777778,0.5833333333333334,-0.14907119849998599
0.7,3,uniform,cosine,5,0.4,0.5555555555555556,0.5454545454545454,0.6666666666666666,0.6,0.11396057645963795
0.7,3,uniform,cosine,5,0.5,0.5555555555555556,0.5454545454545454,0.6666666666666666,0.6,0.11396057645963795
0.7,3,uniform,cosine,5,0.6,0.5555555555555556,0.5454545454545454,0.6666666666666666,0.6,0.11396057645963795
0.7,3,uniform,cosine,5,0.7000000000000001,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,cosine,5,0.8,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,cosine,5,0.9,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,euclidean,1,0.1,0.6111111111111112,0.5625,1.0,0.72,0.3535533905932738
0.7,3,uniform,euclidean,1,0.2,0.6111111111111112,0.5625,1.0,0.72,0.3535533905932738
0.7,3,uniform,euclidean,1,0.30000000000000004,0.6111111111111112,0.5625,1.0,0.72,0.3535533905932738
0.7,3,uniform,euclidean,1,0.4,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,0.3535533905932738
0.7,3,uniform,euclidean,1,0.5,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,0.3535533905932738
0.7,3,uniform,euclidean,1,0.6,0.6111111111111112,1.0,0.2222222222222222,0.36363636363636365,0.3535533905932738
0.7,3,uniform,euclidean,1,0.7000000000000001,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,euclidean,1,0.8,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,euclidean,1,0.9,0.5555555555555556,1.0,0.1111111111111111,0.2,0.24253562503633297
0.7,3,uniform,euclidean,2,0.1,0.5555555555555556,0.5454545454545454,0.6666666666666666,0.6,0.11396057645963795
