pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
200,5,euclidean,distance,0.8958257713248639,1.0,0.3333333333333333,0.49160839160839165,0.5391574967318687,0.30048891145836226
220,5,euclidean,distance,0.8958257713248639,1.0,0.3333333333333333,0.49160839160839165,0.5391574967318687,0.30048892743060507
150,7,euclidean,uniform,0.8506957047791893,0.8,0.06666666666666667,0.12000000000000002,0.17399122548844526,0.3004889413193976
180,7,euclidean,uniform,0.854204476709014,0.8,0.08888888888888888,0.15272727272727274,0.2003469867137173,0.30048895624996574
200,7,euclidean,uniform,0.8577132486388386,0.8,0.11111111111111112,0.18,0.22113609629397196,0.3004889718749837
220,7,euclidean,uniform,0.854204476709014,0.8,0.08888888888888888,0.15272727272727274,0.2003469867137173,0.30048898680555186
150,7,euclidean,distance,0.8817906836055656,1.0,0.2444444444444444,0.36853146853146856,0.41226924301696577,0.3004890017361201
180,7,euclidean,distance,0.8852994555353902,1.0,0.26666666666666666,0.39580419580419585,0.43305835259722036,0.3004890152777888
200,7,euclidean,distance,0.8888082274652147,1.0,0.28888888888888886,0.4188811188811189,0.45108039552175994,0.3004890291666824
220,7,euclidean,distance,0.8852994555353902,1.0,0.26666666666666666,0.39580419580419585,0.43305835259722036,0.3004890423611262
150,9,euclidean,uniform,0.8437991530550516,0.8,0.02222222222222222,0.04,0.05036820549570782,0.3004890562500198
180,9,euclidean,uniform,0.8437991530550516,0.8,0.02222222222222222,0.04,0.05036820549570782,0.3004890701389134
200,9,euclidean,uniform,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862,0.3004890833333573
220,9,euclidean,uniform,0.8507562008469449,0.8,0.06666666666666667,0.11272727272727275,0.13853547671734862,0.30048909826392545
150,9,euclidean,distance,0.8748941318814276,1.0,0.19999999999999998,0.3127272727272727,0.36786831557170396,0.3004891131944937
180,9,euclidean,distance,0.8748941318814276,1.0,0.19999999999999998,0.3127272727272727,0.36786831557170396,0.30048912743051104
200,9,euclidean,distance,0.8748941318814276,1.0,0.19999999999999998,0.3127272727272727,0.36786831557170396,0.30048914166662954
220,9,euclidean,distance,0.8748941318814276,1.0,0.19999999999999998,0.3127272727272727,0.36786831557170396,0.30048917638891404
