pca_n_components,learning_rate,max_depth,n_estimators,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,0.3,7,200,0.9163944343617665,0.04236046807715161,0.8777777777777779,0.19372884193514103,0.5111111111111112,0.25915341754868,0.6202952602952603,0.2436172030091928,0.6218950852418937,0.23937915274420044,3.1374307218751105
150,0.3,10,100,0.9060496067755596,0.03640114301480149,0.8714285714285716,0.19378085666072195,0.44444444444444436,0.21081851067789195,0.5694405594405594,0.2204283658751087,0.573833446708285,0.21410028275234325,3.1374307555557204
150,0.3,10,150,0.9163944343617665,0.04236046807715161,0.8777777777777779,0.19372884193514103,0.5111111111111112,0.25915341754868,0.6202952602952603,0.2436172030091928,0.6218950852418937,0.23937915274420044,3.1374307888889033
150,0.3,10,200,0.9163944343617665,0.04236046807715161,0.8777777777777779,0.19372884193514103,0.5111111111111112,0.25915341754868,0.6202952602952603,0.2436172030091928,0.6218950852418937,0.23937915274420044,3.137430822569513
150,0.5,3,100,0.899092558983666,0.03259924227850121,0.8714285714285716,0.19378085666072195,0.4222222222222222,0.1632993161855452,0.5543956043956044,0.16162067131393396,0.5563951769698299,0.1681465637216782,3.137430856250123
150,0.5,3,150,0.899092558983666,0.03259924227850121,0.8714285714285716,0.19378085666072195,0.4222222222222222,0.1632993161855452,0.5543956043956044,0.16162067131393396,0.5563951769698299,0.1681465637216782,3.1374308902777557
150,0.5,3,200,0.899092558983666,0.03259924227850121,0.8714285714285716,0.19378085666072195,0.4222222222222222,0.1632993161855452,0.5543956043956044,0.16162067131393396,0.5563951769698299,0.1681465637216782,3.1374309496528037
150,0.5,5,100,0.895523290986086,0.040564677281499574,0.8,0.2666666666666667,0.4222222222222222,0.16329931618554522,0.5487912087912088,0.20271638123596167,0.5320763568470055,0.22667606210140637,3.1374309847223127
150,0.5,5,150,0.895523290986086,0.040564677281499574,0.8,0.2666666666666667,0.4222222222222222,0.16329931618554522,0.5487912087912088,0.20271638123596167,0.5320763568470055,0.22667606210140637,3.137431021180722
150,0.5,5,200,0.895523290986086,0.040564677281499574,0.8,0.2666666666666667,0.4222222222222222,0.16329931618554522,0.5487912087912088,0.20271638123596167,0.5320763568470055,0.22667606210140637,3.137431051736106
150,0.5,7,100,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.13743108645839
150,0.5,7,150,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.1374311218751245
150,0.5,7,200,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.1374311552083074
150,0.5,10,100,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.1374311864583433
150,0.5,10,150,0.9059286146400485,0.041346307368977896,0.8333333333333333,0.21081851067789195,0.48888888888888893,0.16629588385661961,0.6112820512820513,0.18411327731131796,0.5913107643753354,0.20343139180022615,3.13743122847235
