n_estimators,max_depth,learning_rate,gamma,subsample,colsample_bytree,min_child_weight,accuracy,precision,recall,f1,preparationTime
200,5,0.1,0.1,0.8,1,1,0.6911962365591399,0.6880718954248367,0.7013888888888888,0.6940371456500488,0.002536036170142247
200,5,0.1,0.1,1,1,1,0.6374327956989246,0.6313725490196078,0.6597222222222222,0.64430596285435,0.002536036170142247
100,5,0.1,0.1,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,5,0.1,0.1,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,5,0.1,0.1,0.8,1,3,0.6696908602150536,0.6804298642533936,0.6611111111111111,0.6673850574712644,0.002536036170142247
200,5,0.1,0.1,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
100,7,0.1,0.1,0.8,1,1,0.6589381720430106,0.6660633484162896,0.6375000000000001,0.6493207941483804,0.002536036170142247
100,7,0.1,0.1,1,1,1,0.6478494623655914,0.6460784313725491,0.6597222222222222,0.6518817204301075,0.002536036170142247
200,7,0.1,0.1,0.8,1,1,0.6911962365591399,0.6880718954248367,0.7013888888888888,0.6940371456500488,0.002536036170142247
200,7,0.1,0.1,1,1,1,0.6374327956989246,0.6313725490196078,0.6597222222222222,0.64430596285435,0.002536036170142247
100,7,0.1,0.1,0.8,1,3,0.6381048387096774,0.6444444444444444,0.6166666666666667,0.6301075268817203,0.002536036170142247
100,7,0.1,0.1,1,1,3,0.6488575268817204,0.6299162940029813,0.7236111111111111,0.673015873015873,0.002536036170142247
200,7,0.1,0.1,0.8,1,3,0.6696908602150536,0.6804298642533936,0.6611111111111111,0.6673850574712644,0.002536036170142247
200,7,0.1,0.1,1,1,3,0.6381048387096774,0.6222910216718267,0.7013888888888888,0.6591269841269841,0.002536036170142247
