pca_n_components,n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
50,150,10,0.1,0.7333333333333334,0.0888888888888889,0.7476190476190476,0.11836710258790951,0.7555555555555554,0.08314794192830981,0.7430520034100596,0.06695711005216348,0.4778897914491179,0.167717869461352,2.158460605555835
50,200,10,0.1,0.7555555555555556,0.0968644209675705,0.757063492063492,0.11751886142928365,0.7999999999999999,0.08314794192830981,0.7701589865541946,0.07448215535694924,0.522057320788011,0.1809130244574606,2.158460717777618
50,100,3,0.3,0.7555555555555556,0.0968644209675705,0.7594444444444444,0.11379535454511919,0.7777777777777778,0.07027283689263066,0.7643618851049192,0.08090651463606187,0.5157455244846293,0.19001399792166218,2.158460823332684
50,150,3,0.3,0.7555555555555556,0.0968644209675705,0.7594444444444444,0.11379535454511919,0.7777777777777778,0.07027283689263066,0.7643618851049192,0.08090651463606187,0.5157455244846293,0.19001399792166218,2.158460938889119
50,200,3,0.3,0.7555555555555556,0.0968644209675705,0.7594444444444444,0.11379535454511919,0.7777777777777778,0.07027283689263066,0.7643618851049192,0.08090651463606187,0.5157455244846293,0.19001399792166218,2.158461049999783
50,100,5,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584611611117404
50,150,5,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.158461268889045
50,200,5,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584613755552304
50,100,7,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584614888894267
50,150,7,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.158461597777851
50,200,7,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584617066662757
50,100,10,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584618188893527
50,150,10,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.1584619322222554
50,200,10,0.3,0.7444444444444444,0.08314794192830981,0.7391663891663892,0.08788245415686667,0.7777777777777777,0.14054567378526128,0.7494087938205586,0.08930427933832043,0.501756037744493,0.15884750206386827,2.158462043332919
50,100,3,0.5,0.7555555555555555,0.07535922203472524,0.7363886113886113,0.08320095120273348,0.8222222222222222,0.1507184440694504,0.7665889992360579,0.08264589606090372,0.5323431979762427,0.15038189908503913,2.1584621533337565
50,150,3,0.5,0.7555555555555555,0.07535922203472524,0.7363886113886113,0.08320095120273348,0.8222222222222222,0.1507184440694504,0.7665889992360579,0.08264589606090372,0.5323431979762427,0.15038189908503913,2.158462325555997
50,200,3,0.5,0.7555555555555555,0.07535922203472524,0.7363886113886113,0.08320095120273348,0.8222222222222222,0.1507184440694504,0.7665889992360579,0.08264589606090372,0.5323431979762427,0.15038189908503913,2.15846243777778
50,100,5,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584625411106066
50,150,5,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584626555559225
50,200,5,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584627633332274
50,100,7,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.158462872221652
50,150,7,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584629755557723
50,200,7,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.158463073333001
50,100,10,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584631733337623
50,150,10,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.158463272222111
50,200,10,0.5,0.7555555555555555,0.07535922203472524,0.7463886113886115,0.08714715172205809,0.8,0.12957670877434,0.7635814804390655,0.07950999907795865,0.5250859203889207,0.1424386612311285,2.1584633666672746
60,100,3,0.01,0.711111111111111,0.06478835438717,0.7507142857142857,0.09204036381625492,0.6444444444444445,0.08314794192830981,0.6900154798761611,0.06924628075308266,0.4304615774450461,0.13397605603344154,2.1584634655556227
60,150,3,0.01,0.711111111111111,0.08164965809277261,0.7726190476190476,0.1380336480060547,0.6222222222222221,0.05443310539518171,0.6859803921568627,0.0784151944098887,0.4351463047893927,0.17658313612020682,2.158463569999569
60,200,3,0.01,0.7,0.06666666666666667,0.7440476190476191,0.09656809424130117,0.6222222222222221,0.05443310539518171,0.6759803921568628,0.06533414541782798,0.4076855250117212,0.13878576355265254,2.1584636744448087
