n_components,n_neighbors,weights,metric,accuracy,precision,recall,f1,mcc
180,11,uniform,euclidean,0.7881427707199032,0.3780200501253133,0.6000000000000001,0.4589135883186226,0.3540895085814354
200,11,uniform,euclidean,0.7812462189957653,0.36716534927061245,0.6222222222222222,0.4564364358414702,0.35399899593387013
220,11,uniform,euclidean,0.7743496672716272,0.36325814536340856,0.6444444444444445,0.4588029293623864,0.3576881581401857
150,11,distance,euclidean,0.8437386569872958,0.4987745587745587,0.6666666666666667,0.5625625823451911,0.48392777644146934
180,11,distance,euclidean,0.8367211131276466,0.4894473173884938,0.6222222222222222,0.5339058000822707,0.453085219826153
200,11,distance,euclidean,0.8298245614035087,0.4634216763628528,0.6444444444444445,0.5275825052140841,0.4457937170539693
220,11,distance,euclidean,0.8263762855414397,0.4603514132925898,0.6666666666666667,0.5330334448160535,0.4521487879581775
150,3,uniform,cosine,0.8405323653962492,0.48999999999999994,0.6000000000000001,0.5284962406015038,0.4455896784294905
180,3,uniform,cosine,0.8473684210526315,0.502991452991453,0.6000000000000001,0.5368542568542568,0.4568051141463177
200,3,uniform,cosine,0.8404113732607381,0.48229548229548225,0.6000000000000001,0.5275252525252525,0.44233982759861307
220,3,uniform,cosine,0.8369630973986691,0.4746031746031746,0.6000000000000001,0.5219916556873079,0.43598594249634226
150,3,distance,cosine,0.8647912885662432,0.5722222222222222,0.5555555555555556,0.5529313479777875,0.48112957833398007
180,3,distance,cosine,0.8716273442226257,0.5942857142857143,0.5555555555555556,0.5646616541353383,0.49662048535080183
200,3,distance,cosine,0.864670296430732,0.567012987012987,0.5555555555555556,0.5547368421052632,0.47976848734377997
220,3,distance,cosine,0.8612220205686631,0.5542857142857143,0.5555555555555556,0.5473684210526316,0.47099214335359313
150,5,uniform,cosine,0.8264367816091955,0.4577540106951871,0.6000000000000001,0.5048160535117057,0.4193210905784646
180,5,uniform,cosine,0.8333938294010889,0.47435897435897434,0.6000000000000001,0.5167263613579403,0.4325783496054953
200,5,uniform,cosine,0.8333938294010889,0.4727272727272728,0.6000000000000001,0.5150022883295194,0.4316677294667663
220,5,uniform,cosine,0.82994555353902,0.4666666666666666,0.6000000000000001,0.5111927645199956,0.4262244645032246
150,5,distance,cosine,0.868118572292801,0.5745454545454545,0.5555555555555556,0.5539495798319327,0.4844937605684983
180,5,distance,cosine,0.8715668481548701,0.5904473304473304,0.5555555555555556,0.5619715956558061,0.494554911096762
200,5,distance,cosine,0.8750756200846943,0.6015584415584415,0.5555555555555556,0.5672003538257407,0.5023071547211438
220,5,distance,cosine,0.8716273442226257,0.5904473304473304,0.5555555555555556,0.5619715956558061,0.4945974041542504
150,7,uniform,cosine,0.8091349062310951,0.42735042735042733,0.6000000000000001,0.4838940125896648,0.3919801783155682
180,7,uniform,cosine,0.8056261343012704,0.41526251526251523,0.6000000000000001,0.480475040257649,0.38433395159036304
200,7,uniform,cosine,0.8056261343012704,0.42523616734143044,0.6000000000000001,0.48108225108225106,0.3886082244591993
220,7,uniform,cosine,0.7987295825771324,0.4149156545209177,0.6222222222222222,0.48034632034632035,0.38871784813609445
150,7,distance,cosine,0.8716273442226254,0.6077200577200578,0.5555555555555556,0.5611965811965811,0.4998048087257258
180,7,distance,cosine,0.8715668481548701,0.5904473304473304,0.5555555555555556,0.5619715956558061,0.494554911096762
200,7,distance,cosine,0.8750756200846945,0.6172727272727273,0.5555555555555556,0.567911407477971,0.5072963461778358
220,7,distance,cosine,0.8681790683605566,0.5883838383838385,0.5777777777777777,0.5624664224664224,0.49881975520153804
150,9,uniform,cosine,0.8022383545069569,0.4094017094017094,0.5555555555555556,0.4565271765271765,0.3576399293924598
180,9,uniform,cosine,0.7918935269207501,0.39658119658119656,0.5555555555555556,0.44753037622602837,0.34402456153623334
200,9,uniform,cosine,0.7953418027828191,0.4031746031746032,0.5777777777777777,0.4593880837359098,0.35992673924990165
220,9,uniform,cosine,0.7918935269207502,0.4003174603174603,0.5777777777777777,0.4572141706924316,0.35613291436140165
150,9,distance,cosine,0.8716273442226254,0.6115584415584416,0.5555555555555556,0.5638866396761134,0.5018278899222772
180,9,distance,cosine,0.8681790683605565,0.5972727272727273,0.5555555555555556,0.558004286734937,0.49283333281730696
200,9,distance,cosine,0.8716273442226254,0.6027272727272728,0.5777777777777777,0.5706358656823053,0.5083506753354491
220,9,distance,cosine,0.8681790683605565,0.5954545454545455,0.5777777777777777,0.566425339366516,0.5023311488090838
150,11,uniform,cosine,0.8021173623714459,0.4049248120300752,0.6222222222222222,0.4764436090225564,0.38663791429346367
180,11,uniform,cosine,0.8091349062310949,0.42438672438672437,0.6,0.4809822866344605,0.3903722482540147
200,11,uniform,cosine,0.7987295825771324,0.4075438596491228,0.6,0.4680952380952381,0.37467526234460474
220,11,uniform,cosine,0.795220810647308,0.40499999999999997,0.6222222222222222,0.47148768472906405,0.38125472829354884
150,11,distance,cosine,0.8750151240169389,0.611111111111111,0.6,0.5832507361919127,0.5250008288463672
180,11,distance,cosine,0.8750151240169389,0.6121212121212121,0.5777777777777777,0.5738763197586727,0.5149811568986303
200,11,distance,cosine,0.8715668481548698,0.601010101010101,0.5777777777777777,0.5686475615887381,0.507271406331737
220,11,distance,cosine,0.8715668481548698,0.6,0.6,0.578021978021978,0.5172910782794738
