n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
200,30,10,5,gini,0.9339987900786448,0.020302177495655684,0.7782323232323233,0.08537720071182713,0.8222222222222222,0.05443310539518171,0.7972205022359822,0.05726094494849603,0.7600199822720289,0.06907021289161032
50,10,5,2,entropy,0.9340592861464005,0.022806295430823412,0.7871212121212121,0.085156068272773,0.7999999999999999,0.0831479419283098,0.7913725490196079,0.07260069995815546,0.7538147124171333,0.08631804698242145
100,10,5,2,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
200,10,5,2,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,10,2,entropy,0.9339987900786448,0.022953773871161355,0.7822222222222222,0.07083278866892989,0.7999999999999999,0.0831479419283098,0.790643274853801,0.07483552408442755,0.7518069904250029,0.08861066906505137
100,10,10,2,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
200,10,10,2,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,5,5,entropy,0.9339987900786448,0.017001870676777307,0.7743434343434343,0.06463257426528463,0.8222222222222222,0.05443310539518171,0.7962573099415204,0.05061179687011656,0.7583886117248151,0.06044874384774666
100,10,5,5,entropy,0.9409558378705384,0.013893564378423418,0.8093434343434343,0.062236076773179785,0.8222222222222222,0.05443310539518171,0.81359477124183,0.04127573883358966,0.7801185672924167,0.04912063797508663
200,10,5,5,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,10,10,5,entropy,0.9339987900786448,0.017001870676777307,0.7743434343434343,0.06463257426528463,0.8222222222222222,0.05443310539518171,0.7962573099415204,0.05061179687011656,0.7583886117248151,0.06044874384774666
100,10,10,5,entropy,0.9409558378705384,0.013893564378423418,0.8093434343434343,0.062236076773179785,0.8222222222222222,0.05443310539518171,0.81359477124183,0.04127573883358966,0.7801185672924167,0.04912063797508663
200,10,10,5,entropy,0.9409558378705384,0.017661743836514844,0.8083333333333332,0.06880819646840461,0.8222222222222222,0.05443310539518171,0.8138286893704849,0.05244865022295026,0.7797869000065336,0.06282002060335194
50,20,5,2,entropy,0.9409558378705384,0.017661743836514844,0.8183333333333334,0.054478447431694485,0.7999999999999999,0.0831479419283098,0.8076367389060888,0.06210971053591236,0.7738501316163491,0.07204930415297857
100,20,5,2,entropy,0.9444041137326075,0.013121372569903846,0.8238888888888889,0.048291808471334935,0.8222222222222222,0.05443310539518171,0.822015823873409,0.04193302466637172,0.7898138504372108,0.04984274546216977
