n_components,C,kernel,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc
180,100.0,sigmoid,0.7395644283121597,0.051235562338465324,0.3398356029934977,0.06405283124013743,0.6444444444444444,0.04444444444444442,0.4412721686915235,0.05425309083562906,0.32238984917039015,0.06910100512329287
200,0.01,linear,0.9166969147005444,0.020212930369983065,0.8400793650793652,0.09648326230107479,0.6,0.16629588385661961,0.6785947712418301,0.11467701627366036,0.6568502333348756,0.09557005691783435
200,0.01,rbf,0.8335753176043557,0.040897489535773476,0.5033333333333333,0.17650936393164968,0.31111111111111106,0.08314794192830981,0.37277310924369744,0.10090044893622788,0.3000873927995841,0.13020285347294655
200,0.01,poly,0.5725347852389595,0.31859755401989254,0.5143062200956938,0.3979078203003728,0.4222222222222222,0.47349501672583366,0.1415646853146853,0.12405447690533479,0.04212388047428624,0.03535381625486201
200,0.01,sigmoid,0.6039927404718692,0.24975942060827602,0.25668003418578655,0.17260948065334497,0.4666666666666667,0.36106837353937604,0.2533502304147465,0.11087122009746404,0.1177092284203874,0.13788553420653418
200,0.1,linear,0.9166969147005444,0.020212930369983065,0.8400793650793652,0.09648326230107479,0.6,0.16629588385661961,0.6785947712418301,0.11467701627366036,0.6568502333348756,0.09557005691783435
200,0.1,rbf,0.8335753176043557,0.040897489535773476,0.5033333333333333,0.17650936393164968,0.31111111111111106,0.08314794192830981,0.37277310924369744,0.10090044893622788,0.3000873927995841,0.13020285347294655
200,0.1,poly,0.7023593466424682,0.2822167821027326,0.8254545454545454,0.3490909090909091,0.15555555555555556,0.3111111111111111,0.04375,0.0875,-0.06598705336226243,0.13197410672452486
200,0.1,sigmoid,0.7643073200241984,0.11812814205772594,0.34946428571428567,0.15478209575248966,0.3333333333333333,0.24343224778007383,0.289006968641115,0.11732531599044557,0.19481801286432598,0.12703791548396579
200,1.0,linear,0.9166969147005444,0.020212930369983065,0.8400793650793652,0.09648326230107479,0.6,0.16629588385661961,0.6785947712418301,0.11467701627366036,0.6568502333348756,0.09557005691783435
200,1.0,rbf,0.8924984875983062,0.02485173750946119,0.8,0.18973665961010275,0.48888888888888893,0.15071844406945042,0.5788487054740925,0.09411619758328553,0.5586222048137888,0.10372944868982545
200,1.0,poly,0.719600725952813,0.24773438900489267,0.7307692307692307,0.34743353201957583,0.2,0.34712220781807357,0.08882265275707898,0.1117221939006152,0.033839898316793834,0.07319084940762358
200,1.0,sigmoid,0.8128251663641863,0.06599269778088421,0.447457264957265,0.14724365641048937,0.5777777777777778,0.14740554623801777,0.49924508240297705,0.14187637120047453,0.396139391855767,0.17841707479345392
