eta,max_depth,n_estimators,accuracy,precision,recall,f1,mcc,preparationTime
0.3,5,100,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,5,200,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,5,300,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,7,50,0.7432748538011696,0.7806349206349207,0.7022222222222221,0.73328173374613,0.49657545334174136,0.0010833009680820706
0.3,7,100,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,7,200,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,7,300,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,10,50,0.7432748538011696,0.7806349206349207,0.7022222222222221,0.73328173374613,0.49657545334174136,0.0010833009680820706
0.3,10,100,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,10,200,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.3,10,300,0.7859649122807018,0.8342568542568543,0.7444444444444444,0.7767320261437909,0.5861422693872147,0.0010833009680820706
0.5,3,50,0.712280701754386,0.7417171717171718,0.6799999999999999,0.7014035087719297,0.43376580751811716,0.0010833009680820706
0.5,3,100,0.712280701754386,0.7417171717171718,0.6799999999999999,0.7014035087719297,0.43376580751811716,0.0010833009680820706
0.5,3,200,0.712280701754386,0.7417171717171718,0.6799999999999999,0.7014035087719297,0.43376580751811716,0.0010833009680820706
0.5,3,300,0.712280701754386,0.7417171717171718,0.6799999999999999,0.7014035087719297,0.43376580751811716,0.0010833009680820706
0.5,5,50,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,5,100,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,5,200,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,5,300,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,7,50,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,7,100,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,7,200,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,7,300,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,10,50,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,10,100,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,10,200,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
0.5,10,300,0.7438596491228069,0.7434632034632034,0.7444444444444444,0.7397368421052631,0.49087222776118944,0.0010833009680820706
