n_estimators,max_depth,min_samples_split,min_samples_leaf,criterion,accuracy,precision,recall,f1,preparationTime
50,100,2,1,gini,0.9812845200776236,0.9814136779946966,0.9812845200776236,0.9812826758043222,0.0012906522842506443
100,100,2,1,gini,0.9870503060158233,0.9874862831434589,0.9870503060158233,0.9870443739720077,0.0012906522842506443
300,100,2,1,gini,0.9870565258496292,0.9873726994939115,0.9870565258496292,0.9870517440395274,0.0012906522842506443
500,100,2,1,gini,0.982727521520625,0.9830313599701633,0.982727521520625,0.9827228478876279,0.0012906522842506443
10,100,5,1,gini,0.9654488232074439,0.9656134338169576,0.9654488232074439,0.9654458794713182,0.0012906522842506443
50,100,5,1,gini,0.9798415186346222,0.980194041343371,0.9798415186346222,0.9798366286595795,0.0012906522842506443
100,100,5,1,gini,0.9798415186346222,0.9802421601504872,0.9798415186346222,0.9798358711886727,0.0012906522842506443
300,100,5,1,gini,0.979841518634622,0.9801937186307201,0.979841518634622,0.9798364663939226,0.0012906522842506443
500,100,5,1,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
10,100,2,2,gini,0.9682975070906106,0.9689288437184387,0.9682975070906106,0.9682878018265345,0.0012906522842506443
50,100,2,2,gini,0.9784109568592326,0.9785616843425716,0.9784109568592326,0.9784081451545196,0.0012906522842506443
100,100,2,2,gini,0.9841643031298205,0.9846007111411295,0.9841643031298205,0.9841585333516619,0.0012906522842506443
300,100,2,2,gini,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
500,100,2,2,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
10,100,5,2,gini,0.9539234711648504,0.9549049783651316,0.9539234711648504,0.953907040061044,0.0012906522842506443
50,100,5,2,gini,0.9798352988008161,0.9800234487734488,0.9798352988008161,0.9798327354081146,0.0012906522842506443
100,100,5,2,gini,0.9783985171916206,0.9788108429296961,0.9783985171916206,0.9783925993029096,0.0012906522842506443
300,100,5,2,gini,0.9812845200776236,0.9816003673111005,0.9812845200776236,0.9812796841789694,0.0012906522842506443
500,100,5,2,gini,0.9812845200776236,0.9816003673111005,0.9812845200776236,0.9812796841789694,0.0012906522842506443
10,300,2,1,gini,0.962575259989053,0.9636572957413923,0.962575259989053,0.9625408304413746,0.0012906522842506443
50,300,2,1,gini,0.982727521520625,0.98312816303649,0.982727521520625,0.9827218740746755,0.0012906522842506443
100,300,2,1,gini,0.9856135244066279,0.9859170401435153,0.9856135244066279,0.9856086885079738,0.0012906522842506443
300,300,2,1,gini,0.9856135244066279,0.985966280008396,0.9856135244066279,0.9856084721233502,0.0012906522842506443
500,300,2,1,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
10,300,5,1,gini,0.9654363835398317,0.9658766198210715,0.9654363835398317,0.9654267249099379,0.0012906522842506443
50,300,5,1,gini,0.9769492959148133,0.9774678482738981,0.9769492959148133,0.9769419033280143,0.0012906522842506443
100,300,5,1,gini,0.9870440861820172,0.9873409418863964,0.9870440861820172,0.9870407478727335,0.0012906522842506443
300,300,5,1,gini,0.982727521520625,0.9830313599701633,0.982727521520625,0.9827228478876279,0.0012906522842506443
500,300,5,1,gini,0.9841705229636264,0.9845109452197279,0.9841705229636264,0.9841655247689012,0.0012906522842506443
10,300,2,2,gini,0.952468030054237,0.9533624028095211,0.952468030054237,0.9524401889533468,0.0012906522842506443
50,300,2,2,gini,0.9755187341394237,0.9759953624492019,0.9755187341394237,0.9755105543170721,0.0012906522842506443
100,300,2,2,gini,0.9812969597452356,0.9814981028082137,0.9812969597452356,0.9812943644312279,0.0012906522842506443
300,300,2,2,gini,0.9827213016868189,0.9831696103110438,0.9827213016868189,0.9827153696430035,0.0012906522842506443
500,300,2,2,gini,0.9812845200776236,0.9816736265929356,0.9812845200776236,0.9812793055408529,0.0012906522842506443
10,300,5,2,gini,0.9496069065034582,0.9499390428731166,0.9496069065034582,0.9495994664549112,0.0012906522842506443
50,300,5,2,gini,0.979841518634622,0.9801450343715096,0.979841518634622,0.979836682735968,0.0012906522842506443
100,300,5,2,gini,0.979841518634622,0.9801452489131376,0.979841518634622,0.9798368450016249,0.0012906522842506443
300,300,5,2,gini,0.9856135244066279,0.9859173647052434,0.9856135244066279,0.9856087966850784,0.0012906522842506443
500,300,5,2,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
10,500,2,1,gini,0.9524618102204309,0.9534988308662062,0.9524618102204309,0.9524372433123539,0.0012906522842506443
50,500,2,1,gini,0.9827275215206249,0.9830802752733158,0.9827275215206249,0.9827225233258998,0.0012906522842506443
100,500,2,1,gini,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
300,500,2,1,gini,0.9856135244066279,0.9859174710271889,0.9856135244066279,0.9856088507736308,0.0012906522842506443
500,500,2,1,gini,0.9827275215206249,0.9830313599701631,0.9827275215206249,0.9827228478876279,0.0012906522842506443
10,500,5,1,gini,0.972638951087227,0.9730452296475908,0.972638951087227,0.97263186035947,0.0012906522842506443
50,500,5,1,gini,0.9870565258496292,0.9873480328025782,0.9870565258496292,0.9870518522166322,0.0012906522842506443
100,500,5,1,gini,0.9827213016868189,0.9829337919399798,0.9827213016868189,0.9827185760284604,0.0012906522842506443
300,500,5,1,gini,0.9841705229636265,0.9844863720461805,0.9841705229636265,0.98416563297642,0.0012906522842506443
500,500,5,1,gini,0.9841705229636264,0.9844620299165753,0.9841705229636264,0.9841658493306293,0.0012906522842506443
10,500,2,2,gini,0.9510188087774294,0.951351392340228,0.9510188087774294,0.951008993350185,0.0012906522842506443
50,500,2,2,gini,0.9711959496442256,0.9713580367880469,0.9711959496442256,0.9711927593196461,0.0012906522842506443
100,500,2,2,gini,0.9783985171916206,0.9787387084037801,0.9783985171916206,0.9783936272165782,0.0012906522842506443
300,500,2,2,gini,0.9783985171916206,0.9787140398633695,0.9783985171916206,0.978393573115862,0.0012906522842506443
500,500,2,2,gini,0.9812845200776236,0.9816003673111005,0.9812845200776236,0.9812796841789694,0.0012906522842506443
10,500,5,2,gini,0.9596705976016321,0.9604070917030736,0.9596705976016321,0.9596492067332351,0.0012906522842506443
50,500,5,2,gini,0.9798352988008161,0.980071281879629,0.9798352988008161,0.9798320862846585,0.0012906522842506443
100,500,5,2,gini,0.9784109568592326,0.9785381915169196,0.9784109568592326,0.9784086320123188,0.0012906522842506443
300,500,5,2,gini,0.9812845200776236,0.9816003673111005,0.9812845200776236,0.9812796841789694,0.0012906522842506443
500,500,5,2,gini,0.982727521520625,0.9830802752733159,0.982727521520625,0.9827225233258998,0.0012906522842506443
10,10,2,1,entropy,0.9682912872568045,0.9685982570541346,0.9682912872568045,0.9682875880045043,0.0012906522842506443
50,10,2,1,entropy,0.982727521520625,0.9830314681411859,0.982727521520625,0.982722847887628,0.0012906522842506443
100,10,2,1,entropy,0.9798415186346222,0.9801931901903406,0.9798415186346222,0.9798361958781688,0.0012906522842506443
300,10,2,1,entropy,0.9841643031298203,0.9846002802574559,0.9841643031298203,0.9841583710860049,0.0012906522842506443
500,10,2,1,entropy,0.9827275215206249,0.9830310372575125,0.9827275215206249,0.982722685621971,0.0012906522842506443
10,10,5,1,entropy,0.9668856048166393,0.9669901921061005,0.9668856048166393,0.9668833325864169,0.0012906522842506443
50,10,5,1,entropy,0.9783922973578146,0.9788766323338555,0.9783922973578146,0.978386203066588,0.0012906522842506443
