eta,max_depth,n_estimators,accuracy,precision,recall,f1,preparationTime
0.1,10,50,0.8279569892473119,0.8374845162888641,0.8279569892473119,0.8262856617751684,0.002583134285669075
0.1,10,100,0.8172043010752686,0.8241524023310549,0.8172043010752686,0.8158627041019514,0.002583134285669075
0.1,10,200,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
0.1,10,300,0.8225806451612904,0.8297306402160225,0.8225806451612904,0.8212460606586288,0.002583134285669075
0.3,3,50,0.8118279569892474,0.8166849415204679,0.8118279569892474,0.8107587088342613,0.002583134285669075
0.3,3,100,0.8064516129032259,0.8116572943592001,0.8064516129032259,0.8053389521337668,0.002583134285669075
0.3,3,200,0.8064516129032259,0.8116572943592001,0.8064516129032259,0.8053389521337668,0.002583134285669075
0.3,3,300,0.8064516129032259,0.8116572943592001,0.8064516129032259,0.8053389521337668,0.002583134285669075
0.3,5,50,0.8387096774193549,0.8462645134309302,0.8387096774193549,0.8373456790123456,0.002583134285669075
0.3,5,100,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,5,200,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,5,300,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,7,50,0.8387096774193549,0.8462645134309302,0.8387096774193549,0.8373456790123456,0.002583134285669075
0.3,7,100,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,7,200,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,7,300,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,10,50,0.8387096774193549,0.8462645134309302,0.8387096774193549,0.8373456790123456,0.002583134285669075
0.3,10,100,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,10,200,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.3,10,300,0.8333333333333334,0.8415462206801831,0.8333333333333334,0.8319146164308594,0.002583134285669075
0.5,3,50,0.8118279569892474,0.8163035584604211,0.8118279569892474,0.8111498476197484,0.002583134285669075
0.5,3,100,0.8118279569892474,0.8163035584604211,0.8118279569892474,0.8111498476197484,0.002583134285669075
0.5,3,200,0.8118279569892474,0.8163035584604211,0.8118279569892474,0.8111498476197484,0.002583134285669075
0.5,3,300,0.8118279569892474,0.8163035584604211,0.8118279569892474,0.8111498476197484,0.002583134285669075
0.5,5,50,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,5,100,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,5,200,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,5,300,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,7,50,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,7,100,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,7,200,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,7,300,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,10,50,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,10,100,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,10,200,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
0.5,10,300,0.8333333333333334,0.8409726623054731,0.8333333333333334,0.8319453855448024,0.002583134285669075
