pca__n_components,svm__C,svm__kernel,fold,threshold,accuracy,precision,recall,f1,mcc
150,0.01,rbf,2,0.6,0.7833333333333333,0.2,0.1,0.13333333333333333,0.02696799449852968
150,0.01,rbf,2,0.7000000000000001,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,0.01,rbf,2,0.8,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,0.01,rbf,2,0.9,0.8166666666666667,0.3333333333333333,0.1,0.15384615384615385,0.10259783520851541
150,0.01,rbf,3,0.1,0.7,0.32,0.8888888888888888,0.47058823529411764,0.40237390808147827
150,0.01,rbf,3,0.2,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7234780434144716
150,0.01,rbf,3,0.30000000000000004,0.9166666666666666,0.75,0.6666666666666666,0.7058823529411765,0.6590820436573076
150,0.01,rbf,3,0.4,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
150,0.01,rbf,3,0.5,0.9166666666666666,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.6379053716127601
150,0.01,rbf,3,0.6,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,0.01,rbf,3,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,rbf,3,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,rbf,3,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,rbf,4,0.1,0.8166666666666667,0.45,1.0,0.6206896551724138,0.5940885257860046
150,0.01,rbf,4,0.2,0.9333333333333333,0.8571428571428571,0.6666666666666666,0.75,0.7197193047267257
150,0.01,rbf,4,0.30000000000000004,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
150,0.01,rbf,4,0.4,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
150,0.01,rbf,4,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
150,0.01,rbf,4,0.6,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,rbf,4,0.7000000000000001,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,rbf,4,0.8,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,rbf,4,0.9,0.8666666666666667,1.0,0.1111111111111111,0.2,0.3099115966531633
150,0.01,rbf,5,0.1,0.6666666666666666,0.2962962962962963,0.8888888888888888,0.4444444444444444,0.3705980682526575
150,0.01,rbf,5,0.2,0.9,0.7142857142857143,0.5555555555555556,0.625,0.5743214653879932
150,0.01,rbf,5,0.30000000000000004,0.9,0.8,0.4444444444444444,0.5714285714285714,0.5488604301969738
150,0.01,rbf,5,0.4,0.9166666666666666,1.0,0.4444444444444444,0.6153846153846154,0.6362090102803518
150,0.01,rbf,5,0.5,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
150,0.01,rbf,5,0.6,0.9,1.0,0.3333333333333333,0.5,0.5461186812727502
150,0.01,rbf,5,0.7000000000000001,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,rbf,5,0.8,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,rbf,5,0.9,0.8833333333333333,1.0,0.2222222222222222,0.36363636363636365,0.4420433223684922
150,0.01,poly,1,0.1,0.18032786885245902,0.16666666666666666,1.0,0.2857142857142857,0.05716619504750294
150,0.01,poly,1,0.2,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.30000000000000004,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.4,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.5,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.6,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.7000000000000001,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.8,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,1,0.9,0.8360655737704918,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.1,0.16666666666666666,0.16666666666666666,1.0,0.2857142857142857,0.0
150,0.01,poly,2,0.2,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.30000000000000004,0.8333333333333334,1.0,0.0,0.0,0.0
150,0.01,poly,2,0.4,0.8333333333333334,1.0,0.0,0.0,0.0
