pca__n_components,svm__C,svm__kernel,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
150,0.01,poly,0.2,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.30000000000000004,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.4,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.5,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.6,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.7000000000000001,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.8,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,poly,0.9,0.8402903811252269,0.007231114995693802,0.8,0.4472135954999579,0.0,0.0,0.0,0.0,-0.011353134489128948,0.025386380475389672
150,0.01,rbf,0.1,0.690562613430127,0.16624136146843213,0.35570512820512823,0.11679172291626169,0.8444444444444444,0.06085806194501846,0.4874435212820306,0.10814845191440828,0.3973710311517794,0.13706964267799804
150,0.01,rbf,0.2,0.8611615245009074,0.050100460522795764,0.565952380952381,0.15373192056746232,0.5333333333333333,0.14487116456005886,0.5474716202270382,0.1466345517385165,0.4670786526192262,0.17579196985608117
150,0.01,rbf,0.30000000000000004,0.8680580762250454,0.05665166854174664,0.6333333333333333,0.2173067468400883,0.4222222222222222,0.2277100170213244,0.48838612368024137,0.21414186171799315,0.43880116288865956,0.23402305282033725
150,0.01,rbf,0.4,0.8645493042952209,0.04637251484012141,0.6333333333333333,0.20592141248037765,0.3555555555555555,0.18257418583505539,0.4416666666666666,0.19002923751652298,0.39992800923459587,0.2040384331600088
150,0.01,rbf,0.5,0.8715063520871145,0.03977783218161326,0.76,0.27728845790780565,0.31111111111111106,0.12171612389003691,0.4300899100899101,0.15394464140733688,0.4236931827289311,0.18369034727016886
150,0.01,rbf,0.6,0.8714458560193588,0.02370373042766492,0.9,0.22360679774997896,0.22222222222222224,0.1111111111111111,0.34153846153846157,0.15118858477305908,0.3932634370922159,0.13993060639325705
150,0.01,rbf,0.7000000000000001,0.8714458560193588,0.010768894808782736,1.0,0.0,0.17777777777777776,0.06085806194501845,0.2981818181818182,0.08962732759175447,0.3880178110761326,0.07249209482412065
150,0.01,rbf,0.8,0.8679370840895342,0.01676325187957223,1.0,0.0,0.15555555555555553,0.09938079899999065,0.2581818181818182,0.16078320705043014,0.3262964710912958,0.1911965568062513
150,0.01,rbf,0.9,0.8610405323653962,0.01319452383963625,1.0,0.0,0.11111111111111112,0.07856742013183861,0.19272727272727272,0.12894998710179742,0.2735360703463939,0.16325269460361325
150,0.01,sigmoid,0.1,0.24337568058076223,0.06035282496998753,0.16616698424406334,0.01159098376955791,0.9555555555555555,0.09938079899999064,0.28285014428797634,0.019678914900006533,0.08169309523697647,0.08405972408052347
150,0.01,sigmoid,0.2,0.8159104658197217,0.02380349226047294,0.29555555555555557,0.201169420644563,0.2,0.18257418583505536,0.23079365079365077,0.18667368521520825,0.14300533547512626,0.18960851026075262
