learning_rate,max_depth,n_estimators,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
0.3,10,100,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
0.3,10,200,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
0.3,10,300,0.3,0.893606557,0.74,0.553333333,0.613133286,0.573314835
0.1,7,200,0.4,0.896939891,0.733333333,0.551111111,0.613082707,0.573189454
0.1,10,200,0.4,0.896939891,0.733333333,0.551111111,0.613082707,0.573189454
0.5,7,50,0.2,0.88704918,0.677016317,0.62,0.611701632,0.570460732
0.5,10,50,0.2,0.88704918,0.677016317,0.62,0.611701632,0.570460732
0.3,5,100,0.3,0.893606557,0.721111111,0.551111111,0.611335201,0.566197617
0.3,5,200,0.3,0.893606557,0.721111111,0.551111111,0.611335201,0.566197617
0.3,5,300,0.3,0.893606557,0.721111111,0.551111111,0.611335201,0.566197617
0.1,3,50,0.3,0.890273224,0.706796537,0.573333333,0.611320346,0.566696736
0.1,5,200,0.2,0.880327869,0.648333333,0.615555556,0.610647059,0.555224677
0.1,5,50,0.1,0.837377049,0.495391922,0.811111111,0.610599469,0.544785681
0.5,7,100,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.5,7,200,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.5,7,300,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.5,10,100,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.5,10,200,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.5,10,300,0.1,0.873825137,0.573015873,0.682222222,0.610107878,0.548113912
0.3,5,50,0.3,0.893606557,0.718333333,0.551111111,0.610028011,0.564879656
0.5,5,50,0.1,0.873825137,0.572136752,0.684444444,0.609383241,0.548514635
0.3,5,50,0.1,0.867103825,0.581410256,0.682222222,0.608048377,0.546348164
0.3,7,200,0.1,0.870382514,0.59047619,0.66,0.607390649,0.543417037
0.3,7,300,0.1,0.870382514,0.59047619,0.66,0.607390649,0.543417037
0.3,10,200,0.1,0.870382514,0.59047619,0.66,0.607390649,0.543417037
0.3,10,300,0.1,0.870382514,0.59047619,0.66,0.607390649,0.543417037
0.01,3,300,0.2,0.860437158,0.561736695,0.702222222,0.60605475,0.541702643
0.1,7,300,0.5,0.903661202,0.864761905,0.488888889,0.604887218,0.595308664
0.1,10,300,0.5,0.903661202,0.864761905,0.488888889,0.604887218,0.595308664
0.3,3,100,0.3,0.893606557,0.718787879,0.548888889,0.604411028,0.562685596
0.1,7,300,0.2,0.880327869,0.649358974,0.595555556,0.604386189,0.546552654
0.1,10,300,0.2,0.880327869,0.649358974,0.595555556,0.604386189,0.546552654
0.3,7,100,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
0.3,7,200,0.2,0.886994536,0.686666667,0.573333333,0.604229542,0.555351304
