dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__criterion,dt__max_features,fold,threshold,accuracy,precision,recall,f1,mcc
10,5,2,gini,,3,0.6,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,3,0.7000000000000001,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,3,0.8,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,3,0.9,0.9666666666666667,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.869281045751634
10,5,2,gini,,4,0.1,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.2,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.30000000000000004,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.4,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.5,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.6,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.7000000000000001,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.8,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,4,0.9,0.9830508474576272,1.0,0.8888888888888888,0.9411764705882353,0.9335200560186732
10,5,2,gini,,5,0.1,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.2,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.30000000000000004,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.4,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.5,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.6,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.7000000000000001,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.8,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,,5,0.9,0.9661016949152542,0.875,0.875,0.875,0.8553921568627451
10,5,2,gini,sqrt,1,0.1,0.85,0.5,0.8888888888888888,0.64,0.5910804632890487
10,5,2,gini,sqrt,1,0.2,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7234780434144716
10,5,2,gini,sqrt,1,0.30000000000000004,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7234780434144716
10,5,2,gini,sqrt,1,0.4,0.9166666666666666,0.6666666666666666,0.8888888888888888,0.7619047619047619,0.7234780434144716
