criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,preparationTime
gini,500,10,2,log2,0.7777777777777778,0.7943434343434342,0.7555555555555555,0.7631746031746032,0.22729895555563012
gini,500,2,5,log2,0.5333333333333333,0.7121212121212122,0.37777777777777777,0.33507246376811595,0.22729900000008962
gini,500,5,5,log2,0.5777777777777777,0.6599999999999999,0.4,0.44580419580419584,0.22729904666662656
gini,500,10,5,log2,0.5222222222222223,0.6195804195804195,0.6666666666666666,0.5104242424242423,0.22729909111108604
gini,500,2,10,log2,0.5333333333333334,0.8476190476190476,0.22222222222222224,0.20579710144927535,0.22729913777778468
gini,500,5,10,log2,0.5333333333333333,0.923076923076923,0.17777777777777776,0.14545454545454545,0.22729918444448333
gini,500,10,10,log2,0.5666666666666667,0.96,0.17777777777777776,0.16842105263157894,0.22729923000006239
entropy,None,2,1,None,0.8222222222222223,0.8275252525252526,0.8222222222222222,0.8218300653594772,0.22729927555564144
entropy,None,5,1,None,0.8444444444444444,0.8941919191919192,0.8,0.8313538748832867,0.22729932333329797
entropy,None,10,1,None,0.8222222222222223,0.8305555555555555,0.8222222222222222,0.8211017740429506,0.22729936888887703
entropy,None,2,2,None,0.8333333333333334,0.8805555555555555,0.8,0.8227824463118582,0.22729941888893437
entropy,None,5,2,None,0.8333333333333334,0.860858585858586,0.8,0.8218300653594772,0.22729946333339385
entropy,None,10,2,None,0.8222222222222223,0.8405555555555555,0.7999999999999999,0.818094255245958,0.2272995066667338
entropy,None,2,5,None,0.888888888888889,0.9550000000000001,0.8222222222222222,0.8774148606811145,0.22729955777774902
entropy,None,5,5,None,0.888888888888889,0.95,0.8222222222222222,0.8776470588235293,0.22729960444444763
entropy,None,10,5,None,0.8444444444444443,0.9134615384615385,0.8,0.8344346829640947,0.22729965111114628
entropy,None,2,10,None,0.8444444444444444,0.8103030303030303,0.9111111111111111,0.8551879699248118,0.22729969555560578
entropy,None,5,10,None,0.8222222222222222,0.8053030303030303,0.8666666666666668,0.8304201680672267,0.22729974333342398
entropy,None,10,10,None,0.8222222222222222,0.8053030303030303,0.8666666666666668,0.8304201680672267,0.2272997911110805
entropy,None,2,1,sqrt,0.7222222222222221,0.7776190476190475,0.6444444444444445,0.6770194717563138,0.22729984111113785
entropy,None,5,1,sqrt,0.7,0.7416666666666666,0.6222222222222223,0.6715376676986583,0.22729988888895605
entropy,None,10,1,sqrt,0.7888888888888889,0.8451298701298702,0.7333333333333333,0.7797058823529411,0.2272999344445351
entropy,None,2,2,sqrt,0.7777777777777778,0.7916666666666666,0.7555555555555555,0.7667698658410733,0.22729998000011417
entropy,None,5,2,sqrt,0.7333333333333333,0.7752958152958154,0.6666666666666667,0.7048412698412699,0.22730002888889025
entropy,None,10,2,sqrt,0.8333333333333334,0.8705555555555555,0.7999999999999999,0.8276298589611282,0.2273000744444693
entropy,None,2,5,sqrt,0.788888888888889,0.8414285714285714,0.7777777777777777,0.7894117647058824,0.22730012111116796
entropy,None,5,5,sqrt,0.7444444444444445,0.7595238095238095,0.7777777777777779,0.7440476190476191,0.2273001677778666
entropy,None,10,5,sqrt,0.6555555555555556,0.7507142857142858,0.5333333333333333,0.605949545810227,0.2273002155555231
entropy,None,2,10,sqrt,0.7222222222222222,0.7097435897435898,0.8,0.7329232171337434,0.22730026111110216
entropy,None,5,10,sqrt,0.7111111111111111,0.6877472527472527,0.8,0.7257106670419364,0.22730030666668125
entropy,None,10,10,sqrt,0.7777777777777778,0.7433333333333334,0.888888888888889,0.8021303258145362,0.22730034888890158
entropy,None,2,1,log2,0.7666666666666666,0.8650793650793652,0.6444444444444445,0.7317460317460318,0.2273004000000785
