pca_n_components,C,kernel,accuracy,precision,recall,f1,mcc,preparationTime
64,0.1,sigmoid,nan,nan,nan,nan,nan,0.04268739777778845
64,1.0,linear,nan,nan,nan,nan,nan,0.04268743777776965
64,1.0,rbf,nan,nan,nan,nan,nan,0.04268747555551171
64,1.0,poly,nan,nan,nan,nan,nan,0.04268751333357715
64,1.0,sigmoid,nan,nan,nan,nan,nan,0.04268755222243878
64,10.0,linear,nan,nan,nan,nan,nan,0.04268759888913741
64,10.0,rbf,nan,nan,nan,nan,nan,0.04268764000023818
64,10.0,poly,nan,nan,nan,nan,nan,0.04268768444469768
64,10.0,sigmoid,nan,nan,nan,nan,nan,0.042687727778037594
64,100.0,linear,nan,nan,nan,nan,nan,0.04268777111105414
64,100.0,rbf,nan,nan,nan,nan,nan,0.04268780888911958
64,100.0,poly,nan,nan,nan,nan,nan,0.042687853333579065
64,100.0,sigmoid,nan,nan,nan,nan,nan,0.042687892222440696
